Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SVT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SVT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SVT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,1.,SUVIT THANIYAVARN,N/A,4 / 4,100.00,Yes,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,2.,VATHIT CHOKWATANA,N/A,4 / 4,100.00,Yes,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,3.,BOONCHAI CHOKWATANA,N/A,4 / 4,100.00,Yes,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,4.,APASSARA PANUPATTHANA,N/A,4 / 4,100.00,Yes,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,5.,PITSNU CHOKWATANA,N/A,4 / 4,100.00,Yes,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,6.,NATTAPON DEJVITAK,N/A,4 / 4,100.00,Yes,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,7.,KRITTINAI LERTSITTHISAK,N/A,4 / 4,100.00,Yes,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,8.,JARK CHULAKIET,N/A,4 / 4,100.00,Yes,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,9.,TEERADA AMBHANWONG,N/A,4 / 4,100.00,Yes,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,10.,SOMJIN SORNPAISARN,N/A,2 / 4,50.00,Yes,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,11.,PHANSAK SETHSATHIRA,28/02/2022,1 / 1,100.00,No,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Audit Committee,1.,KRITTINAI LERTSITTHISAK,N/A,4 / 4,100.00,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Audit Committee,2.,JARK CHULAKIET,N/A,4 / 4,100.00,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Audit Committee,3.,SOMJIN SORNPAISARN,N/A,3 / 4,75.00,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Audit Committee,4.,PHANSAK SETHSATHIRA,28/02/2022,1 / 1,100.00,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Executive Committee,1.,Kanes Atthaphaisalkul,N/A,N/A,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Executive Committee,2.,VATHIT CHOKWATANA,N/A,N/A,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Executive Committee,3.,PITSNU CHOKWATANA,N/A,N/A,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Executive Committee,4.,Jirada  Nintanawongsa,N/A,N/A,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Executive Committee,5.,Surachet Panupatthana,N/A,N/A,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Executive Committee,6.,Wipob  Jenjirayut,N/A,N/A,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Executive Committee,7.,Pattarawadee Chotithamnawee Chotithamnawee,N/A,N/A,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Executive Committee,8.,APASSARA PANUPATTHANA,01/11/2007,N/A,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of 	Risk Management Committee,1.,NATTAPON DEJVITAK,N/A,0 / 0,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of 	Risk Management Committee,2.,KRITTINAI LERTSITTHISAK,N/A,0 / 0,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of 	Risk Management Committee,3.,PITSNU CHOKWATANA,N/A,0 / 0,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of 	Risk Management Committee,4.,APASSARA PANUPATTHANA,N/A,0 / 0,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of 	Risk Management Committee,5.,Pattarawadee Chotithamnawee Chotithamnawee,N/A,0 / 0,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Audit Committee,1.,KRITTINAI LERTSITTHISAK,N/A,0 / 0,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Audit Committee,2.,JARK CHULAKIET,N/A,0 / 0,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Audit Committee,3.,SOMJIN SORNPAISARN,N/A,0 / 0,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,JARK CHULAKIET,N/A,0 / 0,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,KRITTINAI LERTSITTHISAK,N/A,0 / 0,N/A,,
SVT,2022,4,4,20/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,VATHIT CHOKWATANA,N/A,0 / 0,N/A,,
SVT,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,1.,SUVIT THANIYAVARN,N/A,4 / 4,100.00,Yes,
