Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SWC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SWC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SWC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,CHANIN YENSUDCHAI,N/A,6 / 6,100.00,Yes,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,PRACHAK TANGKARAVAKOON,N/A,6 / 6,100.00,Yes,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,VONNARAT TANGKARAVAKOON,N/A,0 / 6,0.00,No,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,NARIN TRISUKOSOL,N/A,5 / 5,100.00,Yes,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,CHINAWAT ASSAVAPOKEE,N/A,3 / 6,50.00,No,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,NARONGRIT TANGKARAWAKUN,N/A,6 / 6,100.00,Yes,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,THAKERNGBOL LAOBISUDDHI,N/A,6 / 6,100.00,Yes,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHIDCHAI VANASATIDYA,N/A,4 / 4,100.00,No,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of the Board of Directors,9.,VICHIT YAMBOONRUANG,30/04/2022,0 / 1,0.00,No,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of the Board of Directors,10.,SOMCHAI LAOHVERAPANICH,28/04/2022,1 / 1,100.00,No,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of the Board of Directors,11.,THANAKORN WATTANAWIJARN,30/06/2022,2 / 2,100.00,Yes,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of Audit Committee,1.,CHIDCHAI VANASATIDYA,N/A,4 / 4,100.00,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of Audit Committee,2.,CHANIN YENSUDCHAI,N/A,7 / 7,100.00,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of Audit Committee,3.,CHINAWAT ASSAVAPOKEE,N/A,5 / 7,71.43,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of Audit Committee,4.,VICHIT YAMBOONRUANG,30/04/2022,1 / 2,50.00,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of Executive Committee,1.,NARONGRIT TANGKARAWAKUN,N/A,N/A,N/A,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of Executive Committee,2.,THAKERNGBOL LAOBISUDDHI,N/A,N/A,N/A,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of Executive Committee,3.,Satin  Jirakulsomchok,N/A,N/A,N/A,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of Executive Committee,4.,THANAKORN WATTANAWIJARN,30/06/2022,N/A,N/A,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of The Audit Committee,1.,CHIDCHAI VANASATIDYA,N/A,0 / 0,N/A,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of The Audit Committee,2.,CHANIN YENSUDCHAI,N/A,0 / 0,N/A,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of The Audit Committee,3.,CHINAWAT ASSAVAPOKEE,N/A,0 / 0,N/A,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,CHINAWAT ASSAVAPOKEE,N/A,0 / 0,N/A,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,2.,VONNARAT TANGKARAVAKOON,N/A,0 / 0,N/A,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,3.,NARONGRIT TANGKARAWAKUN,N/A,0 / 0,N/A,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of x,1.,NARONGRIT TANGKARAWAKUN,N/A,0 / 0,N/A,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of x,2.,THAKERNGBOL LAOBISUDDHI,N/A,0 / 0,N/A,,
SWC,2022,6,7,28/04/2022,No,Meeting Attendance of x,3.,Satin  Jirakulsomchok,N/A,0 / 0,N/A,,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of the Board of Directors,1.,PRACHAK TANGKARAVAKOON,N/A,6 / 6,100.00,Yes,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of the Board of Directors,2.,NARIN TRISUKOSOL,N/A,4 / 6,66.67,No,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of the Board of Directors,3.,NARONGRIT TANGKARAWAKUN,N/A,6 / 6,100.00,Yes,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of the Board of Directors,4.,CHIDCHAI VANASATIDYA,N/A,6 / 6,100.00,Yes,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of the Board of Directors,5.,SOMCHAI SAWASDEEPON,N/A,2 / 2,100.00,No,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of the Board of Directors,6.,SOMCHAI LAOHVERAPANICH,N/A,1 / 1,100.00,No,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of the Board of Directors,7.,CHANIN YENSUDCHAI,24/04/2023,2 / 2,100.00,No,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of the Board of Directors,8.,VONNARAT TANGKARAVAKOON,08/05/2023,2 / 2,100.00,No,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of the Board of Directors,9.,CHINAWAT ASSAVAPOKEE,24/04/2023,1 / 2,50.00,No,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of the Board of Directors,10.,THAKERNGBOL LAOBISUDDHI,10/11/2023,6 / 6,100.00,Yes,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of the Board of Directors,11.,ATTAPOL WATJARAPAIROJ,11/12/2023,2 / 2,100.00,No,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of Audit Committee,1.,CHIDCHAI VANASATIDYA,N/A,5 / 5,100.00,,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of Audit Committee,2.,SOMCHAI SAWASDEEPON,N/A,2 / 2,100.00,,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of Audit Committee,3.,CHANIN YENSUDCHAI,24/04/2023,2 / 2,100.00,,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of Audit Committee,4.,CHINAWAT ASSAVAPOKEE,24/04/2023,1 / 2,50.00,,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of Audit Committee,5.,ATTAPOL WATJARAPAIROJ,11/12/2023,2 / 2,100.00,,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of Executive Committee,1.,NARONGRIT TANGKARAWAKUN,N/A,N/A,N/A,,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of Executive Committee,2.,THAKERNGBOL LAOBISUDDHI,N/A,N/A,N/A,,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of Executive Committee,3.,Satin  Jirakulsomchok,N/A,N/A,N/A,,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of Executive Committee,4.,Somsak Chansong,N/A,N/A,N/A,,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of Executive Committee,5.,THANAKORN WATTANAWIJARN,30/06/2022,N/A,N/A,,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of The Audit Committee,1.,CHIDCHAI VANASATIDYA,N/A,0 / 0,N/A,,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of The Audit Committee,2.,CHANIN YENSUDCHAI,N/A,0 / 0,N/A,,
SWC,2023,6,5,26/04/2023,No,Meeting Attendance of The Audit Committee,3.,CHINAWAT ASSAVAPOKEE,N/A,0 / 0,N/A,,
