Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SYNEX,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SYNEX,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SYNEX,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SYNEX,2022,4,5,21/04/2022,No,Meeting Attendance of the Board of Directors,1.,SUPANT MONGKOLSUTHREE,N/A,4 / 4,100.00,Yes,
SYNEX,2022,4,5,21/04/2022,No,Meeting Attendance of the Board of Directors,2.,SHU-WU TU,N/A,4 / 4,100.00,No,
SYNEX,2022,4,5,21/04/2022,No,Meeting Attendance of the Board of Directors,3.,PRUTTIPANG TAYARACHKUL,N/A,4 / 4,100.00,Yes,
SYNEX,2022,4,5,21/04/2022,No,Meeting Attendance of the Board of Directors,4.,SHU-CHYUAN TU,N/A,4 / 4,100.00,No,
SYNEX,2022,4,5,21/04/2022,No,Meeting Attendance of the Board of Directors,5.,RAWITTHA PONGNUCHIT,N/A,4 / 4,100.00,Yes,
SYNEX,2022,4,5,21/04/2022,No,Meeting Attendance of the Board of Directors,6.,"LIN, TAI-YANG",N/A,4 / 4,100.00,Yes,
SYNEX,2022,4,5,21/04/2022,No,Meeting Attendance of the Board of Directors,7.,SUTIDA MONGKOLSUTHREE,N/A,4 / 4,100.00,Yes,
SYNEX,2022,4,5,21/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHIH-CHING SU,N/A,4 / 4,100.00,Yes,
SYNEX,2022,4,5,21/04/2022,No,Meeting Attendance of the Board of Directors,9.,YI-JU CHEN,N/A,4 / 4,100.00,Yes,
SYNEX,2022,4,5,21/04/2022,No,Meeting Attendance of the Board of Directors,10.,RACHATHA YENSUANG,N/A,4 / 4,100.00,Yes,
SYNEX,2022,4,5,21/04/2022,No,Meeting Attendance of the Board of Directors,11.,SOMCHAI HARNHIRUN,N/A,2 / 2,100.00,No,
