Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SYNTEC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SYNTEC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SYNTEC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,SOMCHAI SIRILERTPANICH,N/A,12 / 12,100.00,Yes,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,BENJAWAN SINKUNAKORN,N/A,12 / 12,100.00,Yes,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,CHAIWAT ATSAWINTARANGKUN,N/A,12 / 12,100.00,Yes,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,ARICHAI RACTHAM,N/A,12 / 12,100.00,Yes,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,ANGSANA MANKONGCHAROEN,N/A,12 / 12,100.00,Yes,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,JIRAMOTE PHAHUSUTR,N/A,12 / 12,100.00,Yes,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,TAWEE KULLERTPRASERT,N/A,12 / 12,100.00,Yes,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of the Board of Directors,8.,PAISARN TANGYUENYONG,N/A,12 / 12,100.00,Yes,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Audit Committee,1.,CHAIWAT ATSAWINTARANGKUN,N/A,5 / 5,100.00,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Audit Committee,2.,BENJAWAN SINKUNAKORN,N/A,5 / 5,100.00,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Audit Committee,3.,ARICHAI RACTHAM,N/A,5 / 5,100.00,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Executive Committee,1.,JIRAMOTE PHAHUSUTR,N/A,N/A,N/A,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Executive Committee,2.,SOMCHAI SIRILERTPANICH,N/A,N/A,N/A,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Executive Committee,3.,ANGSANA MANKONGCHAROEN,N/A,N/A,N/A,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,CHAIWAT ATSAWINTARANGKUN,N/A,0 / 0,N/A,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SOMCHAI SIRILERTPANICH,N/A,0 / 0,N/A,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,BENJAWAN SINKUNAKORN,N/A,0 / 0,N/A,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,4.,ARICHAI RACTHAM,N/A,0 / 0,N/A,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,5.,ANGSANA MANKONGCHAROEN,N/A,0 / 0,N/A,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Audit Committee,1.,CHAIWAT ATSAWINTARANGKUN,N/A,0 / 0,N/A,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Audit Committee,2.,BENJAWAN SINKUNAKORN,N/A,0 / 0,N/A,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Audit Committee,3.,ARICHAI RACTHAM,N/A,0 / 0,N/A,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Risk Management Committee,1.,ARICHAI RACTHAM,N/A,0 / 0,N/A,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Risk Management Committee,2.,Yotin Trirattanaphan,N/A,0 / 0,N/A,,
SYNTEC,2022,N/A,5,29/04/2022,No,Meeting Attendance of Risk Management Committee,3.,Piboon ChedChotirot,N/A,0 / 0,N/A,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,SOMCHAI SIRILERTPANICH,N/A,13 / 13,100.00,Yes,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,BENJAWAN SINKUNAKORN,N/A,13 / 13,100.00,Yes,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,CHAIWAT ATSAWINTARANGKUN,N/A,13 / 13,100.00,Yes,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,ARICHAI RACTHAM,N/A,13 / 13,100.00,Yes,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,ANGSANA MANKONGCHAROEN,N/A,13 / 13,100.00,Yes,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of the Board of Directors,6.,JIRAMOTE PHAHUSUTR,N/A,13 / 13,100.00,Yes,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of the Board of Directors,7.,TAWEE KULLERTPRASERT,N/A,13 / 13,100.00,Yes,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of the Board of Directors,8.,PAISARN TANGYUENYONG,N/A,13 / 13,100.00,Yes,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Audit Committee,1.,CHAIWAT ATSAWINTARANGKUN,N/A,7 / 7,100.00,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Audit Committee,2.,BENJAWAN SINKUNAKORN,N/A,7 / 7,100.00,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Audit Committee,3.,ARICHAI RACTHAM,N/A,7 / 7,100.00,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Executive Committee,1.,JIRAMOTE PHAHUSUTR,N/A,N/A,N/A,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Executive Committee,2.,SOMCHAI SIRILERTPANICH,N/A,N/A,N/A,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Executive Committee,3.,ANGSANA MANKONGCHAROEN,N/A,N/A,N/A,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,CHAIWAT ATSAWINTARANGKUN,N/A,0 / 0,N/A,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SOMCHAI SIRILERTPANICH,N/A,0 / 0,N/A,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,ANGSANA MANKONGCHAROEN,N/A,0 / 0,N/A,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,4.,BENJAWAN SINKUNAKORN,N/A,0 / 0,N/A,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,5.,ARICHAI RACTHAM,N/A,0 / 0,N/A,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Risk Management Committee,1.,ARICHAI RACTHAM,N/A,0 / 0,N/A,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Management Committee,1.,SOMCHAI SIRILERTPANICH,N/A,0 / 0,N/A,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Management Committee,2.,JIRAMOTE PHAHUSUTR,N/A,0 / 0,N/A,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Management Committee,3.,Nayot Pisanthanakul,N/A,0 / 0,N/A,,
SYNTEC,2023,13,7,28/04/2023,No,Meeting Attendance of Management Committee,4.,ANGSANA MANKONGCHAROEN,N/A,0 / 0,N/A,,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of the Board of Directors,1.,SOMCHAI SIRILERTPANICH,N/A,12 / 12,100.00,1 / 1,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of the Board of Directors,2.,BENJAWAN SINKUNAKORN,N/A,12 / 12,100.00,1 / 1,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of the Board of Directors,3.,CHAIWAT ATSAWINTARANGKUN,N/A,12 / 12,100.00,1 / 1,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of the Board of Directors,4.,ARICHAI RACTHAM,N/A,12 / 12,100.00,1 / 1,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of the Board of Directors,5.,ANGSANA MANKONGCHAROEN,N/A,12 / 12,100.00,1 / 1,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of the Board of Directors,6.,JIRAMOTE PHAHUSUTR,N/A,12 / 12,100.00,1 / 1,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of the Board of Directors,7.,TAWEE KULLERTPRASERT,N/A,11 / 12,91.67,1 / 1,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of the Board of Directors,8.,PAISARN TANGYUENYONG,N/A,12 / 12,100.00,1 / 1,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of Audit Committee,1.,CHAIWAT ATSAWINTARANGKUN,N/A,6 / 6,100.00,,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of Audit Committee,2.,BENJAWAN SINKUNAKORN,N/A,6 / 6,100.00,,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of Audit Committee,3.,ARICHAI RACTHAM,N/A,6 / 6,100.00,,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of Executive Committee,1.,JIRAMOTE PHAHUSUTR,N/A,12 / 12,100.00,,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of Executive Committee,2.,SOMCHAI SIRILERTPANICH,N/A,12 / 12,100.00,,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,CHAIWAT ATSAWINTARANGKUN,N/A,4 / 4,100.00,,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SOMCHAI SIRILERTPANICH,N/A,4 / 4,100.00,,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,ANGSANA MANKONGCHAROEN,N/A,4 / 4,100.00,,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,4.,BENJAWAN SINKUNAKORN,N/A,4 / 4,100.00,,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,5.,ARICHAI RACTHAM,N/A,4 / 4,100.00,,
SYNTEC,2024,12,6,30/04/2024,No,Meeting Attendance of Risk Management Committee,1.,ARICHAI RACTHAM,N/A,4 / 4,100.00,,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,SOMCHAI SIRILERTPANICH,N/A,7 / 7,100.00,1 / 1,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,CHAIWAT ATSAWINTARANGKUN,N/A,7 / 7,100.00,1 / 1,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,BENJAWAN SINKUNAKORN,N/A,7 / 7,100.00,1 / 1,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,ARICHAI RACTHAM,N/A,7 / 7,100.00,1 / 1,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,ANGSANA MANKONGCHAROEN,N/A,7 / 7,100.00,1 / 1,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,JIRAMOTE PHAHUSUTR,N/A,7 / 7,100.00,1 / 1,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,TAWEE KULLERTPRASERT,N/A,7 / 7,100.00,1 / 1,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,PAISARN TANGYUENYONG,N/A,7 / 7,100.00,1 / 1,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,CHAIWAT ATSAWINTARANGKUN,N/A,5 / 5,100.00,,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,BENJAWAN SINKUNAKORN,N/A,5 / 5,100.00,,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,ARICHAI RACTHAM,N/A,5 / 5,100.00,,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,SOMCHAI SIRILERTPANICH,N/A,12 / 12,100.00,,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,JIRAMOTE PHAHUSUTR,N/A,12 / 12,100.00,,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,NAYOT PISANTANAKUL,N/A,12 / 12,100.00,,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,1.,CHAIWAT ATSAWINTARANGKUN,N/A,2 / 2,100.00,,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SOMCHAI SIRILERTPANICH,N/A,2 / 2,100.00,,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,3.,ANGSANA MANKONGCHAROEN,N/A,2 / 2,100.00,,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,4.,BENJAWAN SINKUNAKORN,N/A,2 / 2,100.00,,
SYNTEC,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,5.,ARICHAI RACTHAM,N/A,2 / 2,100.00,,
SYNTEC,2025,N/A,N/A,N/A,No,"Meeting Attendance of Risk Management, Sustainability Development, and Good Corporate Governance Committee.",1.,ARICHAI RACTHAM,N/A,4 / 4,100.00,,
SYNTEC,2025,N/A,N/A,N/A,No,"Meeting Attendance of Risk Management, Sustainability Development, and Good Corporate Governance Committee.",2.,JIRAMOTE PHAHUSUTR,N/A,2 / 2,100.00,,
SYNTEC,2025,N/A,N/A,N/A,No,"Meeting Attendance of Risk Management, Sustainability Development, and Good Corporate Governance Committee.",3.,PAISARN TANGYUENYONG,N/A,2 / 2,100.00,,
SYNTEC,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
SYNTEC,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
SYNTEC,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
