Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
S,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
S,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
S,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,PETIPONG PUNGBUN NA AYUDHYA,N/A,8 / 9,88.89,Yes,
S,2022,9,8,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,PRASAN CHUAPHANICH,N/A,3 / 4,75.00,Yes,
S,2022,9,8,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,CHARAMPORN JOTIKASTHIRA,N/A,9 / 9,100.00,Yes,
S,2022,9,8,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,KAROON NUNTILEEPONG,N/A,9 / 9,100.00,Yes,
S,2022,9,8,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,THANAVATH PHONVICHAI,N/A,8 / 9,88.89,Yes,
S,2022,9,8,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,CHAYANIN DEBHAKAM,N/A,8 / 9,88.89,Yes,
S,2022,9,8,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,Voravud Bhirombhakdi,N/A,N/A,N/A,N/A,
S,2022,9,8,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,NUTCHDHAWATTANA SILPAVITTAYAKUL,N/A,9 / 9,100.00,Yes,
S,2022,9,8,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,DON BOONMAN,N/A,7 / 7,100.00,Yes,
S,2022,9,8,22/04/2022,No,Meeting Attendance of the Board of Directors,10.,THITIMA RUNGKWANSIRIROJ,N/A,9 / 9,100.00,Yes,
S,2022,9,8,22/04/2022,No,Meeting Attendance of the Board of Directors,11.,NARIS CHEYKLIN,17/02/2022,0 / 1,0.00,Yes,
S,2022,9,8,22/04/2022,No,Meeting Attendance of the Board of Directors,12.,NAPAPORN LANDY,31/05/2022,4 / 4,100.00,Yes,
S,2022,9,8,22/04/2022,No,Meeting Attendance of the Board of Directors,13.,CHUTINANT BHIROMBHAKDI,13/09/2022,0 / 7,0.00,No,
S,2022,9,8,22/04/2022,No,Meeting Attendance of Audit Committee,1.,PRASAN CHUAPHANICH,N/A,6 / 6,100.00,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of Audit Committee,2.,KAROON NUNTILEEPONG,N/A,8 / 8,100.00,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of Audit Committee,3.,CHARAMPORN JOTIKASTHIRA,N/A,8 / 8,100.00,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of Audit Committee,4.,NAPAPORN LANDY,31/05/2022,2 / 2,100.00,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of Executive Committee,1.,CHAYANIN DEBHAKAM,N/A,N/A,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of Executive Committee,2.,DON BOONMAN,N/A,N/A,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of Executive Committee,3.,Chutchai Wiratyosin,N/A,N/A,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of Executive Committee,4.,THITIMA RUNGKWANSIRIROJ,N/A,N/A,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of Executive Committee,5.,Oranee Poolkwan,N/A,N/A,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of Executive Committee,6.,Dirk Andre L. De Cuyper,N/A,N/A,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of Executive Committee,7.,Nattavuth Mathayomchan,N/A,N/A,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of Executive Committee,8.,Chairath Sivapornpan,N/A,N/A,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,CHAYANIN DEBHAKAM,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,2.,KAROON NUNTILEEPONG,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,3.,THANAVATH PHONVICHAI,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Risk Management Committee,1.,CHARAMPORN JOTIKASTHIRA,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Risk Management Committee,2.,THITIMA RUNGKWANSIRIROJ,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Risk Management Committee,3.,THANAVATH PHONVICHAI,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Corporate Governance and Sustainable Development Committee,1.,CHAYANIN DEBHAKAM,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Corporate Governance and Sustainable Development Committee,2.,NUTCHDHAWATTANA SILPAVITTAYAKUL,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Corporate Governance and Sustainable Development Committee,3.,THITIMA RUNGKWANSIRIROJ,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Corporate Governance and Sustainable Development Committee,4.,Voravud Bhirombhakdi,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Executive Committee,1.,CHAYANIN DEBHAKAM,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Executive Committee,2.,THITIMA RUNGKWANSIRIROJ,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Executive Committee,3.,Dirk Andr? L. De Cuyper,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Executive Committee,4.,Nattavuth Mathayomchan,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Executive Committee,5.,Oranee Poolkwan,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Executive Committee,6.,Chairath Sivapornpan,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Executive Committee,7.,Chutchai Wiratyosin,N/A,0 / 0,N/A,,
S,2022,9,8,22/04/2022,No,Meeting Attendance of The Executive Committee,8.,DON BOONMAN,N/A,0 / 0,N/A,,
S,2023,9,7,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,PETIPONG PUNGBUN NA AYUDHYA,N/A,9 / 9,100.00,Yes,
S,2023,9,7,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,PRASAN CHUAPHANICH,N/A,6 / 9,66.67,Yes,
S,2023,9,7,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,CHARAMPORN JOTIKASTHIRA,N/A,8 / 9,88.89,Yes,
S,2023,9,7,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,THANAVATH PHONVICHAI,N/A,9 / 9,100.00,Yes,
S,2023,9,7,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,CHANANYARAK PHETCHARAT,N/A,0 / 0,N/A,No,
S,2023,9,7,28/04/2023,No,Meeting Attendance of the Board of Directors,6.,CHAYANIN DEBHAKAM,N/A,7 / 9,77.78,Yes,
S,2023,9,7,28/04/2023,No,Meeting Attendance of the Board of Directors,7.,Voravud Bhirombhakdi,N/A,7 / 8,87.50,Yes,
S,2023,9,7,28/04/2023,No,Meeting Attendance of the Board of Directors,8.,NUTCHDHAWATTANA SILPAVITTAYAKUL,N/A,8 / 9,88.89,Yes,
S,2023,9,7,28/04/2023,No,Meeting Attendance of the Board of Directors,9.,DON BOONMAN,N/A,9 / 9,100.00,Yes,
S,2023,9,7,28/04/2023,No,Meeting Attendance of the Board of Directors,10.,THITIMA RUNGKWANSIRIROJ,N/A,9 / 9,100.00,Yes,
S,2023,9,7,28/04/2023,No,Meeting Attendance of the Board of Directors,11.,KAROON NUNTILEEPONG,05/01/2024,9 / 9,100.00,Yes,
S,2023,9,7,28/04/2023,No,Meeting Attendance of Audit Committee,1.,PRASAN CHUAPHANICH,N/A,7 / 7,100.00,,
S,2023,9,7,28/04/2023,No,Meeting Attendance of Audit Committee,2.,CHARAMPORN JOTIKASTHIRA,N/A,6 / 7,85.71,,
S,2023,9,7,28/04/2023,No,Meeting Attendance of Audit Committee,3.,CHANANYARAK PHETCHARAT,N/A,0 / 0,N/A,,
S,2023,9,7,28/04/2023,No,Meeting Attendance of Audit Committee,4.,KAROON NUNTILEEPONG,05/01/2024,7 / 7,100.00,,
S,2023,9,7,28/04/2023,No,Meeting Attendance of Executive Committee,1.,CHAYANIN DEBHAKAM,N/A,N/A,N/A,,
S,2023,9,7,28/04/2023,No,Meeting Attendance of Executive Committee,2.,DON BOONMAN,N/A,N/A,N/A,,
