Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TASCO,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TASCO,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TASCO,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of the Board of Directors,1.,CHAINOI PUANKOSOOM,N/A,6 / 6,100.00,Yes,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of the Board of Directors,2.,KOH BAN HENG,N/A,6 / 6,100.00,No,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of the Board of Directors,3.,SOMCHIT SERTTHIN,N/A,6 / 6,100.00,Yes,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of the Board of Directors,4.,CHAIWAT SRIVALWAT,N/A,6 / 6,100.00,Yes,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of the Board of Directors,5.,NIPHON SUTHIMAI,N/A,6 / 6,100.00,Yes,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of the Board of Directors,6.,NOPPORN THEPSITHAR,N/A,6 / 6,100.00,Yes,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of the Board of Directors,7.,PHIRASILP SUBHAPHOLSIRI,N/A,6 / 6,100.00,Yes,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of the Board of Directors,8.,JACQUES  MARCEL PASTOR,N/A,6 / 6,100.00,Yes,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of the Board of Directors,9.,FREDERIC JEAN PIERRE GARDES,N/A,5 / 6,83.33,No,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of the Board of Directors,10.,LAKSANA SUPSAKORN,N/A,6 / 6,100.00,Yes,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of the Board of Directors,11.,JEAN MARIE VERBRUGGHE,N/A,6 / 6,100.00,Yes,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of the Board of Directors,12.,FREDERIC JACQUES MAURICE ROUSSEL,N/A,1 / 1,100.00,No,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of the Board of Directors,13.,SITILARB SUPSAKORN,08/04/2022,2 / 2,100.00,No,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of the Board of Directors,14.,JACQUES MARECHAL,10/08/2022,5 / 5,100.00,Yes,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of the Board of Directors,15.,HUGUES DE CHAMPS,08/04/2022,2 / 2,100.00,Yes,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Audit Committee,1.,PHIRASILP SUBHAPHOLSIRI,N/A,12 / 12,100.00,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Audit Committee,2.,NOPPORN THEPSITHAR,N/A,12 / 12,100.00,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Audit Committee,3.,NIPHON SUTHIMAI,N/A,12 / 12,100.00,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Executive Committee,1.,CHAIWAT SRIVALWAT,N/A,N/A,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Executive Committee,2.,FREDERIC JACQUES MAURICE ROUSSEL,N/A,N/A,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Executive Committee,3.,JACQUES  MARCEL PASTOR,01/10/2022,N/A,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Executive Committee,4.,HUGUES DE CHAMPS,01/08/2022,N/A,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Executive Committee,5.,SITILARB SUPSAKORN,08/04/2022,N/A,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,NOPPORN THEPSITHAR,N/A,0 / 0,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,NIPHON SUTHIMAI,N/A,0 / 0,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SOMCHIT SERTTHIN,N/A,0 / 0,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,4.,FREDERIC JACQUES MAURICE ROUSSEL,N/A,0 / 0,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Sustainable Development and Corporate Governance Committee,1.,PHIRASILP SUBHAPHOLSIRI,N/A,0 / 0,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Sustainable Development and Corporate Governance Committee,2.,NIPHON SUTHIMAI,N/A,0 / 0,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Sustainable Development and Corporate Governance Committee,3.,CHAIWAT SRIVALWAT,N/A,0 / 0,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Sustainable Development and Corporate Governance Committee,4.,FREDERIC JACQUES MAURICE ROUSSEL,N/A,0 / 0,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Executive Committee,1.,CHAIWAT SRIVALWAT,N/A,0 / 0,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Executive Committee,2.,FREDERIC JACQUES MAURICE ROUSSEL,N/A,0 / 0,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Executive Committee,3.,KANYA RUENGPRATEEPSANG,N/A,0 / 0,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Executive Committee,4.,CHRISTOPHE BERNARD  VOY,N/A,0 / 0,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Executive Committee,5.,JACQUES MARECHAL,N/A,0 / 0,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Executive Committee,6.,SORANARD NANTAMONTRY,N/A,0 / 0,N/A,,
TASCO,2022,6,12,08/04/2022,No,Meeting Attendance of Executive Committee,7.,THIERRY ALAIN SIMON DEFRENE,N/A,0 / 0,N/A,,
TASCO,2023,5,12,05/04/2023,No,Meeting Attendance of the Board of Directors,1.,CHAINOI PUANKOSOOM,N/A,5 / 5,100.00,Yes,
TASCO,2023,5,12,05/04/2023,No,Meeting Attendance of the Board of Directors,2.,KOH BAN HENG,N/A,5 / 5,100.00,Yes,
TASCO,2023,5,12,05/04/2023,No,Meeting Attendance of the Board of Directors,3.,SOMCHIT SERTTHIN,N/A,5 / 5,100.00,Yes,
TASCO,2023,5,12,05/04/2023,No,Meeting Attendance of the Board of Directors,4.,CHAIWAT SRIVALWAT,N/A,5 / 5,100.00,Yes,
TASCO,2023,5,12,05/04/2023,No,Meeting Attendance of the Board of Directors,5.,NIPHON SUTHIMAI,N/A,5 / 5,100.00,Yes,
TASCO,2023,5,12,05/04/2023,No,Meeting Attendance of the Board of Directors,6.,NOPPORN THEPSITHAR,N/A,5 / 5,100.00,Yes,
