Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TBN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TBN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TBN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TBN,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TBN,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TBN,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of the Board of Directors,1.,SOONTORN DENTHAM,N/A,5 / 6,83.33,Yes,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of the Board of Directors,2.,SAM TANSKUL,N/A,6 / 6,100.00,Yes,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of the Board of Directors,3.,WIRAWAT PANTHAWANGKUN,N/A,6 / 6,100.00,Yes,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of the Board of Directors,4.,TERDPONG HONGHIRANRUENG,N/A,6 / 6,100.00,Yes,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of the Board of Directors,5.,PANAYU SIRIKRACHANGSRI,N/A,6 / 6,100.00,Yes,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of the Board of Directors,6.,NARISRA LIMTANAKOOL,N/A,6 / 6,100.00,Yes,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of the Board of Directors,7.,THIPAT SUNDRARAJUN,N/A,6 / 6,100.00,Yes,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of the Board of Directors,8.,VISUTH UDOMPITISUB,19/06/2023,2 / 2,100.00,Yes,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of the Board of Directors,9.,SAYAM SIWARAPORNSKUL,19/06/2023,2 / 2,100.00,Yes,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of Audit Committee,1.,WIRAWAT PANTHAWANGKUN,N/A,5 / 5,100.00,,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of Audit Committee,2.,SOONTORN DENTHAM,N/A,4 / 5,80.00,,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of Audit Committee,3.,SAM TANSKUL,N/A,5 / 5,100.00,,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of Executive Committee,1.,PANAYU SIRIKRACHANGSRI,N/A,N/A,N/A,,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of Executive Committee,2.,NARISRA LIMTANAKOOL,N/A,N/A,N/A,,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of Executive Committee,3.,THIPAT SUNDRARAJUN,N/A,N/A,N/A,,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of Executive Committee,4.,Kanittha Wongrawichanan,N/A,N/A,N/A,,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of Executive Committee,5.,Juraporn Prasertiap,N/A,N/A,N/A,,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of Executive Committee,6.,Thirasak Vidach,N/A,N/A,N/A,,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of Risk Management Committee,1.,SAM TANSKUL,N/A,0 / 0,N/A,,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of Risk Management Committee,2.,NARISRA LIMTANAKOOL,N/A,0 / 0,N/A,,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of Risk Management Committee,3.,THIPAT SUNDRARAJUN,N/A,0 / 0,N/A,,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SAM TANSKUL,N/A,0 / 0,N/A,,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,WIRAWAT PANTHAWANGKUN,N/A,0 / 0,N/A,,
TBN,2023,6,5,03/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,NARISRA LIMTANAKOOL,N/A,0 / 0,N/A,,
TBN,2024,6,5,29/04/2024,No,Meeting Attendance of the Board of Directors,1.,SOONTORN DENTHAM,N/A,5 / 6,83.33,1 / 1,
TBN,2024,6,5,29/04/2024,No,Meeting Attendance of the Board of Directors,2.,WIRAWAT PANTHAWANGKUN,N/A,6 / 6,100.00,1 / 1,
TBN,2024,6,5,29/04/2024,No,Meeting Attendance of the Board of Directors,3.,TERDPONG HONGHIRANRUENG,N/A,6 / 6,100.00,1 / 1,
TBN,2024,6,5,29/04/2024,No,Meeting Attendance of the Board of Directors,4.,NARISRA LIMTANAKOOL,N/A,6 / 6,100.00,1 / 1,
TBN,2024,6,5,29/04/2024,No,Meeting Attendance of the Board of Directors,5.,PANAYU SIRIKRACHANGSRI,N/A,6 / 6,100.00,1 / 1,
