Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TCAP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TCAP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TCAP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of the Board of Directors,1.,BANTERNG TANTIVIT,N/A,12 / 12,100.00,Yes,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of the Board of Directors,2.,SUPHADEJ POONPIPAT,N/A,12 / 12,100.00,Yes,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of the Board of Directors,3.,SIRIPEN SITASUWAN,N/A,12 / 12,100.00,Yes,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of the Board of Directors,4.,SUVARNAPHA SUVARNAPRATHIP,N/A,12 / 12,100.00,Yes,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of the Board of Directors,5.,SOMJATE MOOSIRILERT,N/A,12 / 12,100.00,Yes,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of the Board of Directors,6.,TIRAPHOT VAJRABHAYA,N/A,12 / 12,100.00,Yes,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of the Board of Directors,7.,VICHIT YANAMORN,N/A,12 / 12,100.00,Yes,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of the Board of Directors,8.,SALINEE WANGTAL,N/A,12 / 12,100.00,Yes,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of the Board of Directors,9.,THANACHART NUMNONDA,N/A,12 / 12,100.00,Yes,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of Audit Committee,1.,SIRIPEN SITASUWAN,N/A,13 / 13,100.00,,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of Audit Committee,2.,TIRAPHOT VAJRABHAYA,N/A,13 / 13,100.00,,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of Audit Committee,3.,SALINEE WANGTAL,N/A,13 / 13,100.00,,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of Executive Committee,1.,SUPHADEJ POONPIPAT,N/A,N/A,N/A,,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of Executive Committee,2.,SUVARNAPHA SUVARNAPRATHIP,N/A,N/A,N/A,,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of Executive Committee,3.,SOMJATE MOOSIRILERT,N/A,N/A,N/A,,
TCAP,2022,12,13,08/04/2022,No,"Meeting Attendance of Nomination, Remuneration, and Corporate Governance Committee",1.,TIRAPHOT VAJRABHAYA,N/A,0 / 0,N/A,,
TCAP,2022,12,13,08/04/2022,No,"Meeting Attendance of Nomination, Remuneration, and Corporate Governance Committee",2.,SIRIPEN SITASUWAN,N/A,0 / 0,N/A,,
TCAP,2022,12,13,08/04/2022,No,"Meeting Attendance of Nomination, Remuneration, and Corporate Governance Committee",3.,VICHIT YANAMORN,N/A,0 / 0,N/A,,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of Risk Oversight Committee,1.,THANACHART NUMNONDA,N/A,0 / 0,N/A,,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of Risk Oversight Committee,2.,VICHIT YANAMORN,N/A,0 / 0,N/A,,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of Risk Oversight Committee,3.,SALINEE WANGTAL,N/A,0 / 0,N/A,,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of Risk Oversight Committee,4.,SOMJATE MOOSIRILERT,N/A,0 / 0,N/A,,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of Risk Oversight Committee,5.,KAMTORN TANTISIRIVAT,N/A,0 / 0,N/A,,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of Executive Committee,1.,SUPHADEJ POONPIPAT,N/A,0 / 0,N/A,,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of Executive Committee,2.,SUVARNAPHA SUVARNAPRATHIP,N/A,0 / 0,N/A,,
TCAP,2022,12,13,08/04/2022,No,Meeting Attendance of Executive Committee,3.,SOMJATE MOOSIRILERT,N/A,0 / 0,N/A,,
TCAP,2023,13,12,07/04/2023,No,Meeting Attendance of the Board of Directors,1.,BANTERNG TANTIVIT,N/A,13 / 13,100.00,Yes,
TCAP,2023,13,12,07/04/2023,No,Meeting Attendance of the Board of Directors,2.,SUPHADEJ POONPIPAT,N/A,13 / 13,100.00,Yes,
TCAP,2023,13,12,07/04/2023,No,Meeting Attendance of the Board of Directors,3.,SIRIPEN SITASUWAN,N/A,13 / 13,100.00,Yes,
TCAP,2023,13,12,07/04/2023,No,Meeting Attendance of the Board of Directors,4.,TIRAPHOT VAJRABHAYA,N/A,13 / 13,100.00,Yes,
