Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TCJ,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TCJ,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TCJ,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of the Board of Directors,1.,AMNUAY PREEMONWONG,N/A,4 / 4,100.00,Yes,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of the Board of Directors,2.,TADA PHUTTHITADA,N/A,4 / 4,100.00,Yes,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of the Board of Directors,3.,SURACHAI CHOMPOOPAISORN,N/A,4 / 4,100.00,Yes,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of the Board of Directors,4.,ANANYA CHATJUTHAMARD,N/A,4 / 4,100.00,Yes,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of the Board of Directors,5.,PANTIRA CHATJUTHAMARD,N/A,4 / 4,100.00,Yes,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of the Board of Directors,6.,SONGWOOT GRAIPASPONG,N/A,4 / 4,100.00,Yes,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of the Board of Directors,7.,PRASERT YONGPRAPAKORN,N/A,2 / 2,100.00,No,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of the Board of Directors,8.,PONGSAK ANGSUPUN,06/05/2022,1 / 2,50.00,Yes,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of Audit Committee,1.,PRASERT YONGPRAPAKORN,N/A,2 / 2,100.00,,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of Audit Committee,2.,TADA PHUTTHITADA,N/A,4 / 4,100.00,,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of Audit Committee,3.,SURACHAI CHOMPOOPAISORN,N/A,4 / 4,100.00,,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of Audit Committee,4.,PONGSAK ANGSUPUN,06/05/2022,1 / 2,50.00,,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of  Nomination and Remuneration Committee,1.,TADA PHUTTHITADA,N/A,0 / 0,N/A,,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of  Nomination and Remuneration Committee,2.,SURACHAI CHOMPOOPAISORN,N/A,0 / 0,N/A,,
TCJ,2022,4,4,12/04/2022,No,Meeting Attendance of  Nomination and Remuneration Committee,3.,ANANYA CHATJUTHAMARD,N/A,0 / 0,N/A,,
