Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TCMC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TCMC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TCMC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TCMC,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,PIMOL SRIVIKORN,N/A,4 / 5,80.00,Yes,
TCMC,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,WALLIWAN VARAVARN,N/A,5 / 5,100.00,Yes,
TCMC,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,SORAVIS KRAIRIKSH,N/A,5 / 5,100.00,Yes,
TCMC,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,ISAREIT CHIRATHIVAT,N/A,5 / 5,100.00,Yes,
TCMC,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,SUVITCHA NATIVIVAT,N/A,5 / 5,100.00,Yes,
TCMC,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,SUMATE SUWANVONGKIJ,N/A,5 / 5,100.00,Yes,
TCMC,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,DUANGJAI LORLERTWIT,N/A,5 / 5,100.00,Yes,
TCMC,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,NOPPHAPORN APHIWATTHANAKUL,N/A,5 / 5,100.00,Yes,
TCMC,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,9.,PIYAPORN PHANACHET,N/A,5 / 5,100.00,Yes,
TCMC,2022,5,4,28/04/2022,No,Meeting Attendance of Audit Committee,1.,SORAVIS KRAIRIKSH,N/A,4 / 4,100.00,,
TCMC,2022,5,4,28/04/2022,No,Meeting Attendance of Audit Committee,2.,SUVITCHA NATIVIVAT,N/A,4 / 4,100.00,,
TCMC,2022,5,4,28/04/2022,No,Meeting Attendance of Audit Committee,3.,DUANGJAI LORLERTWIT,N/A,4 / 4,100.00,,
TCMC,2022,5,4,28/04/2022,No,Meeting Attendance of Executive Committee,1.,PIMOL SRIVIKORN,N/A,N/A,N/A,,
TCMC,2022,5,4,28/04/2022,No,Meeting Attendance of Executive Committee,2.,WALLIWAN VARAVARN,N/A,N/A,N/A,,
TCMC,2022,5,4,28/04/2022,No,Meeting Attendance of Executive Committee,3.,PIYAPORN PHANACHET,N/A,N/A,N/A,,
