Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TCOAT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TCOAT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TCOAT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,PORNTIP CHAROENAPORNWATANA,N/A,4 / 4,100.00,Yes,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHARTCHAI CHAROENSIRIWATANA,N/A,4 / 4,100.00,No,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,LERTCHAI CHAROENAPORNWATANA,N/A,4 / 4,100.00,Yes,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,NITAYA CHAROENAPORNWATANA,N/A,4 / 4,100.00,Yes,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,CHOKCHAI CHAROENSIRIWATANA,N/A,4 / 4,100.00,Yes,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,WICHAI LAOHMATVANICH,N/A,4 / 4,100.00,Yes,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,WEERA PUNPISOOTCHAI,N/A,3 / 3,100.00,No,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,8.,SURAPHOL TISAYUKATA,N/A,3 / 3,100.00,No,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,9.,BAMROONG SUKPHAN,21/06/2022,0 / 0,N/A,No,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,10.,PRANOM KOWINWIPAT,21/06/2022,0 / 0,N/A,No,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of Audit Committee,1.,WICHAI LAOHMATVANICH,N/A,4 / 4,100.00,,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of Audit Committee,2.,WEERA PUNPISOOTCHAI,N/A,3 / 3,100.00,,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of Audit Committee,3.,SURAPHOL TISAYUKATA,N/A,3 / 3,100.00,,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of Audit Committee,4.,PRANOM KOWINWIPAT,21/06/2022,0 / 0,N/A,,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of Audit Committee,5.,BAMROONG SUKPHAN,21/06/2022,0 / 0,N/A,,
TCOAT,2022,4,4,29/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TCOAT,2023,4,6,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,PORNTIP CHAROENAPORNWATANA,N/A,4 / 4,100.00,Yes,
TCOAT,2023,4,6,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,CHARTCHAI CHAROENSIRIWATANA,N/A,4 / 4,100.00,Yes,
TCOAT,2023,4,6,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,LERTCHAI CHAROENAPORNWATANA,N/A,4 / 4,100.00,Yes,
TCOAT,2023,4,6,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,NITAYA CHAROENAPORNWATANA,N/A,4 / 4,100.00,Yes,
TCOAT,2023,4,6,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,CHOKCHAI CHAROENSIRIWATAANAA,N/A,4 / 4,100.00,Yes,
TCOAT,2023,4,6,28/04/2023,No,Meeting Attendance of the Board of Directors,6.,WICHAI LAOHMATVANICH,N/A,4 / 4,100.00,No,
TCOAT,2023,4,6,28/04/2023,No,Meeting Attendance of the Board of Directors,7.,WEERA PUNPISOOTCHAI,N/A,4 / 4,100.00,Yes,
TCOAT,2023,4,6,28/04/2023,No,Meeting Attendance of the Board of Directors,8.,SURAPHOL TISAYUKATA,N/A,4 / 4,100.00,Yes,
TCOAT,2023,4,6,28/04/2023,No,Meeting Attendance of Audit Committee,1.,WICHAI LAOHMATVANICH,N/A,6 / 6,100.00,,
TCOAT,2023,4,6,28/04/2023,No,Meeting Attendance of Audit Committee,2.,WEERA PUNPISOOTCHAI,N/A,6 / 6,100.00,,
TCOAT,2023,4,6,28/04/2023,No,Meeting Attendance of Audit Committee,3.,SURAPHOL TISAYUKATA,N/A,6 / 6,100.00,,
TCOAT,2023,4,6,28/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TCOAT,2024,4,4,29/04/2024,No,Meeting Attendance of the Board of Directors,1.,PORNTIP CHAROENAPORNWATANA,N/A,4 / 4,100.00,1 / 1,
TCOAT,2024,4,4,29/04/2024,No,Meeting Attendance of the Board of Directors,2.,CHARTCHAI CHAROENSIRIWATANA,N/A,4 / 4,100.00,0 / 0,
TCOAT,2024,4,4,29/04/2024,No,Meeting Attendance of the Board of Directors,3.,LERTCHAI CHAROENAPORNWATANA,N/A,4 / 4,100.00,1 / 1,
TCOAT,2024,4,4,29/04/2024,No,Meeting Attendance of the Board of Directors,4.,NITAYA CHAROENAPORNWATANA,N/A,4 / 4,100.00,1 / 1,
TCOAT,2024,4,4,29/04/2024,No,Meeting Attendance of the Board of Directors,5.,CHOKCHAI CHAROENSIRIWATAANAA,N/A,4 / 4,100.00,1 / 1,
TCOAT,2024,4,4,29/04/2024,No,Meeting Attendance of the Board of Directors,6.,WICHAI LAOHMATVANICH,N/A,4 / 4,100.00,1 / 1,
TCOAT,2024,4,4,29/04/2024,No,Meeting Attendance of the Board of Directors,7.,WEERA PUNPISOOTCHAI,N/A,4 / 4,100.00,1 / 1,
TCOAT,2024,4,4,29/04/2024,No,Meeting Attendance of the Board of Directors,8.,SURAPHOL TISAYUKATA,N/A,4 / 4,100.00,1 / 1,
TCOAT,2024,4,4,29/04/2024,No,Meeting Attendance of Audit Committee,1.,WICHAI LAOHMATVANICH,N/A,4 / 4,100.00,,
TCOAT,2024,4,4,29/04/2024,No,Meeting Attendance of Audit Committee,2.,WEERA PUNPISOOTCHAI,N/A,4 / 4,100.00,,
TCOAT,2024,4,4,29/04/2024,No,Meeting Attendance of Audit Committee,3.,SURAPHOL TISAYUKATA,N/A,4 / 4,100.00,,
TCOAT,2024,4,4,29/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TCOAT,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TCOAT,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TCOAT,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TCOAT,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
TCOAT,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
TCOAT,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
