Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TEAM,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TEAM,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TEAM,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,CHAKKAPHANT MANUTSATHIT,N/A,7 / 7,100.00,Yes,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,MALIPA MANUTSATHIT,N/A,7 / 7,100.00,Yes,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,Chai jroongtanapibarn,N/A,7 / 7,100.00,Yes,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,PIROM CHAMSAI,N/A,7 / 7,100.00,Yes,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,MONKHOL KITTIPOOMVONG,N/A,7 / 7,100.00,Yes,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,SUPACHAK MANUTSATHIT,N/A,7 / 7,100.00,Yes,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Audit Committee,1.,Chai jroongtanapibarn,N/A,4 / 4,100.00,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Audit Committee,2.,PIROM CHAMSAI,N/A,4 / 4,100.00,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Audit Committee,3.,MONKHOL KITTIPOOMVONG,N/A,4 / 4,100.00,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Executive Committee,1.,CHAKKAPHANT MANUTSATHIT,N/A,N/A,N/A,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Executive Committee,2.,MALIPA MANUTSATHIT,N/A,N/A,N/A,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Executive Committee,3.,SUPACHAK MANUTSATHIT,N/A,N/A,N/A,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Audit committee,1.,Chai jroongtanapibarn,N/A,0 / 0,N/A,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Audit committee,2.,PIROM CHAMSAI,N/A,0 / 0,N/A,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Audit committee,3.,MONKHOL KITTIPOOMVONG,N/A,0 / 0,N/A,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PIROM CHAMSAI,N/A,0 / 0,N/A,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,MONKHOL KITTIPOOMVONG,N/A,0 / 0,N/A,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,CHAKKAPHANT MANUTSATHIT,N/A,0 / 0,N/A,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,4.,MALIPA MANUTSATHIT,N/A,0 / 0,N/A,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,5.,Chai jroongtanapibarn,N/A,0 / 0,N/A,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Risk Management Committee,1.,MONKHOL KITTIPOOMVONG,N/A,0 / 0,N/A,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Risk Management Committee,2.,Chai jroongtanapibarn,N/A,0 / 0,N/A,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Risk Management Committee,3.,PIROM CHAMSAI,N/A,0 / 0,N/A,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Risk Management Committee,4.,CHAKKAPHANT MANUTSATHIT,N/A,0 / 0,N/A,,
TEAM,2022,7,4,26/04/2022,No,Meeting Attendance of Risk Management Committee,5.,MALIPA MANUTSATHIT,N/A,0 / 0,N/A,,
TEAM,2023,7,N/A,24/04/2023,No,Meeting Attendance of the Board of Directors,1.,CHAKKAPHANT MANUTSATHIT,N/A,7 / 7,100.00,Yes,
TEAM,2023,7,N/A,24/04/2023,No,Meeting Attendance of the Board of Directors,2.,MALIPA MANUTSATHIT,N/A,7 / 7,100.00,Yes,
TEAM,2023,7,N/A,24/04/2023,No,Meeting Attendance of the Board of Directors,3.,Chai jroongtanapibarn,N/A,7 / 7,100.00,Yes,
TEAM,2023,7,N/A,24/04/2023,No,Meeting Attendance of the Board of Directors,4.,PIROM CHAMSAI,N/A,7 / 7,100.00,Yes,
TEAM,2023,7,N/A,24/04/2023,No,Meeting Attendance of the Board of Directors,5.,MONKHOL KITTIPOOMVONG,N/A,7 / 7,100.00,Yes,
TEAM,2023,7,N/A,24/04/2023,No,Meeting Attendance of the Board of Directors,6.,SUPACHAK MANUTSATHIT,N/A,7 / 7,100.00,Yes,
