Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TGE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TGE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TGE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,KOSIT FUANGSWASDI,N/A,N/A,N/A,N/A,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,PONGNARIN WANASUWANAKUL,N/A,N/A,N/A,N/A,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,PONGNARATE WANASUWANKUL,N/A,N/A,N/A,N/A,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,PHATCHARIN LAPHAROJKIJ,N/A,N/A,N/A,N/A,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,LAONGTIP WANASUWANNAKUL,N/A,N/A,N/A,N/A,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,THORANIT TANTIKULWICHIT,N/A,N/A,N/A,N/A,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,TANAN CHUB-UPPAKARN,N/A,N/A,N/A,N/A,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,PENSRI MEESUKSABAI,N/A,N/A,N/A,N/A,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,ARTHORN SINSAWAD,N/A,N/A,N/A,N/A,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,10.,SAKDA SIRIPHATTRASOPHON,01/01/2023,N/A,N/A,N/A,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,THORANIT TANTIKULWICHIT,N/A,N/A,N/A,,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,PENSRI MEESUKSABAI,N/A,N/A,N/A,,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,ARTHORN SINSAWAD,N/A,N/A,N/A,,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of Risk Management and Investment Committee,1.,ARTHORN SINSAWAD,N/A,0 / 0,N/A,,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of Risk Management and Investment Committee,2.,TANAN CHUB-UPPAKARN,N/A,0 / 0,N/A,,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of Risk Management and Investment Committee,3.,PONGNARIN WANASUWANAKUL,N/A,0 / 0,N/A,,
TGE,2022,N/A,N/A,N/A,No,Meeting Attendance of Risk Management and Investment Committee,4.,PONGNARATE WANASUWANKUL,N/A,0 / 0,N/A,,
TGE,2022,N/A,N/A,N/A,No,"Meeting Attendance of Nomination, Remuneration and Corportate Governance Committee",1.,PENSRI MEESUKSABAI,N/A,0 / 0,N/A,,
TGE,2022,N/A,N/A,N/A,No,"Meeting Attendance of Nomination, Remuneration and Corportate Governance Committee",2.,THORANIT TANTIKULWICHIT,N/A,0 / 0,N/A,,
TGE,2022,N/A,N/A,N/A,No,"Meeting Attendance of Nomination, Remuneration and Corportate Governance Committee",3.,TANAN CHUB-UPPAKARN,N/A,0 / 0,N/A,,
TGE,2022,N/A,N/A,N/A,No,"Meeting Attendance of Nomination, Remuneration and Corportate Governance Committee",4.,PHATCHARIN LAPHAROJKIJ,N/A,0 / 0,N/A,,
TGE,2022,N/A,N/A,N/A,No,"Meeting Attendance of Nomination, Remuneration and Corportate Governance Committee",5.,LAONGTIP WANASUWANNAKUL,N/A,0 / 0,N/A,,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,KOSIT FUANGSWASDI,N/A,6 / 6,100.00,Yes,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,PONGNARIN WANASUWANAKUL,N/A,6 / 6,100.00,Yes,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,PONGNARATE WANASUWANKUL,N/A,6 / 6,100.00,Yes,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,4.,PHATCHARIN LAPHAROJKIJ,N/A,6 / 6,100.00,Yes,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,5.,LAONGTIP WANASUWANNAKUL,N/A,6 / 6,100.00,Yes,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,6.,THORANIT TANTIKULWICHIT,N/A,6 / 6,100.00,Yes,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,7.,TANAN CHUB-UPPAKARN,N/A,6 / 6,100.00,Yes,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,8.,PENSRI MEESUKSABAI,N/A,6 / 6,100.00,Yes,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of the Board of Directors,9.,ARTHORN SINSAWAD,N/A,6 / 6,100.00,Yes,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of Audit Committee,1.,THORANIT TANTIKULWICHIT,N/A,5 / 5,100.00,,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of Audit Committee,2.,PENSRI MEESUKSABAI,N/A,5 / 5,100.00,,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of Audit Committee,3.,ARTHORN SINSAWAD,N/A,5 / 5,100.00,,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of Executive Committee,1.,PONGNARIN WANASUWANAKUL,N/A,N/A,N/A,,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of Executive Committee,2.,PONGNARATE WANASUWANKUL,N/A,N/A,N/A,,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of Executive Committee,3.,PHATCHARIN LAPHAROJKIJ,N/A,N/A,N/A,,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of Executive Committee,4.,LAONGTIP WANASUWANNAKUL,N/A,N/A,N/A,,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of Executive Committee,5.,Seubtrakul Binthep,N/A,N/A,N/A,,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of Executive Committee,6.,Thanapat Rattanapitag,N/A,N/A,N/A,,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of Executive Committee,7.,SUMATE LAKSITANONTA,31/05/2023,N/A,N/A,,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of Executive Committee,8.,Patchara Thongprapai,31/05/2023,N/A,N/A,,
TGE,2023,6,5,21/04/2023,Yes,"Meeting Attendance of Nomination, Remuneration, and Corporate Governance Committee",1.,PENSRI MEESUKSABAI,N/A,0 / 0,N/A,,
TGE,2023,6,5,21/04/2023,Yes,"Meeting Attendance of Nomination, Remuneration, and Corporate Governance Committee",2.,THORANIT TANTIKULWICHIT,N/A,0 / 0,N/A,,
TGE,2023,6,5,21/04/2023,Yes,"Meeting Attendance of Nomination, Remuneration, and Corporate Governance Committee",3.,TANAN CHUB-UPPAKARN,N/A,0 / 0,N/A,,
TGE,2023,6,5,21/04/2023,Yes,"Meeting Attendance of Nomination, Remuneration, and Corporate Governance Committee",4.,PHATCHARIN LAPHAROJKIJ,N/A,0 / 0,N/A,,
TGE,2023,6,5,21/04/2023,Yes,"Meeting Attendance of Nomination, Remuneration, and Corporate Governance Committee",5.,LAONGTIP WANASUWANNAKUL,N/A,0 / 0,N/A,,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of Risk Management and Investment Committee,1.,ARTHORN SINSAWAD,N/A,0 / 0,N/A,,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of Risk Management and Investment Committee,2.,TANAN CHUB-UPPAKARN,N/A,0 / 0,N/A,,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of Risk Management and Investment Committee,3.,PONGNARIN WANASUWANAKUL,N/A,0 / 0,N/A,,
TGE,2023,6,5,21/04/2023,Yes,Meeting Attendance of Risk Management and Investment Committee,4.,PONGNARATE WANASUWANKUL,N/A,0 / 0,N/A,,
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of the Board of Directors,1.,KOSIT FUANGSWASDI,N/A,6 / 6,100.00,1 / 1,2 / 2
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of the Board of Directors,2.,PONGNARIN WANASUWANAKUL,N/A,6 / 6,100.00,1 / 1,2 / 2
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of the Board of Directors,3.,PONGNARATE WANASUWANKUL,N/A,6 / 6,100.00,1 / 1,2 / 2
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of the Board of Directors,4.,PHATCHARIN LAPHAROJKIJ,N/A,6 / 6,100.00,1 / 1,2 / 2
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of the Board of Directors,5.,LAONGTIP WANASUWANNAKUL,N/A,6 / 6,100.00,1 / 1,2 / 2
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of the Board of Directors,6.,THORANIT TANTIKULWICHIT,N/A,6 / 6,100.00,1 / 1,2 / 2
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of the Board of Directors,7.,TANAN CHUB-UPPAKARN,N/A,6 / 6,100.00,1 / 1,2 / 2
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of the Board of Directors,8.,PENSRI MEESUKSABAI,N/A,6 / 6,100.00,1 / 1,2 / 2
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of the Board of Directors,9.,ARTHORN SINSAWAD,N/A,6 / 6,100.00,1 / 1,2 / 2
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of Audit Committee,1.,THORANIT TANTIKULWICHIT,N/A,5 / 5,100.00,,
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of Audit Committee,2.,PENSRI MEESUKSABAI,N/A,5 / 5,100.00,,
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of Audit Committee,3.,ARTHORN SINSAWAD,N/A,5 / 5,100.00,,
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of Executive Committee,1.,PONGNARIN WANASUWANAKUL,N/A,12 / 12,100.00,,
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of Executive Committee,2.,PONGNARATE WANASUWANKUL,N/A,12 / 12,100.00,,
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of Executive Committee,3.,PHATCHARIN LAPHAROJKIJ,N/A,12 / 12,100.00,,
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of Executive Committee,4.,LAONGTIP WANASUWANNAKUL,N/A,12 / 12,100.00,,
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of Executive Committee,5.,Seubtrakul Binthep,N/A,12 / 12,100.00,,
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of Executive Committee,6.,Thanapat Rattanapitag,N/A,12 / 12,100.00,,
TGE,2024,6,5,26/04/2024,Yes,Meeting Attendance of Executive Committee,7.,Munlika Thanataweerat,N/A,3 / 3,100.00,,
TGE,2024,6,5,26/04/2024,Yes,"Meeting Attendance of Nomination, Remuneration, Corporate Governance, and Sustainability Committee",1.,PENSRI MEESUKSABAI,N/A,5 / 5,100.00,,
