Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TGH,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TGH,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TGH,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,CHAROEN SIRIVADHANABHAKDI,N/A,19 / 19,100.00,Yes,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,WANNA SIRIVADHANABHAKDI,N/A,18 / 19,94.74,Yes,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,AREEPONG BHOOCHA-OOM,N/A,15 / 19,78.95,No,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,4.,THAPANA SIRIVADHANABHAKDI,N/A,18 / 19,94.74,Yes,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,5.,KULPATRA SIRODOM,N/A,18 / 19,94.74,No,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,6.,YOTHIN PIBULKASETKIJ,N/A,19 / 19,100.00,Yes,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,7.,JATE MONGKOLHUTTHI,N/A,19 / 19,100.00,Yes,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,8.,VACHARA TUNTARIYANOND,N/A,17 / 19,89.47,Yes,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,9.,BURANAWONG SOWAPRUX,N/A,19 / 19,100.00,Yes,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,10.,ANUWAT JONGYINDEE,N/A,2 / 2,100.00,No,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,11.,SITHICHAI CHAIKRIANGKRAI,N/A,13 / 13,100.00,Yes,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,12.,KITTIYA TODHANAKASEM,N/A,11 / 12,91.67,Yes,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,13.,CHOTIPHAT BIJANANDA,N/A,19 / 19,100.00,Yes,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,14.,ATINANT BIJANANDA,N/A,18 / 19,94.74,Yes,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,15.,SOMCHAI SUJJAPONGSE,N/A,19 / 19,100.00,Yes,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,16.,APICHAI BOONTHERAWARA,N/A,19 / 19,100.00,Yes,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,17.,BOONTUCK WUNGCHAROEN,30/03/2022,5 / 6,83.33,No,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of the Board of Directors,18.,PADUNGDEJ INDRALAK,10/11/2022,15 / 16,93.75,Yes,
TGH,2022,19,10,27/04/2023,Yes,Meeting Attendance of Audit Committee,1.,KULPATRA SIRODOM,N/A,10 / 10,100.00,,
