Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TGPRO,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TGPRO,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TGPRO,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TGPRO,2022,5,4,20/04/2022,No,Meeting Attendance of the Board of Directors,1.,NARONGCHAI AKRASANEE,N/A,5 / 5,100.00,Yes,
TGPRO,2022,5,4,20/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHIRADET OUSAWAT,N/A,4 / 5,80.00,Yes,
TGPRO,2022,5,4,20/04/2022,No,Meeting Attendance of the Board of Directors,3.,RACHATA LEELAPRACHAKUL,N/A,5 / 5,100.00,Yes,
TGPRO,2022,5,4,20/04/2022,No,Meeting Attendance of the Board of Directors,4.,VICHIT VUTHISOMBUT,N/A,4 / 5,80.00,Yes,
TGPRO,2022,5,4,20/04/2022,No,Meeting Attendance of the Board of Directors,5.,SITTISAK TAYPARSIT,N/A,5 / 5,100.00,Yes,
TGPRO,2022,5,4,20/04/2022,No,Meeting Attendance of the Board of Directors,6.,PREECHA JARUNGGIDANAN,N/A,5 / 5,100.00,Yes,
TGPRO,2022,5,4,20/04/2022,No,Meeting Attendance of the Board of Directors,7.,APINUN RATCHATASOMBAT,N/A,5 / 5,100.00,Yes,
TGPRO,2022,5,4,20/04/2022,No,Meeting Attendance of Audit Committee,1.,SITTISAK TAYPARSIT,N/A,4 / 4,100.00,,
TGPRO,2022,5,4,20/04/2022,No,Meeting Attendance of Audit Committee,2.,CHIRADET OUSAWAT,N/A,4 / 4,100.00,,
TGPRO,2022,5,4,20/04/2022,No,Meeting Attendance of Audit Committee,3.,PREECHA JARUNGGIDANAN,N/A,4 / 4,100.00,,
TGPRO,2022,5,4,20/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TGPRO,2022,5,4,20/04/2022,No,Meeting Attendance of  Nomination and Remuneration Committee,1.,SITTISAK TAYPARSIT,N/A,0 / 0,N/A,,
TGPRO,2022,5,4,20/04/2022,No,Meeting Attendance of  Nomination and Remuneration Committee,2.,PREECHA JARUNGGIDANAN,N/A,0 / 0,N/A,,
TGPRO,2022,5,4,20/04/2022,No,Meeting Attendance of  Nomination and Remuneration Committee,3.,CHIRADET OUSAWAT,N/A,0 / 0,N/A,,
TGPRO,2023,4,4,12/04/2023,No,Meeting Attendance of the Board of Directors,1.,NARONGCHAI AKRASANEE,N/A,4 / 4,100.00,Yes,
TGPRO,2023,4,4,12/04/2023,No,Meeting Attendance of the Board of Directors,2.,CHIRADET OUSAWAT,N/A,4 / 4,100.00,Yes,
TGPRO,2023,4,4,12/04/2023,No,Meeting Attendance of the Board of Directors,3.,RACHATA LEELAPRACHAKUL,N/A,4 / 4,100.00,Yes,
TGPRO,2023,4,4,12/04/2023,No,Meeting Attendance of the Board of Directors,4.,VICHIT VUTHISOMBUT,N/A,4 / 4,100.00,Yes,
TGPRO,2023,4,4,12/04/2023,No,Meeting Attendance of the Board of Directors,5.,SITTISAK TAYPARSIT,N/A,4 / 4,100.00,Yes,
TGPRO,2023,4,4,12/04/2023,No,Meeting Attendance of the Board of Directors,6.,PREECHA JARUNGGIDANAN,N/A,4 / 4,100.00,Yes,
TGPRO,2023,4,4,12/04/2023,No,Meeting Attendance of the Board of Directors,7.,APINUN RATCHATASOMBAT,N/A,4 / 4,100.00,Yes,
TGPRO,2023,4,4,12/04/2023,No,Meeting Attendance of Audit Committee,1.,SITTISAK TAYPARSIT,N/A,4 / 4,100.00,,
TGPRO,2023,4,4,12/04/2023,No,Meeting Attendance of Audit Committee,2.,CHIRADET OUSAWAT,N/A,4 / 4,100.00,,
TGPRO,2023,4,4,12/04/2023,No,Meeting Attendance of Audit Committee,3.,PREECHA JARUNGGIDANAN,N/A,4 / 4,100.00,,
TGPRO,2023,4,4,12/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TGPRO,2023,4,4,12/04/2023,No,Meeting Attendance of  Nomination and Remuneration Committee,1.,SITTISAK TAYPARSIT,N/A,0 / 0,N/A,,
TGPRO,2023,4,4,12/04/2023,No,Meeting Attendance of  Nomination and Remuneration Committee,2.,PREECHA JARUNGGIDANAN,N/A,0 / 0,N/A,,
TGPRO,2023,4,4,12/04/2023,No,Meeting Attendance of  Nomination and Remuneration Committee,3.,CHIRADET OUSAWAT,N/A,0 / 0,N/A,,
TGPRO,2024,6,4,11/04/2024,No,Meeting Attendance of the Board of Directors,1.,NARONGCHAI AKRASANEE,N/A,6 / 6,100.00,1 / 1,
TGPRO,2024,6,4,11/04/2024,No,Meeting Attendance of the Board of Directors,2.,CHIRADET OUSAWAT,N/A,6 / 6,100.00,1 / 1,
TGPRO,2024,6,4,11/04/2024,No,Meeting Attendance of the Board of Directors,3.,RACHATA LEELAPRACHAKUL,N/A,6 / 6,100.00,1 / 1,
TGPRO,2024,6,4,11/04/2024,No,Meeting Attendance of the Board of Directors,4.,VICHIT VUTHISOMBUT,N/A,6 / 6,100.00,1 / 1,
TGPRO,2024,6,4,11/04/2024,No,Meeting Attendance of the Board of Directors,5.,SITTISAK TAYPARSIT,N/A,6 / 6,100.00,1 / 1,
TGPRO,2024,6,4,11/04/2024,No,Meeting Attendance of the Board of Directors,6.,PREECHA JARUNGGIDANAN,N/A,6 / 6,100.00,1 / 1,
TGPRO,2024,6,4,11/04/2024,No,Meeting Attendance of the Board of Directors,7.,APINUN RATCHATASOMBAT,N/A,6 / 6,100.00,1 / 1,
TGPRO,2024,6,4,11/04/2024,No,Meeting Attendance of Audit Committee,1.,SITTISAK TAYPARSIT,N/A,4 / 4,100.00,,
TGPRO,2024,6,4,11/04/2024,No,Meeting Attendance of Audit Committee,2.,CHIRADET OUSAWAT,N/A,4 / 4,100.00,,
TGPRO,2024,6,4,11/04/2024,No,Meeting Attendance of Audit Committee,3.,PREECHA JARUNGGIDANAN,N/A,4 / 4,100.00,,
TGPRO,2024,6,4,11/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TGPRO,2024,6,4,11/04/2024,No,Meeting Attendance of  Nomination and Remuneration Committee,1.,SITTISAK TAYPARSIT,N/A,2 / 2,100.00,,
TGPRO,2024,6,4,11/04/2024,No,Meeting Attendance of  Nomination and Remuneration Committee,2.,PREECHA JARUNGGIDANAN,N/A,2 / 2,100.00,,
TGPRO,2024,6,4,11/04/2024,No,Meeting Attendance of  Nomination and Remuneration Committee,3.,CHIRADET OUSAWAT,N/A,2 / 2,100.00,,
TGPRO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,PREECHA JARUNGGIDANAN,N/A,4 / 4,100.00,1 / 1,
TGPRO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,NARONGCHAI AKRASANEE,N/A,4 / 4,100.00,1 / 1,
TGPRO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,CHIRADET OUSAWAT,N/A,4 / 4,100.00,1 / 1,
TGPRO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,VICHIT VUTHISOMBUT,N/A,4 / 4,100.00,1 / 1,
TGPRO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,SITTISAK TAYPARSIT,N/A,4 / 4,100.00,1 / 1,
TGPRO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,APINUN RATCHATASOMBAT,N/A,4 / 4,100.00,1 / 1,
TGPRO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,RACHATA LEELAPRACHAKUL,N/A,4 / 4,100.00,1 / 1,
TGPRO,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,SITTISAK TAYPARSIT,N/A,4 / 4,100.00,,
TGPRO,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,CHIRADET OUSAWAT,N/A,4 / 4,100.00,,
TGPRO,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,VICHIT VUTHISOMBUT,N/A,1 / 4,25.00,,
TGPRO,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,4.,PREECHA JARUNGGIDANAN,31/07/2025,2 / 4,50.00,,
TGPRO,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TGPRO,2025,N/A,N/A,N/A,No,Meeting Attendance of  Nomination and Remuneration Committee,1.,PREECHA JARUNGGIDANAN,31/07/2025,2 / 3,66.67,,
TGPRO,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
TGPRO,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
TGPRO,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
