Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
THCOM,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
THCOM,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
THCOM,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
THCOM,2022,10,8,25/03/2022,No,Meeting Attendance of the Board of Directors,1.,SOMPRASONG BOONYACHAI,N/A,10 / 10,100.00,Yes,
THCOM,2022,10,8,25/03/2022,No,Meeting Attendance of the Board of Directors,2.,BOONCHAI THIRATI,N/A,10 / 10,100.00,Yes,
THCOM,2022,10,8,25/03/2022,No,Meeting Attendance of the Board of Directors,3.,SUPORN LUCKMUNKONG,N/A,10 / 10,100.00,Yes,
THCOM,2022,10,8,25/03/2022,No,Meeting Attendance of the Board of Directors,4.,PORAMETEE VIMOLSIRI,N/A,9 / 10,90.00,Yes,
THCOM,2022,10,8,25/03/2022,No,Meeting Attendance of the Board of Directors,5.,SOMCHAI JINNOVART,N/A,10 / 10,100.00,Yes,
THCOM,2022,10,8,25/03/2022,No,Meeting Attendance of the Board of Directors,6.,MAANAT WONGWAT,N/A,10 / 10,100.00,Yes,
THCOM,2022,10,8,25/03/2022,No,Meeting Attendance of the Board of Directors,7.,KIM SIRITAWEECHAI,N/A,10 / 10,100.00,Yes,
THCOM,2022,10,8,25/03/2022,No,Meeting Attendance of the Board of Directors,8.,PATOMPOB SUWANSIRI,N/A,10 / 10,100.00,Yes,
THCOM,2022,10,8,25/03/2022,No,Meeting Attendance of the Board of Directors,9.,KANIT VALLAYAPET,N/A,5 / 5,100.00,No,
THCOM,2022,10,8,25/03/2022,No,Meeting Attendance of the Board of Directors,10.,PAREENA SRIVANIT,03/05/2022,4 / 4,100.00,Yes,
THCOM,2022,10,8,25/03/2022,No,Meeting Attendance of Audit Committee,1.,PORAMETEE VIMOLSIRI,N/A,8 / 8,100.00,,
THCOM,2022,10,8,25/03/2022,No,Meeting Attendance of Audit Committee,2.,SOMCHAI JINNOVART,N/A,8 / 8,100.00,,
THCOM,2022,10,8,25/03/2022,No,Meeting Attendance of Audit Committee,3.,KANIT VALLAYAPET,N/A,4 / 5,80.00,,
THCOM,2022,10,8,25/03/2022,No,Meeting Attendance of Audit Committee,4.,PAREENA SRIVANIT,03/05/2022,3 / 3,100.00,,
