Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TIGER,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TIGER,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TIGER,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TIGER,2022,4,4,07/04/2023,No,Meeting Attendance of the Board of Directors,1.,VICHATE TANTIWANICH,N/A,4 / 4,100.00,Yes,
TIGER,2022,4,4,07/04/2023,No,Meeting Attendance of the Board of Directors,2.,VIBOON POJANALAI,N/A,4 / 4,100.00,Yes,
TIGER,2022,4,4,07/04/2023,No,Meeting Attendance of the Board of Directors,3.,JATURONG SRIKULRUANGROJ,N/A,4 / 4,100.00,Yes,
TIGER,2022,4,4,07/04/2023,No,Meeting Attendance of the Board of Directors,4.,KITTI DUSADEEPUTIPHAN,N/A,4 / 4,100.00,Yes,
TIGER,2022,4,4,07/04/2023,No,Meeting Attendance of the Board of Directors,5.,PISIT SAENG-XUTO,N/A,4 / 4,100.00,Yes,
TIGER,2022,4,4,07/04/2023,No,Meeting Attendance of the Board of Directors,6.,JOMPOL NUNAK,N/A,4 / 4,100.00,Yes,
TIGER,2022,4,4,07/04/2023,No,Meeting Attendance of the Board of Directors,7.,PITAK UTHAITHAM,N/A,4 / 4,100.00,Yes,
TIGER,2022,4,4,07/04/2023,No,Meeting Attendance of Audit Committee,1.,VICHATE TANTIWANICH,N/A,4 / 4,100.00,,
TIGER,2022,4,4,07/04/2023,No,Meeting Attendance of Audit Committee,2.,PISIT SAENG-XUTO,N/A,4 / 4,100.00,,
TIGER,2022,4,4,07/04/2023,No,Meeting Attendance of Audit Committee,3.,PITAK UTHAITHAM,N/A,4 / 4,100.00,,
TIGER,2022,4,4,07/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TIGER,2022,4,4,07/04/2023,No,Meeting Attendance of Risk Management Committee,1.,PISIT SAENG-XUTO,N/A,0 / 0,N/A,,
TIGER,2022,4,4,07/04/2023,No,Meeting Attendance of Risk Management Committee,2.,JATURONG SRIKULRUANGROJ,N/A,0 / 0,N/A,,
TIGER,2022,4,4,07/04/2023,No,Meeting Attendance of Risk Management Committee,3.,KITTI DUSADEEPUTIPHAN,N/A,0 / 0,N/A,,
TIGER,2023,4,4,07/04/2023,No,Meeting Attendance of the Board of Directors,1.,PISIT SAENG-XUTO,N/A,4 / 4,100.00,Yes,
TIGER,2023,4,4,07/04/2023,No,Meeting Attendance of the Board of Directors,2.,VIBOON POJANALAI,N/A,4 / 4,100.00,Yes,
TIGER,2023,4,4,07/04/2023,No,Meeting Attendance of the Board of Directors,3.,JATURONG SRIKULRUANGROJ,N/A,4 / 4,100.00,Yes,
TIGER,2023,4,4,07/04/2023,No,Meeting Attendance of the Board of Directors,4.,KITTI DUSADEEPUTIPHAN,N/A,4 / 4,100.00,Yes,
TIGER,2023,4,4,07/04/2023,No,Meeting Attendance of the Board of Directors,5.,JOMPOL NUNAK,N/A,4 / 4,100.00,Yes,
