Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TIPCO,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TIPCO,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TIPCO,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of the Board of Directors,1.,LAKSANA SUPSAKORN,N/A,8 / 8,100.00,Yes,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of the Board of Directors,2.,PONGSATORN BUASUP,N/A,8 / 8,100.00,Yes,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of the Board of Directors,3.,SURACHET SUPSAKORN,N/A,8 / 8,100.00,Yes,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of the Board of Directors,4.,PAISAL PONGPRAYOON,N/A,8 / 8,100.00,Yes,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of the Board of Directors,5.,ANURAT TIAMTAN,N/A,8 / 8,100.00,Yes,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of the Board of Directors,6.,KRIS SERTTHIN,N/A,8 / 8,100.00,Yes,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of the Board of Directors,7.,NONTIGORN KANCHANACHITRA,N/A,2 / 2,100.00,No,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of the Board of Directors,8.,SOMCHAI SUPATTARAKUL,N/A,2 / 2,100.00,N/A,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of the Board of Directors,9.,CHOKCHAI TOCHAROENTANAPHOL,N/A,1 / 1,100.00,No,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of the Board of Directors,10.,Thammasak Jittimaporn,N/A,N/A,N/A,No,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of the Board of Directors,11.,VIRAT PHAIRATPHIBOON,01/06/2022,3 / 5,60.00,No,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of the Board of Directors,12.,CHALIT LIMPANAVECH,01/06/2022,4 / 5,80.00,Yes,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of the Board of Directors,13.,SITILARB SUPSAKORN,05/07/2022,5 / 5,100.00,Yes,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of the Board of Directors,14.,ACHARA PRICHA,01/06/2022,5 / 5,100.00,Yes,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of the Board of Directors,15.,YONGSIT ROJSRIKUL,27/04/2022,4 / 4,100.00,Yes,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Audit Committee,1.,PONGSATORN BUASUP,N/A,2 / 2,100.00,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Audit Committee,2.,PAISAL PONGPRAYOON,N/A,4 / 4,100.00,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Audit Committee,3.,SOMCHAI SUPATTARAKUL,N/A,2 / 2,100.00,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Audit Committee,4.,VIRAT PHAIRATPHIBOON,01/06/2022,2 / 2,100.00,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Audit Committee,5.,ACHARA PRICHA,01/06/2022,2 / 2,100.00,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Executive Committee,1.,YONGSIT ROJSRIKUL,27/04/2022,N/A,N/A,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PAISAL PONGPRAYOON,N/A,0 / 0,N/A,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SURACHET SUPSAKORN,N/A,0 / 0,N/A,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,NONTIGORN KANCHANACHITRA,N/A,0 / 0,N/A,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Corporate Governance Committee,1.,LAKSANA SUPSAKORN,N/A,0 / 0,N/A,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Corporate Governance Committee,2.,PONGSATORN BUASUP,N/A,0 / 0,N/A,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Corporate Governance Committee,3.,ANURAT TIAMTAN,N/A,0 / 0,N/A,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Corporate Governance Committee,4.,SURACHET SUPSAKORN,N/A,0 / 0,N/A,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Corporate Governance Committee,5.,KRIS SERTTHIN,N/A,0 / 0,N/A,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Corporate Governance Committee,6.,PAISAL PONGPRAYOON,N/A,0 / 0,N/A,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Corporate Governance Committee,7.,Thammasak Jittimaporn,N/A,0 / 0,N/A,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Corporate Governance Committee,8.,SOMCHAI SUPATTARAKUL,N/A,0 / 0,N/A,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Corporate Governance Committee,9.,NONTIGORN KANCHANACHITRA,N/A,0 / 0,N/A,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Corporate Governance Committee,10.,CHOKCHAI TOCHAROENTANAPHOL,N/A,0 / 0,N/A,,
TIPCO,2022,8,4,07/04/2022,No,Meeting Attendance of Risk Management Committee,1.,YONGSIT ROJSRIKUL,N/A,0 / 0,N/A,,
TIPCO,2023,7,4,07/04/2023,No,Meeting Attendance of the Board of Directors,1.,PONGSATORN BUASUP,N/A,7 / 7,100.00,Yes,
TIPCO,2023,7,4,07/04/2023,No,Meeting Attendance of the Board of Directors,2.,PAISAL PONGPRAYOON,N/A,7 / 7,100.00,Yes,
TIPCO,2023,7,4,07/04/2023,No,Meeting Attendance of the Board of Directors,3.,ANURAT TIAMTAN,N/A,7 / 7,100.00,Yes,
TIPCO,2023,7,4,07/04/2023,No,Meeting Attendance of the Board of Directors,4.,KRIS SERTTHIN,N/A,7 / 7,100.00,Yes,
TIPCO,2023,7,4,07/04/2023,No,Meeting Attendance of the Board of Directors,5.,NONTIGORN KANCHANACHITRA,N/A,7 / 7,100.00,Yes,
