Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TITLE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TITLE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TITLE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,SUVIT LAMSAM,N/A,6 / 6,100.00,Yes,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,JITTIMA SAJJAVANIJ INTUJUNYONG,N/A,6 / 6,100.00,Yes,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,CHAIVUTH CHITTRAKHANI,N/A,6 / 6,100.00,Yes,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,DENDANAI HUTAJUTA,N/A,6 / 6,100.00,Yes,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,DARONG HUTAJUTA,N/A,6 / 6,100.00,Yes,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,VIROJ HUTAJUTA,N/A,6 / 6,100.00,Yes,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,PRASERT VANNACHAROEN,N/A,6 / 6,100.00,Yes,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHERAYA UDOMVONGSUP,N/A,6 / 6,100.00,Yes,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,9.,SRIRATANA HUTAJUTA,N/A,1 / 6,16.67,No,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of the Board of Directors,10.,SASIPONG PINKAEW,30/09/2022,4 / 6,66.67,Yes,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of Audit Committee,1.,SUVIT LAMSAM,N/A,4 / 4,100.00,,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of Audit Committee,2.,CHAIVUTH CHITTRAKHANI,N/A,4 / 4,100.00,,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of Audit Committee,3.,JITTIMA SAJJAVANIJ INTUJUNYONG,N/A,4 / 4,100.00,,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of Executive Committee,1.,DENDANAI HUTAJUTA,N/A,N/A,N/A,,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of Executive Committee,2.,DARONG HUTAJUTA,N/A,N/A,N/A,,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of Executive Committee,3.,PRASERT VANNACHAROEN,N/A,N/A,N/A,,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of Executive Committee,4.,SASIPONG PINKAEW,30/09/2022,N/A,N/A,,
TITLE,2022,6,4,29/04/2022,No,Meeting Attendance of Risk Management Committee,1.,CHAIVUTH CHITTRAKHANI,N/A,0 / 0,N/A,,
