Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TKC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TKC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TKC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TKC,2022,7,5,28/04/2022,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TKC,2022,7,5,28/04/2022,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TKC,2022,7,5,28/04/2022,No,Meeting Attendance of Executive Committee,1.,N/A,N/A,N/A,N/A,,
TKC,2022,7,5,28/04/2022,No,Meeting Attendance of Executive Committee,2.,N/A,N/A,N/A,N/A,,
TKC,2022,7,5,28/04/2022,No,Meeting Attendance of Executive Committee,3.,N/A,N/A,N/A,N/A,,
TKC,2023,8,4,20/04/2023,Yes,Meeting Attendance of the Board of Directors,,No Information,,,,,
TKC,2023,8,4,20/04/2023,Yes,Meeting Attendance of Audit Committee,,No Information,,,,,
TKC,2023,8,4,20/04/2023,Yes,Meeting Attendance of Executive Committee,1.,N/A,N/A,N/A,N/A,,
TKC,2023,8,4,20/04/2023,Yes,Meeting Attendance of Executive Committee,2.,N/A,N/A,N/A,N/A,,
TKC,2023,8,4,20/04/2023,Yes,Meeting Attendance of Executive Committee,3.,N/A,N/A,N/A,N/A,,
TKC,2024,6,4,19/04/2024,No,Meeting Attendance of the Board of Directors,1.,KITTISAK AMORNCHAIROJKUL,N/A,6 / 6,100.00,1 / 1,
TKC,2024,6,4,19/04/2024,No,Meeting Attendance of the Board of Directors,2.,SAYAM TIEWTRANON,N/A,6 / 6,100.00,1 / 1,
TKC,2024,6,4,19/04/2024,No,Meeting Attendance of the Board of Directors,3.,WIWAT WETTHAYANUKOOL,N/A,5 / 6,83.33,1 / 1,
TKC,2024,6,4,19/04/2024,No,Meeting Attendance of the Board of Directors,4.,PICHAI CHAINARONGLOKA,N/A,6 / 6,100.00,1 / 1,
TKC,2024,6,4,19/04/2024,No,Meeting Attendance of the Board of Directors,5.,SITHIDEJ MAYALARP,N/A,6 / 6,100.00,1 / 1,
TKC,2024,6,4,19/04/2024,No,Meeting Attendance of the Board of Directors,6.,KULNADA ORANRAKTHAM,N/A,6 / 6,100.00,1 / 1,
TKC,2024,6,4,19/04/2024,No,Meeting Attendance of the Board of Directors,7.,PIYA JIRAPAPONGSA,N/A,6 / 6,100.00,1 / 1,
TKC,2024,6,4,19/04/2024,No,Meeting Attendance of the Board of Directors,8.,RADAKARN MEETAM,N/A,6 / 6,100.00,1 / 1,
TKC,2024,6,4,19/04/2024,No,Meeting Attendance of the Board of Directors,9.,KHEMCHART NANTASAGUANTHAI,N/A,6 / 6,100.00,1 / 1,
TKC,2024,6,4,19/04/2024,No,Meeting Attendance of the Board of Directors,10.,SUREERAT PRACHAYANUKUL,N/A,5 / 5,100.00,1 / 1,
TKC,2024,6,4,19/04/2024,No,Meeting Attendance of the Board of Directors,11.,SASINET BAHOLYODHIN,N/A,1 / 1,100.00,1 / 1,
TKC,2024,6,4,19/04/2024,No,Meeting Attendance of the Board of Directors,12.,SIRIPONG OONTORNPAN,13/10/2024,1 / 3,33.33,1 / 1,
TKC,2024,6,4,19/04/2024,No,Meeting Attendance of Audit Committee,1.,WIWAT WETTHAYANUKOOL,N/A,4 / 4,100.00,,
