Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TKN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TKN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TKN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,1.,YUTH VORACHATTARN,N/A,7 / 7,100.00,Yes,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,2.,ITTHIPAT PEERADECHAPAN,N/A,7 / 7,100.00,Yes,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,3.,ORRAPAT PEERADECHAPAN,N/A,7 / 7,100.00,Yes,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,4.,PORNTERA RONGKASIRIPHAN,N/A,7 / 7,100.00,Yes,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,5.,CHAIYONG RATANACHROENSIRI,N/A,7 / 7,100.00,Yes,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,6.,WANEE THASANAMONTIEN,N/A,7 / 7,100.00,Yes,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,7.,JIRAPONG SUNTIPIROMKUL,N/A,6 / 7,85.71,Yes,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,8.,SOMJIN SORNPAISARN,N/A,4 / 5,80.00,Yes,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,9.,MOOKDA PAIRATCHAVET,N/A,5 / 5,100.00,Yes,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of the Board of Directors,10.,SOMBOON PRASITJUTRAKUL,20/04/2022,N/A,N/A,No,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of Audit Committee,1.,WANEE THASANAMONTIEN,N/A,4 / 4,100.00,,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of Audit Committee,2.,YUTH VORACHATTARN,N/A,4 / 4,100.00,,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of Audit Committee,3.,CHAIYONG RATANACHROENSIRI,N/A,4 / 4,100.00,,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SOMJIN SORNPAISARN,N/A,0 / 0,N/A,,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of Risk Management Committee,2.,ORRAPAT PEERADECHAPAN,N/A,0 / 0,N/A,,
TKN,2022,7,4,20/04/2022,No,Meeting Attendance of Risk Management Committee,3.,JIRAPONG SUNTIPIROMKUL,N/A,0 / 0,N/A,,
