Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TKS,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TKS,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TKS,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of the Board of Directors,1.,APISAK TANTIVORAWONG,N/A,6 / 6,100.00,No,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of the Board of Directors,2.,SAOWANEE KAMOLBUTR,N/A,7 / 7,100.00,Yes,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of the Board of Directors,3.,JUTIPHAN MONGKOLSUTHREE,N/A,7 / 7,100.00,Yes,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of the Board of Directors,4.,AREEPONG BHOOCHA-OOM,N/A,7 / 7,100.00,Yes,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of the Board of Directors,5.,PRASERT BUNSUMPUN,N/A,6 / 7,85.71,Yes,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of the Board of Directors,6.,SUTIDA MONGKOLSUTHREE,N/A,6 / 7,85.71,Yes,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of the Board of Directors,7.,LADAWAN CHAROEN-RAJAPARK,N/A,6 / 6,100.00,Yes,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of the Board of Directors,8.,MONTRI MAHAPLERKPONG,N/A,1 / 2,50.00,No,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of the Board of Directors,9.,SUPANT MONGKOLSUTHREE,11/11/2022,5 / 5,100.00,Yes,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of the Board of Directors,10.,CHANANYARAK PHETCHARAT,25/02/2022,1 / 1,100.00,No,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Audit Committee,1.,AREEPONG BHOOCHA-OOM,N/A,5 / 5,100.00,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Audit Committee,2.,PRASERT BUNSUMPUN,N/A,5 / 5,100.00,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Audit Committee,3.,LADAWAN CHAROEN-RAJAPARK,N/A,4 / 4,100.00,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Audit Committee,4.,SAOWANEE KAMOLBUTR,25/02/2022,1 / 1,100.00,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Executive Committee,1.,JUTIPHAN MONGKOLSUTHREE,N/A,N/A,N/A,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Executive Committee,2.,Parkpoom Pooudom,N/A,N/A,N/A,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Executive Committee,3.,Pakpoom Kangsananont,N/A,N/A,N/A,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Executive Committee,4.,SUPANT MONGKOLSUTHREE,09/08/2022,N/A,N/A,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PRASERT BUNSUMPUN,N/A,0 / 0,N/A,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,AREEPONG BHOOCHA-OOM,N/A,0 / 0,N/A,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SUTIDA MONGKOLSUTHREE,N/A,0 / 0,N/A,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,SAOWANEE KAMOLBUTR,N/A,0 / 0,N/A,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,JUTIPHAN MONGKOLSUTHREE,N/A,0 / 0,N/A,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Corporate Governance and Sustainability Committee,3.,Parkpoom Pooudom,N/A,0 / 0,N/A,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Risk Management Committee,1.,MONTRI MAHAPLERKPONG,N/A,0 / 0,N/A,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Risk Management Committee,2.,JUTIPHAN MONGKOLSUTHREE,N/A,0 / 0,N/A,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Risk Management Committee,3.,Parkpoom Pooudom,N/A,0 / 0,N/A,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Risk Management Committee,4.,Pakpoom Kangsananont,N/A,0 / 0,N/A,,
TKS,2022,7,5,21/04/2022,No,Meeting Attendance of Risk Management Committee,5.,Cherdsakul Onmongkol,N/A,0 / 0,N/A,,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,APISAK TANTIVORAWONG,N/A,7 / 7,100.00,Yes,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,SAOWANEE KAMOLBUTR,N/A,7 / 7,100.00,Yes,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,JUTIPHAN MONGKOLSUTHREE,N/A,7 / 7,100.00,Yes,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,4.,AREEPONG BHOOCHA-OOM,N/A,5 / 7,71.43,Yes,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,5.,PRASERT BUNSUMPUN,N/A,7 / 7,100.00,Yes,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,6.,SUTIDA MONGKOLSUTHREE,N/A,7 / 7,100.00,Yes,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,7.,PRAPAS KONG-IED,N/A,6 / 6,100.00,No,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,8.,Parkpoom Pooudom,N/A,6 / 6,100.00,No,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,9.,SUPANT MONGKOLSUTHREE,N/A,0 / 0,N/A,No,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,10.,LADAWAN CHAROEN-RAJAPARK,21/12/2023,6 / 6,100.00,Yes,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of the Board of Directors,11.,MONTRI MAHAPLERKPONG,11/05/2023,1 / 1,100.00,Yes,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of Audit Committee,1.,PRASERT BUNSUMPUN,N/A,5 / 5,100.00,,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of Audit Committee,2.,PRAPAS KONG-IED,N/A,3 / 3,100.00,,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of Audit Committee,3.,AREEPONG BHOOCHA-OOM,N/A,2 / 2,100.00,,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of Audit Committee,4.,LADAWAN CHAROEN-RAJAPARK,21/12/2023,5 / 5,100.00,,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of Executive Committee,1.,JUTIPHAN MONGKOLSUTHREE,N/A,N/A,N/A,,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of Executive Committee,2.,Parkpoom Pooudom,N/A,N/A,N/A,,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of Executive Committee,3.,Pakpoom Kangsananont,01/11/2023,N/A,N/A,,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,PRAPAS KONG-IED,N/A,0 / 0,N/A,,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,SUPANT MONGKOLSUTHREE,N/A,0 / 0,N/A,,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,SUTIDA MONGKOLSUTHREE,N/A,0 / 0,N/A,,
TKS,2023,7,5,20/04/2023,Yes,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,SAOWANEE KAMOLBUTR,N/A,0 / 0,N/A,,
