Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TK,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TK,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TK,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TK,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TK,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TK,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,1.,CHUMPOL PHORNPRAPHA,N/A,4 / 4,100.00,Yes,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,2.,PRATHAMA PHORNPRAPHA,N/A,4 / 4,100.00,Yes,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,3.,RAKSANIT PHORNPRAPHA,N/A,3 / 4,75.00,Yes,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,4.,SATITPHONG PHORNPRAPHA,N/A,4 / 4,100.00,Yes,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,5.,PRAPOL PHORNPRAPHA,N/A,4 / 4,100.00,Yes,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,6.,PRASIT SAINONSEE,N/A,4 / 4,100.00,Yes,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,7.,APICHART KASEMKULSIRI,N/A,4 / 4,100.00,Yes,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,8.,SAOWANEE KAMOLBUTR,N/A,4 / 4,100.00,Yes,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,9.,KIATTIKHUN CHARTPRASERT,N/A,4 / 4,100.00,Yes,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,10.,NHA-KRAN LOAHAVILAI,N/A,4 / 4,100.00,Yes,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,11.,TAWEESAK CHAROENSAKYOTHIN,N/A,0 / 0,N/A,No,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,12.,APHICHAI UEMSATHIENPORN,21/02/2023,1 / 1,100.00,No,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,13.,SIRIPEN NEAMCHAROUN,08/11/2023,3 / 3,100.00,Yes,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of Audit Committee,1.,APICHART KASEMKULSIRI,N/A,4 / 4,100.00,,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of Audit Committee,2.,SAOWANEE KAMOLBUTR,N/A,4 / 4,100.00,,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of Audit Committee,3.,KIATTIKHUN CHARTPRASERT,N/A,4 / 4,100.00,,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,1.,PRATHAMA PHORNPRAPHA,N/A,N/A,N/A,,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,2.,PRAPOL PHORNPRAPHA,N/A,N/A,N/A,,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,3.,RAKSANIT PHORNPRAPHA,N/A,N/A,N/A,,
TK,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,4.,PRASIT SAINONSEE,N/A,N/A,N/A,,
