Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TLI,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TLI,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TLI,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of the Board of Directors,1.,WINAI PHATTIYAKUL,N/A,8 / 8,100.00,Yes,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHAI CHAIYAWAN,N/A,8 / 8,100.00,Yes,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of the Board of Directors,3.,THANYA JARERNSUK,N/A,8 / 8,100.00,Yes,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of the Board of Directors,4.,VARANG CHAIYAWAN,N/A,8 / 8,100.00,Yes,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of the Board of Directors,5.,QUANVARI PRAMOJ NA AYUDHYA,N/A,8 / 8,100.00,Yes,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of the Board of Directors,6.,THIRACHAI PHUVANATNARANUBALA,N/A,7 / 8,87.50,Yes,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of the Board of Directors,7.,PRIN MALAKUL NA AYUDHYA,N/A,7 / 8,87.50,Yes,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of the Board of Directors,8.,AMNART WONGPINITWARODOM,N/A,8 / 8,100.00,Yes,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of the Board of Directors,9.,SRISUDA PULPIPATANAN,N/A,8 / 8,100.00,Yes,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of the Board of Directors,10.,PONPIPAAT BENYASRI,N/A,8 / 8,100.00,Yes,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of the Board of Directors,11.,PAKORN MALAKUL NA AYUDHYA,N/A,7 / 8,87.50,Yes,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of the Board of Directors,12.,DAISAKU SHINTAKU,N/A,5 / 5,100.00,No,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of the Board of Directors,13.,Kazunori Yamauchi,01/04/2022,3 / 3,100.00,No,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of Audit Committee,1.,THIRACHAI PHUVANATNARANUBALA,N/A,8 / 8,100.00,,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of Audit Committee,2.,QUANVARI PRAMOJ NA AYUDHYA,N/A,8 / 8,100.00,,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of Audit Committee,3.,AMNART WONGPINITWARODOM,N/A,8 / 8,100.00,,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of Executive Committee,1.,CHAI CHAIYAWAN,N/A,N/A,N/A,,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of Executive Committee,2.,VARANG CHAIYAWAN,N/A,N/A,N/A,,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of Executive Committee,3.,Winyou Chaiyawan,N/A,N/A,N/A,,
TLI,2022,8,8,01/04/2022,No,Meeting Attendance of Executive Committee,4.,Kean Hin Lim,N/A,N/A,N/A,,
