Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TL,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TL,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TL,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TL,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TL,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TL,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,1.,THANACHAI SANTICHAIKUL,N/A,7 / 7,100.00,Yes,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,2.,PIPAT CHANASONGKRAM,N/A,6 / 7,85.71,Yes,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,3.,EKKAWIT KAEWWICHIAN,N/A,6 / 7,85.71,Yes,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,4.,WORASAK KRIENGKOMOL,N/A,7 / 7,100.00,Yes,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,5.,PRAPAT YORKHANT,N/A,7 / 7,100.00,Yes,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,6.,SUVICHA KAEWFACHAROEN,N/A,7 / 7,100.00,Yes,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of the Board of Directors,7.,ISSARA ROUNGSUK-UDOM,01/11/2023,6 / 7,85.71,Yes,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of Audit Committee,1.,PIPAT CHANASONGKRAM,N/A,4 / 4,100.00,,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of Audit Committee,2.,EKKAWIT KAEWWICHIAN,N/A,4 / 4,100.00,,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of Audit Committee,3.,SUVICHA KAEWFACHAROEN,N/A,4 / 4,100.00,,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of Risk Management Committee,1.,PRAPAT YORKHANT,N/A,0 / 0,N/A,,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of Risk Management Committee,2.,WORASAK KRIENGKOMOL,N/A,0 / 0,N/A,,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of Risk Management Committee,3.,ISSARA ROUNGSUK-UDOM,N/A,0 / 0,N/A,,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,EKKAWIT KAEWWICHIAN,N/A,0 / 0,N/A,,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,ISSARA ROUNGSUK-UDOM,N/A,0 / 0,N/A,,
TL,2023,7,4,24/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SUVICHA KAEWFACHAROEN,N/A,0 / 0,N/A,,
TL,2024,11,4,24/04/2024,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TL,2024,11,4,24/04/2024,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TL,2024,11,4,24/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TL,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TL,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TL,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,N/A,N/A,0 / 0,N/A,,
TL,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,N/A,N/A,0 / 0,N/A,,
TL,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,N/A,N/A,0 / 0,N/A,,
TL,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,N/A,10/12/2025,0 / 0,N/A,,
TL,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,5.,N/A,13/11/2025,0 / 0,N/A,,
TL,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
TL,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
TL,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
