Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TNH,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TNH,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TNH,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TNH,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TNH,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TNH,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of the Board of Directors,1.,CHAROEN MEENSOOK,N/A,4 / 4,100.00,Yes,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of the Board of Directors,2.,PRAPAT SUTHAWATE,N/A,4 / 4,100.00,Yes,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of the Board of Directors,3.,KRAISAK KADKUM,N/A,4 / 4,100.00,Yes,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of the Board of Directors,4.,CHERTSAK DHIRAPUTRA,N/A,3 / 4,75.00,No,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of the Board of Directors,5.,PANYA ISSARAWORNRAWANICH,N/A,4 / 4,100.00,Yes,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of the Board of Directors,6.,ARKOM CHEIRSILPA,N/A,4 / 4,100.00,Yes,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of the Board of Directors,7.,THITI SIHANATKATHAKUL,N/A,4 / 4,100.00,Yes,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of the Board of Directors,8.,PITIPAT SIHANATKATHAKUL,N/A,3 / 4,75.00,Yes,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of the Board of Directors,9.,NORATHEP SIHANARTKATAKUL,N/A,4 / 4,100.00,Yes,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of the Board of Directors,10.,CHAILERG VIRIYARATTANAPORN,N/A,4 / 4,100.00,Yes,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of the Board of Directors,11.,TOSAPORN SIHANATKATHAKUL,N/A,4 / 4,100.00,Yes,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of the Board of Directors,12.,DAN TANPHAICHITRA,N/A,3 / 4,75.00,Yes,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of the Board of Directors,13.,SUMETH JENJESDA,17/11/2022,0 / 4,0.00,No,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of the Board of Directors,14.,PRIDI HETRAKUL,11/09/2022,0 / 4,0.00,No,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of Audit Committee,1.,KRAISAK KADKUM,N/A,5 / 5,100.00,,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of Audit Committee,2.,CHERTSAK DHIRAPUTRA,N/A,4 / 5,80.00,,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of Audit Committee,3.,PANYA ISSARAWORNRAWANICH,N/A,5 / 5,100.00,,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of Audit Committee,4.,CHAILERG VIRIYARATTANAPORN,N/A,4 / 5,80.00,,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of Audit Committee,5.,PRIDI HETRAKUL,11/09/2022,0 / 5,0.00,,
TNH,2023,4,5,17/11/2022,No,Meeting Attendance of Executive Committee,1.,THITI SIHANATKATHAKUL,N/A,N/A,N/A,,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of the Board of Directors,1.,CHAROEN MEENSOOK,N/A,4 / 4,100.00,N/A,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of the Board of Directors,2.,PRAPAT SUTHAWATE,N/A,4 / 4,100.00,N/A,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of the Board of Directors,3.,KRAISAK KADKUM,N/A,4 / 4,100.00,N/A,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of the Board of Directors,4.,CHERTSAK DHIRAPUTRA,N/A,4 / 4,100.00,N/A,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of the Board of Directors,5.,PANYA ISSARAWORNRAWANICH,N/A,4 / 4,100.00,N/A,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of the Board of Directors,6.,ARKOM CHEIRSILPA,N/A,4 / 4,100.00,N/A,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of the Board of Directors,7.,THITI SIHANATKATHAKUL,N/A,4 / 4,100.00,N/A,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of the Board of Directors,8.,PITIPAT SIHANATKATHAKUL,N/A,3 / 4,75.00,N/A,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of the Board of Directors,9.,NORATHEP SIHANARTKATAKUL,N/A,4 / 4,100.00,N/A,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of the Board of Directors,10.,CHAILERG VIRIYARATTANAPORN,N/A,4 / 4,100.00,N/A,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of the Board of Directors,11.,TOSAPORN SIHANATKATHAKUL,N/A,4 / 4,100.00,N/A,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of the Board of Directors,12.,DAN TANPHAICHITRA,N/A,3 / 4,75.00,N/A,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of Audit Committee,1.,KRAISAK KADKUM,N/A,5 / 5,100.00,,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of Audit Committee,2.,CHERTSAK DHIRAPUTRA,N/A,5 / 5,100.00,,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of Audit Committee,3.,PANYA ISSARAWORNRAWANICH,N/A,5 / 5,100.00,,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of Audit Committee,4.,CHAILERG VIRIYARATTANAPORN,N/A,5 / 5,100.00,,
TNH,2024,4,5,22/11/2023,No,Meeting Attendance of Executive Committee,1.,THITI SIHANATKATHAKUL,N/A,N/A,N/A,,
TNH,2025,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
TNH,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
TNH,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
TNH,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
TNH,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
TNH,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
