Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TNPC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TNPC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TNPC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,SIRIPHORN MONGKORNKARN,N/A,8 / 8,100.00,Yes,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHAIYANANDH LAPITANANUVAT,N/A,8 / 8,100.00,Yes,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,THAWAT TREEWANNAKUL,N/A,8 / 8,100.00,Yes,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,KONG MANGKORNKARN,N/A,8 / 8,100.00,Yes,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,VORATHEP VITHAYAVIROJ,N/A,8 / 8,100.00,Yes,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,PEESAK PRAPAIPORN,N/A,7 / 8,87.50,Yes,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,PIYATIDA MANGKORNKARN,N/A,8 / 8,100.00,Yes,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,WUTIPONG VECHAYANON,N/A,7 / 8,87.50,Yes,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,KRITASORN MANGKORNKARN,N/A,8 / 8,100.00,Yes,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of Audit Committee,1.,VORATHEP VITHAYAVIROJ,N/A,5 / 5,100.00,,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of Audit Committee,2.,PEESAK PRAPAIPORN,N/A,4 / 5,80.00,,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of Audit Committee,3.,WUTIPONG VECHAYANON,N/A,4 / 5,80.00,,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of Executive Committee,1.,SIRIPHORN MONGKORNKARN,N/A,N/A,N/A,,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of Executive Committee,2.,KONG MANGKORNKARN,N/A,N/A,N/A,,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of Executive Committee,3.,PIYATIDA MANGKORNKARN,N/A,N/A,N/A,,
TNPC,2022,8,5,22/04/2022,No,Meeting Attendance of Executive Committee,4.,KRITASORN MANGKORNKARN,N/A,N/A,N/A,,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,SIRIPHORN MONGKORNKARN,N/A,7 / 7,100.00,Yes,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,CHAIYANANDH LAPITANANUVAT,N/A,7 / 7,100.00,Yes,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,THAWAT TREEWANNAKUL,N/A,7 / 7,100.00,Yes,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,KONG MANGKORNKARN,N/A,7 / 7,100.00,Yes,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,VORATHEP VITHAYAVIROJ,N/A,7 / 7,100.00,Yes,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of the Board of Directors,6.,PEESAK PRAPAIPORN,N/A,7 / 7,100.00,Yes,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of the Board of Directors,7.,PIYATIDA MANGKORNKARN,N/A,7 / 7,100.00,Yes,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of the Board of Directors,8.,WUTIPONG VECHAYANON,N/A,7 / 7,100.00,Yes,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of the Board of Directors,9.,KRITASORN MANGKORNKARN,N/A,7 / 7,100.00,Yes,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of Audit Committee,1.,VORATHEP VITHAYAVIROJ,N/A,5 / 5,100.00,,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of Audit Committee,2.,PEESAK PRAPAIPORN,N/A,5 / 5,100.00,,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of Audit Committee,3.,WUTIPONG VECHAYANON,N/A,5 / 5,100.00,,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of Executive Committee,1.,SIRIPHORN MONGKORNKARN,N/A,N/A,N/A,,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of Executive Committee,2.,KONG MANGKORNKARN,N/A,N/A,N/A,,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of Executive Committee,3.,PIYATIDA MANGKORNKARN,N/A,N/A,N/A,,
TNPC,2023,7,5,28/04/2023,No,Meeting Attendance of Executive Committee,4.,KRITASORN MANGKORNKARN,N/A,N/A,N/A,,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of the Board of Directors,1.,SIRIPHORN MANGKORNKARN,N/A,7 / 7,100.00,1 / 1,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of the Board of Directors,2.,PIYATIDA MANGKORNKAN,N/A,7 / 7,100.00,1 / 1,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of the Board of Directors,3.,KONG MANGKORNKARN,N/A,7 / 7,100.00,1 / 1,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of the Board of Directors,4.,KRITASORN MANGKORNKARN,N/A,7 / 7,100.00,1 / 1,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of the Board of Directors,5.,THAWAT TREEWANNAKUL,N/A,7 / 7,100.00,1 / 1,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of the Board of Directors,6.,CHAIYANANDH LAPITANANUVAT,N/A,6 / 7,85.71,1 / 1,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of the Board of Directors,7.,VORATHEP VITHAYAVIROJ,N/A,7 / 7,100.00,1 / 1,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of the Board of Directors,8.,PEESAK PRAPAIPORN,N/A,6 / 7,85.71,1 / 1,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of the Board of Directors,9.,WUTIPONG VECHAYANON,N/A,6 / 7,85.71,1 / 1,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of Audit Committee,1.,VORATHEP VITHAYAVIROJ,N/A,5 / 5,100.00,,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of Audit Committee,2.,PEESAK PRAPAIPORN,N/A,4 / 5,80.00,,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of Audit Committee,3.,WUTIPONG VECHAYANON,N/A,4 / 5,80.00,,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of Executive Committee,1.,SIRIPHORN MANGKORNKARN,N/A,7 / 7,100.00,,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of Executive Committee,2.,PIYATIDA MANGKORNKAN,N/A,7 / 7,100.00,,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of Executive Committee,3.,KONG MANGKORNKARN,N/A,7 / 7,100.00,,
TNPC,2024,7,5,26/04/2024,No,Meeting Attendance of Executive Committee,4.,KRITASORN MANGKORNKARN,N/A,7 / 7,100.00,,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,SIRIPHORN MANGKORNKARN,N/A,7 / 7,100.00,1 / 1,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,PIYATIDA MANGKORNKAN,N/A,7 / 7,100.00,1 / 1,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,KONG MANGKORNKARN,N/A,7 / 7,100.00,1 / 1,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,KRITASORN MANGKORNKARN,N/A,7 / 7,100.00,1 / 1,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,THAWAT TREEWANNAKUL,N/A,7 / 7,100.00,1 / 1,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,CHAIYANANDH LAPITANANUVAT,N/A,7 / 7,100.00,1 / 1,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,VORATHEP VITHAYAVIROJ,N/A,7 / 7,100.00,1 / 1,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,PEESAK PRAPAIPORN,N/A,7 / 7,100.00,1 / 1,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,WUTIPONG VECHAYANON,N/A,6 / 7,85.71,1 / 1,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,VORATHEP VITHAYAVIROJ,N/A,5 / 5,100.00,,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,PEESAK PRAPAIPORN,N/A,5 / 5,100.00,,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,WUTIPONG VECHAYANON,N/A,4 / 5,80.00,,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,SIRIPHORN MANGKORNKARN,N/A,7 / 7,100.00,,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,PIYATIDA MANGKORNKAN,N/A,7 / 7,100.00,,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,KONG MANGKORNKARN,N/A,7 / 7,100.00,,
TNPC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,KRITASORN MANGKORNKARN,N/A,7 / 7,100.00,,
TNPC,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
TNPC,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
TNPC,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
