Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TNP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TNP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TNP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,PISANU KANTIPONG,N/A,6 / 6,100.00,Yes,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,THAWATCHAI PHUTTHIPHIRIYA,N/A,6 / 6,100.00,Yes,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,AMORN PHUTTHIPHIRIYA,N/A,6 / 6,100.00,Yes,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,CHULARAT NGAMLOETLEE,N/A,6 / 6,100.00,Yes,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,BUSAKORN TADTHAPONG,N/A,6 / 6,100.00,Yes,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,WATHANA YEUNYONG,N/A,6 / 6,100.00,Yes,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,CHALERMCHAI KHAMSAEN,N/A,6 / 6,100.00,Yes,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Audit Committee,1.,PISANU KANTIPONG,N/A,5 / 5,100.00,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Audit Committee,2.,WATHANA YEUNYONG,N/A,5 / 5,100.00,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Audit Committee,3.,CHALERMCHAI KHAMSAEN,N/A,5 / 5,100.00,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Executive Committee,1.,THAWATCHAI PHUTTHIPHIRIYA,N/A,N/A,N/A,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Executive Committee,2.,AMORN PHUTTHIPHIRIYA,N/A,N/A,N/A,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Executive Committee,3.,PITTAYA JITMASE,N/A,N/A,N/A,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Executive Committee,4.,BONGKOT CHANTHAJIT,N/A,N/A,N/A,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Executive Committee,5.,RUNGNAPA PIBOONSRI,N/A,N/A,N/A,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Executive Committee,6.,THANAPHONG PHUTTHIPHIRIYA,N/A,N/A,N/A,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Executive Committee,7.,THANAPHOOM PHUTTHIPHIRIYA,N/A,N/A,N/A,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,WATHANA YEUNYONG,N/A,0 / 0,N/A,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,2.,CHALERMCHAI KHAMSAEN,N/A,0 / 0,N/A,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of The Nomination and Remuneration Committee,3.,CHULARAT NGAMLOETLEE,N/A,0 / 0,N/A,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Risk Management Committee,1.,THAWATCHAI PHUTTHIPHIRIYA,N/A,0 / 0,N/A,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Risk Management Committee,2.,AMORN PHUTTHIPHIRIYA,N/A,0 / 0,N/A,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Risk Management Committee,3.,PITTAYA JITMASE,N/A,0 / 0,N/A,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Risk Management Committee,4.,CHANYA CHAROENSUK,N/A,0 / 0,N/A,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Risk Management Committee,5.,THANIT YOSDEE,N/A,0 / 0,N/A,,
TNP,2022,6,5,22/04/2022,No,Meeting Attendance of Risk Management Committee,6.,DUANGJAI YUINTH,N/A,0 / 0,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,1.,PISANU KANTIPONG,N/A,6 / 6,100.00,Yes,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,2.,THAWATCHAI PHUTTHIPHIRIYA,N/A,6 / 6,100.00,Yes,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,3.,AMORN PHUTTHIPHIRIYA,N/A,6 / 6,100.00,Yes,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,4.,CHULARAT NGAMLOETLEE,N/A,6 / 6,100.00,Yes,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,5.,BUSAKORN TADTHAPONG,N/A,6 / 6,100.00,Yes,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,6.,WATHANA YEUNYONG,N/A,6 / 6,100.00,Yes,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,7.,CHALERMCHAI KHAMSAEN,N/A,6 / 6,100.00,Yes,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of the Board of Directors,8.,SUWIT SIRIGRIVATANAWONG,N/A,4 / 4,100.00,Yes,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Audit Committee,1.,PISANU KANTIPONG,N/A,5 / 5,100.00,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Audit Committee,2.,WATHANA YEUNYONG,N/A,5 / 5,100.00,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Audit Committee,3.,CHALERMCHAI KHAMSAEN,N/A,5 / 5,100.00,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Executive Committee,1.,THAWATCHAI PHUTTHIPHIRIYA,N/A,N/A,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Executive Committee,2.,AMORN PHUTTHIPHIRIYA,N/A,N/A,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Executive Committee,3.,PITTAYA JITMASE,N/A,N/A,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Executive Committee,4.,BONGKOT CHANTHAJIT,N/A,N/A,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Executive Committee,5.,RUNGNAPA PIBOONSRI,N/A,N/A,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Executive Committee,6.,THANAPHONG PHUTTHIPHIRIYA,N/A,N/A,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Executive Committee,7.,THANAPHOOM PHUTTHIPHIRIYA,N/A,N/A,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,WATHANA YEUNYONG,N/A,0 / 0,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,2.,CHALERMCHAI KHAMSAEN,N/A,0 / 0,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,3.,CHULARAT NGAMLOETLEE,N/A,0 / 0,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Risk Management Committee,1.,THAWATCHAI PHUTTHIPHIRIYA,N/A,0 / 0,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Risk Management Committee,2.,AMORN PHUTTHIPHIRIYA,N/A,0 / 0,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Risk Management Committee,3.,PITTAYA JITMASE,N/A,0 / 0,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Risk Management Committee,4.,CHANYA CHAROENSUK,N/A,0 / 0,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Risk Management Committee,5.,THANIT YOSDEE,N/A,0 / 0,N/A,,
TNP,2023,6,5,20/04/2023,No,Meeting Attendance of Risk Management Committee,6.,DUANGJAI YUINTH,N/A,0 / 0,N/A,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of the Board of Directors,1.,PISANU KANTIPONG,N/A,7 / 7,100.00,1 / 1,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of the Board of Directors,2.,AMORN PHUTTHIPHIRIYA,N/A,7 / 7,100.00,1 / 1,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of the Board of Directors,3.,CHULARAT NGAMLOETLEE,N/A,7 / 7,100.00,1 / 1,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of the Board of Directors,4.,BUSAKORN TADTHAPONG,N/A,7 / 7,100.00,1 / 1,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of the Board of Directors,5.,WATHANA YEUNYONG,N/A,7 / 7,100.00,1 / 1,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of the Board of Directors,6.,CHALERMCHAI KHAMSAEN,N/A,7 / 7,100.00,1 / 1,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of the Board of Directors,7.,SUWIT SIRIGRIVATANAWONG,N/A,7 / 7,100.00,1 / 1,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of the Board of Directors,8.,THANAPHONG PHUTTHIPHIRIYA,N/A,5 / 5,100.00,0 / 0,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of the Board of Directors,9.,THANAPHOOM PHUTTHIPHIRIYA,N/A,3 / 3,100.00,0 / 0,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of the Board of Directors,10.,THAWATCHAI PHUTTHIPHIRIYA,30/06/2024,4 / 4,100.00,0 / 1,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of Audit Committee,1.,PISANU KANTIPONG,N/A,6 / 6,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of Audit Committee,2.,WATHANA YEUNYONG,N/A,6 / 6,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of Audit Committee,3.,CHALERMCHAI KHAMSAEN,N/A,6 / 6,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of Executive Committee,1.,AMORN PHUTTHIPHIRIYA,N/A,10 / 10,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of Executive Committee,2.,PITTAYA JITMASE,N/A,10 / 10,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of Executive Committee,3.,BONGKOT CHANTHAJIT,N/A,10 / 10,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of Executive Committee,4.,RUNGNAPA PIBOONSRI,N/A,10 / 10,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of Executive Committee,5.,THANAPHONG PHUTTHIPHIRIYA,N/A,10 / 10,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of Executive Committee,6.,THANAPHOOM PHUTTHIPHIRIYA,N/A,10 / 10,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of Executive Committee,7.,THAWATCHAI PHUTTHIPHIRIYA,30/06/2024,6 / 6,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,WATHANA YEUNYONG,N/A,3 / 3,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of The Nomination and Remuneration Committee,2.,CHALERMCHAI KHAMSAEN,N/A,3 / 3,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of The Nomination and Remuneration Committee,3.,CHULARAT NGAMLOETLEE,N/A,3 / 3,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of Risk Management Committee,1.,AMORN PHUTTHIPHIRIYA,N/A,4 / 4,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of Risk Management Committee,2.,PITTAYA JITMASE,N/A,4 / 4,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of Risk Management Committee,3.,DUANGJAI YUINTH,N/A,4 / 4,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of Risk Management Committee,4.,Chanya Charoensuk,N/A,4 / 4,100.00,,
TNP,2024,7,6,25/04/2024,No,Meeting Attendance of Risk Management Committee,5.,Thanit Yoddee,N/A,4 / 4,100.00,,
TNP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,PISANU KANTIPONG,N/A,6 / 6,100.00,1 / 1,
TNP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,AMORN PHUTTHIPHIRIYA,N/A,6 / 6,100.00,1 / 1,
