Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TNR,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TNR,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TNR,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TNR,2022,1,5,12/04/2022,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TNR,2022,1,5,12/04/2022,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TNR,2022,1,5,12/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TNR,2023,5,6,07/04/2023,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TNR,2023,5,6,07/04/2023,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TNR,2023,5,6,07/04/2023,No,Meeting Attendance of Executive Committee,1.,N/A,N/A,N/A,N/A,,
TNR,2023,5,6,07/04/2023,No,Meeting Attendance of Executive Committee,2.,N/A,N/A,N/A,N/A,,
TNR,2023,5,6,07/04/2023,No,Meeting Attendance of Executive Committee,3.,N/A,N/A,N/A,N/A,,
TNR,2023,5,6,07/04/2023,No,Meeting Attendance of Executive Committee,4.,N/A,N/A,N/A,N/A,,
TNR,2023,5,6,07/04/2023,No,Meeting Attendance of Executive Committee,5.,N/A,N/A,N/A,N/A,,
TNR,2023,5,6,07/04/2023,No,Meeting Attendance of Executive Committee,6.,N/A,N/A,N/A,N/A,,
TNR,2024,5,5,11/04/2024,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TNR,2024,5,5,11/04/2024,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TNR,2024,5,5,11/04/2024,No,Meeting Attendance of Executive Committee,1.,N/A,N/A,N/A,N/A,,
TNR,2024,5,5,11/04/2024,No,Meeting Attendance of Executive Committee,2.,N/A,N/A,N/A,N/A,,
TNR,2024,5,5,11/04/2024,No,Meeting Attendance of Executive Committee,3.,N/A,N/A,N/A,N/A,,
TNR,2024,5,5,11/04/2024,No,Meeting Attendance of Executive Committee,4.,N/A,N/A,N/A,N/A,,
TNR,2024,5,5,11/04/2024,No,Meeting Attendance of Executive Committee,5.,N/A,N/A,N/A,N/A,,
TNR,2024,5,5,11/04/2024,No,Meeting Attendance of Executive Committee,6.,N/A,N/A,N/A,N/A,,
