Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TOA,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TOA,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TOA,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TOA,2022,9,12,25/04/2022,No,Meeting Attendance of the Board of Directors,1.,PRACHAK TANGKARAVAKOON,N/A,9 / 9,100.00,Yes,
TOA,2022,9,12,25/04/2022,No,Meeting Attendance of the Board of Directors,2.,LAOR TANGKARAVAKOON,N/A,9 / 9,100.00,No,
TOA,2022,9,12,25/04/2022,No,Meeting Attendance of the Board of Directors,3.,VONNARAT TANGKARAVAKOON,N/A,9 / 9,100.00,Yes,
TOA,2022,9,12,25/04/2022,No,Meeting Attendance of the Board of Directors,4.,JATUPHAT TANGKARAVAKOON,N/A,9 / 9,100.00,Yes,
TOA,2022,9,12,25/04/2022,No,Meeting Attendance of the Board of Directors,5.,BUSATREE WANGLEE,N/A,8 / 9,88.89,Yes,
TOA,2022,9,12,25/04/2022,No,Meeting Attendance of the Board of Directors,6.,NATTAVUTH TANGKARAVAKOON,N/A,8 / 9,88.89,Yes,
TOA,2022,9,12,25/04/2022,No,Meeting Attendance of the Board of Directors,7.,CHANATIP WEERASUBPONG,N/A,9 / 9,100.00,Yes,
TOA,2022,9,12,25/04/2022,No,Meeting Attendance of the Board of Directors,8.,VEERASAK KOSITPAISAL,N/A,9 / 9,100.00,Yes,
TOA,2022,9,12,25/04/2022,No,Meeting Attendance of the Board of Directors,9.,PRISANA PRAHARNKHASUK,N/A,9 / 9,100.00,Yes,
TOA,2022,9,12,25/04/2022,No,Meeting Attendance of Audit Committee,1.,PRISANA PRAHARNKHASUK,N/A,12 / 12,100.00,,
TOA,2022,9,12,25/04/2022,No,Meeting Attendance of Audit Committee,2.,CHANATIP WEERASUBPONG,N/A,12 / 12,100.00,,
TOA,2022,9,12,25/04/2022,No,Meeting Attendance of Audit Committee,3.,VEERASAK KOSITPAISAL,N/A,12 / 12,100.00,,
TOA,2022,9,12,25/04/2022,No,Meeting Attendance of Executive Committee,1.,JATUPHAT TANGKARAVAKOON,N/A,N/A,N/A,,
TOA,2022,9,12,25/04/2022,No,Meeting Attendance of Executive Committee,2.,PRACHAK TANGKARAVAKOON,N/A,N/A,N/A,,
TOA,2022,9,12,25/04/2022,No,Meeting Attendance of Executive Committee,3.,LAOR TANGKARAVAKOON,N/A,N/A,N/A,,
