Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TOG,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TOG,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TOG,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,1.,SAWANG PRACHARKTAM,N/A,8 / 8,100.00,Yes,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,2.,SINGH TANGTASWAS,N/A,8 / 8,100.00,Yes,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,3.,WICHA JIWALAI,N/A,8 / 8,100.00,Yes,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,4.,PORNPUN THOTRAKUL,N/A,8 / 8,100.00,Yes,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,5.,PHAIRUCH MEKARPORN,N/A,8 / 8,100.00,Yes,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,6.,BANCHONG CHITTCHANG,N/A,8 / 8,100.00,Yes,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,7.,WICHIT THAVEEPRECHACHAT,N/A,7 / 8,87.50,Yes,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,8.,DAVID ANDREW  CROSS,N/A,7 / 8,87.50,Yes,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,9.,TORN PRACHARKTAM,N/A,7 / 7,100.00,Yes,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,10.,AMOLRAT PRACHARKTAM,N/A,7 / 7,100.00,Yes,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,11.,PAUL BRYAN FUSSEY,N/A,5 / 8,62.50,No,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,12.,SAROTE PRACHARKTAM,06/11/2022,N/A,N/A,N/A,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of Audit Committee,1.,SINGH TANGTASWAS,N/A,5 / 5,100.00,,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of Audit Committee,2.,WICHA JIWALAI,N/A,5 / 5,100.00,,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of Audit Committee,3.,PHAIRUCH MEKARPORN,N/A,5 / 5,100.00,,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of Executive Committee,1.,TORN PRACHARKTAM,N/A,N/A,N/A,,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of Executive Committee,2.,AMOLRAT PRACHARKTAM,N/A,N/A,N/A,,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PHAIRUCH MEKARPORN,N/A,0 / 0,N/A,,
TOG,2022,8,5,07/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,BANCHONG CHITTCHANG,N/A,0 / 0,N/A,,
