Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TPA,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TPA,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TPA,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TPA,2022,5,N/A,21/04/2022,No,Meeting Attendance of the Board of Directors,1.,BENJAMIN JAMES HARRIS,N/A,5 / 5,100.00,Yes,
TPA,2022,5,N/A,21/04/2022,No,Meeting Attendance of the Board of Directors,2.,ANUPHAN KITNITCHIVA,N/A,5 / 5,100.00,Yes,
TPA,2022,5,N/A,21/04/2022,No,Meeting Attendance of the Board of Directors,3.,JAN DAM PEDERSEN,N/A,5 / 5,100.00,Yes,
TPA,2022,5,N/A,21/04/2022,No,Meeting Attendance of the Board of Directors,4.,JETSADA WONGWATANASIN,N/A,4 / 5,80.00,Yes,
TPA,2022,5,N/A,21/04/2022,No,Meeting Attendance of the Board of Directors,5.,DAI OYAMA,N/A,5 / 5,100.00,No,
TPA,2022,5,N/A,21/04/2022,No,Meeting Attendance of the Board of Directors,6.,SHINYA YANO,N/A,5 / 5,100.00,Yes,
TPA,2022,5,N/A,21/04/2022,No,Meeting Attendance of the Board of Directors,7.,MARTIN THAYSEN,N/A,4 / 5,80.00,No,
TPA,2022,5,N/A,21/04/2022,No,Meeting Attendance of the Board of Directors,8.,Kresten Mikael Valdal Valdal,N/A,N/A,N/A,N/A,
TPA,2022,5,N/A,21/04/2022,No,Meeting Attendance of the Board of Directors,9.,RAKCHAI SAKULTEERA,16/04/2022,N/A,N/A,N/A,
TPA,2022,5,N/A,21/04/2022,No,Meeting Attendance of Audit Committee,1.,ANUPHAN KITNITCHIVA,N/A,4 / 4,100.00,,
TPA,2022,5,N/A,21/04/2022,No,Meeting Attendance of Audit Committee,2.,JAN DAM PEDERSEN,N/A,4 / 4,100.00,,
TPA,2022,5,N/A,21/04/2022,No,Meeting Attendance of Audit Committee,3.,JETSADA WONGWATANASIN,N/A,2 / 4,50.00,,
TPA,2022,5,N/A,21/04/2022,No,Meeting Attendance of Executive Committee,1.,BENJAMIN JAMES HARRIS,N/A,N/A,N/A,,
TPA,2022,5,N/A,21/04/2022,No,Meeting Attendance of Executive Committee,2.,SHINYA YANO,N/A,N/A,N/A,,
TPA,2022,5,N/A,21/04/2022,No,Meeting Attendance of Executive Committee,3.,RAKCHAI SAKULTEERA,16/04/2022,N/A,N/A,,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of the Board of Directors,1.,TOK CHEE MING,N/A,3 / 3,100.00,Yes,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of the Board of Directors,2.,ANUPHAN KITNITCHIVA,N/A,4 / 4,100.00,No,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of the Board of Directors,3.,JAN DAM PEDERSEN,N/A,4 / 4,100.00,Yes,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of the Board of Directors,4.,JETSADA WONGWATANASIN,N/A,4 / 4,100.00,Yes,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of the Board of Directors,5.,DAI OYAMA,N/A,4 / 4,100.00,No,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of the Board of Directors,6.,MARTIN THAYSEN,N/A,3 / 4,75.00,No,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of the Board of Directors,7.,SHINYA YANO,N/A,4 / 4,100.00,Yes,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of the Board of Directors,8.,KRESTEN MIKAEL VALDAL,N/A,3 / 3,100.00,No,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of the Board of Directors,9.,SURAJIN TAPPANCHAI,N/A,4 / 4,100.00,Yes,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of the Board of Directors,10.,BENJAMIN JAMES HARRIS,23/02/2023,1 / 1,100.00,Yes,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of Audit Committee,1.,ANUPHAN KITNITCHIVA,N/A,4 / 4,100.00,,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of Audit Committee,2.,JAN DAM PEDERSEN,N/A,4 / 4,100.00,,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of Audit Committee,3.,JETSADA WONGWATANASIN,N/A,4 / 4,100.00,,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of Executive Committee,1.,TOK CHEE MING,N/A,N/A,N/A,,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of Executive Committee,2.,SHINYA YANO,N/A,N/A,N/A,,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of Executive Committee,3.,SURAJIN TAPPANCHAI,N/A,N/A,N/A,,
TPA,2023,4,4,20/04/2023,No,Meeting Attendance of Executive Committee,4.,BENJAMIN JAMES HARRIS,23/02/2023,N/A,N/A,,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,1.,TOK CHEE MING,N/A,4 / 4,100.00,1 / 1,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,2.,ANUPHAN KITNITCHIVA,N/A,3 / 4,75.00,1 / 1,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,3.,JAN DAM PEDERSEN,N/A,4 / 4,100.00,1 / 1,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,4.,DAI OYAMA,N/A,4 / 4,100.00,0 / 1,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,5.,SHINYA YANO,N/A,4 / 4,100.00,1 / 1,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,6.,MARTIN THAYSEN,N/A,4 / 4,100.00,0 / 1,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,7.,KRESTEN MIKAEL VALDAL,N/A,3 / 4,75.00,0 / 1,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,8.,SURAJIN TAPPANCHAI,N/A,4 / 4,100.00,1 / 1,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,9.,KAJORNKIET AROONPIRODJANAKUL,N/A,3 / 3,100.00,1 / 1,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,10.,JETSADA WONGWATANASIN,08/05/2024,1 / 1,100.00,0 / 1,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of Audit Committee,1.,ANUPHAN KITNITCHIVA,N/A,5 / 5,100.00,,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of Audit Committee,2.,JAN DAM PEDERSEN,N/A,5 / 5,100.00,,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of Audit Committee,3.,KAJORNKIET AROONPIRODJANAKUL,N/A,4 / 4,100.00,,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of Audit Committee,4.,JETSADA WONGWATANASIN,08/05/2024,1 / 1,100.00,,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of Executive Committee,1.,TOK CHEE MING,N/A,4 / 4,100.00,,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of Executive Committee,2.,SHINYA YANO,N/A,4 / 4,100.00,,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of Executive Committee,3.,SURAJIN TAPPANCHAI,N/A,4 / 4,100.00,,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,JAN DAM PEDERSEN,N/A,3 / 3,100.00,,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,DAI OYAMA,N/A,3 / 3,100.00,,
TPA,2024,4,5,24/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,KAJORNKIET AROONPIRODJANAKUL,N/A,1 / 1,100.00,,
TPA,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,PETER ANDREW BOAGEY,N/A,1 / 1,100.00,0 / 0,
TPA,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,JAN DAM PEDERSEN,N/A,6 / 6,100.00,1 / 1,
TPA,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,DAI OYAMA,N/A,5 / 6,83.33,0 / 1,
TPA,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,MARTIN THAYSEN,N/A,6 / 6,100.00,1 / 1,
TPA,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,KRESTEN MIKAEL VALDAL,N/A,6 / 6,100.00,1 / 1,
TPA,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,SURAJIN TAPPANCHAI,N/A,6 / 6,100.00,1 / 1,
