Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TPIPP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TPIPP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TPIPP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of the Board of Directors,1.,PRACHAI LEOPHAIRATANA,N/A,12 / 12,100.00,Yes,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of the Board of Directors,2.,PRAMUAN LEOPHAIRATANA,N/A,11 / 12,91.67,Yes,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of the Board of Directors,3.,ORAPIN LEOPHAIRATANA,N/A,12 / 12,100.00,Yes,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of the Board of Directors,4.,PRAYAD LIEWPHAIRATANA,N/A,11 / 12,91.67,No,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of the Board of Directors,5.,PATTRAPAN LEOPAIRUT,N/A,10 / 12,83.33,Yes,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of the Board of Directors,6.,NITAWAN LEOPHAIRATANA,N/A,11 / 12,91.67,Yes,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of the Board of Directors,7.,MALINEE LEOPAIRAT,N/A,10 / 12,83.33,Yes,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of the Board of Directors,8.,ABHIJAI CHANDRASEN,N/A,11 / 12,91.67,No,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of the Board of Directors,9.,MANU LEOPAIROTE,N/A,11 / 12,91.67,Yes,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of the Board of Directors,10.,THIRAPHONG VIKITSET,N/A,12 / 12,100.00,Yes,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of the Board of Directors,11.,KHANTACHAI VICHAKKHANA,N/A,12 / 12,100.00,Yes,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of the Board of Directors,12.,PAKORN LEOPAIRUT,N/A,12 / 12,100.00,Yes,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of the Board of Directors,13.,PAKKAPOL LEOPAIRUT,N/A,12 / 12,100.00,Yes,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of the Board of Directors,14.,VANCHAI MANOSUTHI,N/A,12 / 12,100.00,Yes,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of the Board of Directors,15.,PORAKRIT LEOPHAIRATANA,N/A,11 / 12,91.67,Yes,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of Audit Committee,1.,MANU LEOPAIROTE,N/A,5 / 5,100.00,,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of Audit Committee,2.,ABHIJAI CHANDRASEN,N/A,5 / 5,100.00,,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of Audit Committee,3.,THIRAPHONG VIKITSET,N/A,5 / 5,100.00,,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of Executive Committee,1.,PRACHAI LEOPHAIRATANA,N/A,N/A,N/A,,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of Executive Committee,2.,PRAMUAN LEOPHAIRATANA,N/A,N/A,N/A,,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of Executive Committee,3.,ORAPIN LEOPHAIRATANA,N/A,N/A,N/A,,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of Executive Committee,4.,PRAYAD LIEWPHAIRATANA,N/A,N/A,N/A,,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of Executive Committee,5.,PATTRAPAN LEOPAIRUT,N/A,N/A,N/A,,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of Executive Committee,6.,PAKORN LEOPAIRUT,N/A,N/A,N/A,,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of Executive Committee,7.,PAKKAPOL LEOPAIRUT,N/A,N/A,N/A,,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of Executive Committee,8.,NITAWAN LEOPHAIRATANA,N/A,N/A,N/A,,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of Executive Committee,9.,PORAKRIT LEOPHAIRATANA,N/A,N/A,N/A,,
TPIPP,2022,12,5,19/04/2022,No,Meeting Attendance of Compensation Committee,1.,PRACHAI LEOPHAIRATANA,N/A,0 / 0,N/A,,
