Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TPP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TPP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TPP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of the Board of Directors,1.,TIRAPONG ASVINVICHIT,N/A,4 / 4,100.00,Yes,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHATCHAI EARSAKUL,N/A,4 / 4,100.00,Yes,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of the Board of Directors,3.,CHAKAPONG NA BANGXANG,N/A,4 / 4,100.00,Yes,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of the Board of Directors,4.,VARUN TAEPAISITPHONGSE,N/A,3 / 4,75.00,Yes,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of the Board of Directors,5.,CHAROENRAT HANBANCHAPHONG,N/A,4 / 4,100.00,Yes,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of the Board of Directors,6.,SOONTORN POJTHANAMAS,N/A,4 / 4,100.00,Yes,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of the Board of Directors,7.,SUPHOT PRUKSANANONT,N/A,4 / 4,100.00,Yes,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of the Board of Directors,8.,ADUL VINAIPHAT,N/A,4 / 4,100.00,Yes,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of the Board of Directors,9.,PONGSATHUST ASVINVICHIT,N/A,4 / 4,100.00,Yes,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of the Board of Directors,10.,UDOM NILPARUK,N/A,4 / 4,100.00,Yes,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of the Board of Directors,11.,NATHASITH CHIARAWATCHAI,N/A,3 / 4,75.00,Yes,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of the Board of Directors,12.,KITTIMETH MUANG-UM,N/A,4 / 4,100.00,Yes,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of Audit Committee,1.,SOONTORN POJTHANAMAS,N/A,6 / 6,100.00,,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of Audit Committee,2.,CHAKAPONG NA BANGXANG,N/A,6 / 6,100.00,,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of Audit Committee,3.,CHAROENRAT HANBANCHAPHONG,N/A,6 / 6,100.00,,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of Remuneration and compensation committee,1.,VARUN TAEPAISITPHONGSE,N/A,0 / 0,N/A,,
TPP,2022,4,6,12/04/2022,No,Meeting Attendance of Remuneration and compensation committee,2.,NATHASITH CHIARAWATCHAI,N/A,0 / 0,N/A,,
TPP,2023,4,4,07/04/2023,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TPP,2023,4,4,07/04/2023,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TPP,2023,4,4,07/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of the Board of Directors,1.,TIRAPONG ASVINVICHIT,N/A,4 / 4,100.00,1 / 1,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of the Board of Directors,2.,CHATCHAI EARSAKUL,N/A,4 / 4,100.00,0 / 1,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of the Board of Directors,3.,CHAKAPONG NA BANGXANG,N/A,4 / 4,100.00,0 / 1,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of the Board of Directors,4.,VARUN TAEPAISITPHONGSE,N/A,2 / 4,50.00,1 / 1,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of the Board of Directors,5.,CHAROENRAT HANBANCHAPHONG,N/A,3 / 4,75.00,0 / 1,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of the Board of Directors,6.,SOONTORN POJTHANAMAS,N/A,4 / 4,100.00,1 / 1,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of the Board of Directors,7.,SUPHOT PRUKSANANONT,N/A,4 / 4,100.00,1 / 1,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of the Board of Directors,8.,ADUL VINAIPHAT,N/A,4 / 4,100.00,0 / 1,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of the Board of Directors,9.,PONGSATHUST ASVINVICHIT,N/A,4 / 4,100.00,1 / 1,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of the Board of Directors,10.,UDOM NILPARUK,N/A,4 / 4,100.00,1 / 1,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of the Board of Directors,11.,NATHASITH CHIARAWATCHAI,N/A,3 / 4,75.00,1 / 1,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of the Board of Directors,12.,KITTIMETH MUANG-UM,N/A,4 / 4,100.00,0 / 1,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of Audit Committee,1.,SOONTORN POJTHANAMAS,N/A,4 / 4,100.00,,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of Audit Committee,2.,CHAKAPONG NA BANGXANG,N/A,4 / 4,100.00,,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of Audit Committee,3.,CHAROENRAT HANBANCHAPHONG,N/A,3 / 4,75.00,,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of Remuneration and compensation committee,1.,VARUN TAEPAISITPHONGSE,N/A,1 / 1,100.00,,
TPP,2024,4,4,11/04/2024,No,Meeting Attendance of Remuneration and compensation committee,2.,NATHASITH CHIARAWATCHAI,N/A,1 / 1,100.00,,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,TIRAPONG ASVINVICHIT,N/A,4 / 4,100.00,1 / 1,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,CHATCHAI EARSAKUL,N/A,4 / 4,100.00,1 / 1,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,CHAKAPONG NA BANGXANG,N/A,4 / 4,100.00,1 / 1,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,VARUN TAEPAISITPHONGSE,N/A,2 / 4,50.00,1 / 1,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,CHAROENRAT HANBANCHAPHONG,N/A,4 / 4,100.00,1 / 1,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,SOONTORN POJTHANAMAS,N/A,4 / 4,100.00,1 / 1,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,SUPHOT PRUKSANANONT,N/A,4 / 4,100.00,1 / 1,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,ADUL VINAIPHAT,N/A,4 / 4,100.00,1 / 1,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,PONGSATHUST ASVINVICHIT,N/A,4 / 4,100.00,1 / 1,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,10.,UDOM NILPARUK,N/A,3 / 4,75.00,1 / 1,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,11.,NATHASITH CHIARAWATCHAI,N/A,3 / 4,75.00,1 / 1,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,12.,KITTIMETH MUANG-UM,N/A,4 / 4,100.00,1 / 1,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,SOONTORN POJTHANAMAS,N/A,4 / 4,100.00,,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,CHAKAPONG NA BANGXANG,N/A,4 / 4,100.00,,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,CHAROENRAT HANBANCHAPHONG,N/A,4 / 4,100.00,,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of Remuneration and compensation committee,1.,VARUN TAEPAISITPHONGSE,N/A,1 / 1,100.00,,
TPP,2025,N/A,N/A,N/A,No,Meeting Attendance of Remuneration and compensation committee,2.,NATHASITH CHIARAWATCHAI,N/A,1 / 1,100.00,,
TPP,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
TPP,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
TPP,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
