Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TQM,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TQM,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TQM,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,UNCHALIN PUNNIPA,N/A,8 / 8,100.00,Yes,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,NAPASSANUN PUNNIPA,N/A,8 / 8,100.00,Yes,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,AMPON ONIAM,N/A,8 / 8,100.00,Yes,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,RATANA PUNNIPA,N/A,8 / 8,100.00,Yes,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,SOMPORN AMPAISUTTHIPONG,N/A,8 / 8,100.00,Yes,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,MARUT SIMASATHIEN,N/A,8 / 8,100.00,Yes,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,CHINAPAT VISUTTIPAT,N/A,8 / 8,100.00,Yes,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,RUTCHANEEPORN POOKAYAPORN,N/A,8 / 8,100.00,Yes,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,SUVABHA CHAROENYING,N/A,8 / 8,100.00,Yes,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of the Board of Directors,10.,THANA THIENACHARIYA,N/A,7 / 8,87.50,Yes,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of the Board of Directors,11.,NATTAVUDH PUNGCHAROENPONG,N/A,2 / 2,100.00,No,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of Audit Committee,1.,MARUT SIMASATHIEN,N/A,5 / 5,100.00,,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of Audit Committee,2.,CHINAPAT VISUTTIPAT,N/A,5 / 5,100.00,,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of Audit Committee,3.,RUTCHANEEPORN POOKAYAPORN,N/A,5 / 5,100.00,,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of Audit Committee,4.,THANA THIENACHARIYA,N/A,5 / 5,100.00,,
TQM,2022,8,5,28/04/2022,Yes,Meeting Attendance of Executive Committee,1.,NAPASSANUN PUNNIPA,N/A,N/A,N/A,,
