Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TRP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TRP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TRP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TRP,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TRP,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TRP,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of the Board of Directors,1.,APICHATI SIVAYATHORN,N/A,6 / 6,100.00,Yes,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of the Board of Directors,2.,SUWANNEE JIRAYANGYUEN,N/A,6 / 6,100.00,Yes,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of the Board of Directors,3.,SOMBOON WONGRASSAMEE,N/A,6 / 6,100.00,No,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of the Board of Directors,4.,CHOLADHIS SINRACHTANANT,N/A,5 / 6,83.33,No,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of the Board of Directors,5.,CHAIYOT DENARIYAKUL,N/A,6 / 6,100.00,Yes,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of the Board of Directors,6.,PALAPONG CHAYANGSU,N/A,5 / 6,83.33,No,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of the Board of Directors,7.,KONGSAK TECHAWIBUNPHON,N/A,6 / 6,100.00,Yes,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of the Board of Directors,8.,CHAKCHALAT SINRACHATANANT,N/A,6 / 6,100.00,Yes,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of the Board of Directors,9.,KIRKCHAI CHAIYATHAM,N/A,5 / 5,100.00,No,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Audit Committee,1.,SOMBOON WONGRASSAMEE,N/A,5 / 5,100.00,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Audit Committee,2.,APICHATI SIVAYATHORN,N/A,4 / 5,80.00,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Audit Committee,3.,KIRKCHAI CHAIYATHAM,N/A,5 / 5,100.00,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Executive Committee,1.,CHOLADHIS SINRACHTANANT,N/A,N/A,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Executive Committee,2.,CHAIYOT DENARIYAKUL,N/A,N/A,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Executive Committee,3.,PALAPONG CHAYANGSU,N/A,N/A,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Executive Committee,4.,SUWANNEE JIRAYANGYUEN,N/A,N/A,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Executive Committee,5.,KONGSAK TECHAWIBUNPHON,N/A,N/A,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Executive Committee,6.,Daranee Dhubkaen,N/A,N/A,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Executive Committee,7.,CHAKCHALAT SINRACHATANANT,N/A,N/A,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SOMBOON WONGRASSAMEE,N/A,0 / 0,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,KIRKCHAI CHAIYATHAM,N/A,0 / 0,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SUWANNEE JIRAYANGYUEN,N/A,0 / 0,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Risk Management Working Group,1.,CHAIYOT DENARIYAKUL,N/A,0 / 0,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Risk Management Working Group,2.,PALAPONG CHAYANGSU,N/A,0 / 0,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Risk Management Working Group,3.,SUWANNEE JIRAYANGYUEN,N/A,0 / 0,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Risk Management Working Group,4.,KONGSAK TECHAWIBUNPHON,N/A,0 / 0,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Corporate Governance Working Group,1.,SOMBOON WONGRASSAMEE,N/A,0 / 0,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Corporate Governance Working Group,2.,KIRKCHAI CHAIYATHAM,N/A,0 / 0,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Corporate Governance Working Group,3.,SUWANNEE JIRAYANGYUEN,N/A,0 / 0,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Corporate Social Responsibility Working Group,1.,CHOLADHIS SINRACHTANANT,N/A,0 / 0,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Corporate Social Responsibility Working Group,2.,CHAIYOT DENARIYAKUL,N/A,0 / 0,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Corporate Social Responsibility Working Group,3.,PALAPONG CHAYANGSU,N/A,0 / 0,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Corporate Social Responsibility Working Group,4.,KONGSAK TECHAWIBUNPHON,N/A,0 / 0,N/A,,
TRP,2023,6,5,16/03/2023,No,Meeting Attendance of Corporate Social Responsibility Working Group,5.,CHAKCHALAT SINRACHATANANT,N/A,0 / 0,N/A,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of the Board of Directors,1.,APICHATI SIVAYATHORN,N/A,6 / 6,100.00,1 / 1,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of the Board of Directors,2.,SOMBOON WONGRASSAMEE,N/A,6 / 6,100.00,1 / 1,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of the Board of Directors,3.,KIRKCHAI CHAIYATHAM,N/A,6 / 6,100.00,1 / 1,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of the Board of Directors,4.,CHOLADHIS SINRACHTANANT,N/A,6 / 6,100.00,1 / 1,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of the Board of Directors,5.,SUWANNEE JIRAYANGYUEN,N/A,6 / 6,100.00,1 / 1,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of the Board of Directors,6.,CHAKCHALAT SINRACHATANANT,N/A,5 / 6,83.33,1 / 1,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of the Board of Directors,7.,CHAIYOT DENARIYAKUL,N/A,4 / 6,66.67,1 / 1,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of the Board of Directors,8.,KONGSAK TECHAWIBUNPHON,N/A,6 / 6,100.00,1 / 1,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of the Board of Directors,9.,PALAPONG CHAYANGSU,30/12/2024,5 / 6,83.33,1 / 1,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Audit Committee,1.,SOMBOON WONGRASSAMEE,N/A,4 / 4,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Audit Committee,2.,APICHATI SIVAYATHORN,N/A,4 / 4,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Audit Committee,3.,KIRKCHAI CHAIYATHAM,N/A,4 / 4,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Executive Committee,1.,CHOLADHIS SINRACHTANANT,N/A,12 / 12,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Executive Committee,2.,CHAIYOT DENARIYAKUL,N/A,12 / 12,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Executive Committee,3.,SUWANNEE JIRAYANGYUEN,N/A,12 / 12,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Executive Committee,4.,KONGSAK TECHAWIBUNPHON,N/A,12 / 12,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Executive Committee,5.,Daranee Dhubkaen,N/A,12 / 12,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Executive Committee,6.,CHAKCHALAT SINRACHATANANT,N/A,9 / 12,75.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Executive Committee,7.,PALAPONG CHAYANGSU,30/12/2024,3 / 12,25.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SOMBOON WONGRASSAMEE,N/A,1 / 1,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,KIRKCHAI CHAIYATHAM,N/A,1 / 1,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SUWANNEE JIRAYANGYUEN,N/A,1 / 1,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Risk Management Working Group,1.,CHAIYOT DENARIYAKUL,N/A,12 / 12,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Risk Management Working Group,2.,KONGSAK TECHAWIBUNPHON,N/A,12 / 12,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Risk Management Working Group,3.,KUNTAPHAT MAHAMAT,N/A,1 / 1,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Risk Management Working Group,4.,PHUMMARIN SRIWONGCHAI,N/A,1 / 1,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Risk Management Working Group,5.,PRANPAPANAT PUMIPAT,N/A,1 / 1,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Corporate Governance Working Group,1.,SOMBOON WONGRASSAMEE,N/A,2 / 2,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Corporate Governance Working Group,2.,KIRKCHAI CHAIYATHAM,N/A,2 / 2,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Corporate Governance Working Group,3.,SUWANNEE JIRAYANGYUEN,N/A,2 / 2,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Corporate Social Responsibility (CSR) Working Group,1.,CHAIYOT DENARIYAKUL,N/A,4 / 4,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Corporate Social Responsibility (CSR) Working Group,2.,KONGSAK TECHAWIBUNPHON,N/A,4 / 4,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Corporate Social Responsibility (CSR) Working Group,3.,KUNTAPHAT MAHAMAT,N/A,1 / 1,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Corporate Social Responsibility (CSR) Working Group,4.,PRANPAPANAT PUMIPAT,N/A,1 / 1,100.00,,
TRP,2024,6,4,25/04/2024,No,Meeting Attendance of Corporate Social Responsibility (CSR) Working Group,5.,NATTHIDA SAENGKAEWSUK,N/A,1 / 1,100.00,,
