Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TSE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TSE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TSE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of the Board of Directors,1.,Cathleen Maleenont,N/A,5 / 5,100.00,Yes,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of the Board of Directors,2.,Prommin  Lertsuridej,N/A,5 / 5,100.00,Yes,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of the Board of Directors,3.,Prasert Patradhilok,N/A,5 / 5,100.00,Yes,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of the Board of Directors,4.,Pala Sookawesh,N/A,5 / 5,100.00,Yes,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of the Board of Directors,5.,Praphan Subsang,N/A,5 / 5,100.00,Yes,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of the Board of Directors,6.,Somphop  Prompanapitak,N/A,5 / 5,100.00,Yes,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of the Board of Directors,7.,Angkanee  Rerksirisuk,N/A,5 / 5,100.00,Yes,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of the Board of Directors,8.,Masthawin Charnvirakul,N/A,5 / 5,100.00,Yes,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of the Board of Directors,9.,Aran Apichari,N/A,5 / 5,100.00,Yes,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of Audit Committee,1.,Prasert Patradhilok,N/A,4 / 4,100.00,,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of Audit Committee,2.,Pala Sookawesh,N/A,4 / 4,100.00,,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of Audit Committee,3.,Praphan Subsang,N/A,4 / 4,100.00,,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of Executive Committee,1.,Cathleen Maleenont,N/A,N/A,N/A,,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of Executive Committee,2.,Somphop  Prompanapitak,N/A,N/A,N/A,,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of Executive Committee,3.,Kitiphong Thunnom,N/A,N/A,N/A,,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,Prommin  Lertsuridej,N/A,0 / 0,N/A,,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,Cathleen Maleenont,N/A,0 / 0,N/A,,
TSE,2022,5,4,12/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,Somphop  Prompanapitak,N/A,0 / 0,N/A,,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of the Board of Directors,1.,Cathleen Maleenont,N/A,7 / 7,100.00,Yes,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of the Board of Directors,2.,Prasert Patradhilok,N/A,7 / 7,100.00,Yes,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of the Board of Directors,3.,Praphan Subsang,N/A,7 / 7,100.00,Yes,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of the Board of Directors,4.,Aran Apichari,N/A,7 / 7,100.00,Yes,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of the Board of Directors,5.,Angkanee  Rerksirisuk,N/A,7 / 7,100.00,Yes,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of the Board of Directors,6.,Masthawin Charnvirakul,N/A,7 / 7,100.00,Yes,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of the Board of Directors,7.,Somphop Prompanapitak,29/12/2023,7 / 7,100.00,Yes,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of the Board of Directors,8.,Prommin  Lertsuridej,01/03/2023,5 / 5,100.00,Yes,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of the Board of Directors,9.,Pala Sookawesh,01/03/2023,5 / 5,100.00,Yes,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of Audit Committee,1.,Prasert Patradhilok,N/A,4 / 4,100.00,,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of Audit Committee,2.,Praphan Subsang,N/A,4 / 4,100.00,,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of Audit Committee,3.,Aran Apichari,N/A,2 / 2,100.00,,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of Audit Committee,4.,Pala Sookawesh,01/03/2023,2 / 2,100.00,,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of Executive Committee,1.,Cathleen Maleenont,N/A,N/A,N/A,,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of Executive Committee,2.,Kitiphong Thunnom,N/A,N/A,N/A,,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of Executive Committee,3.,Angkanee  Rerksirisuk,N/A,N/A,N/A,,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of Executive Committee,4.,Somphop Prompanapitak,29/12/2023,N/A,N/A,,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,1.,Prasert Patradhilok,N/A,0 / 0,N/A,,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,2.,Cathleen Maleenont,N/A,0 / 0,N/A,,
TSE,2023,7,4,25/04/2023,No,Meeting Attendance of The Nomination and Remuneration Committee,3.,Somphop Prompanapitak,N/A,0 / 0,N/A,,
TSE,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,1.,Cathleen Maleenont,N/A,7 / 7,100.00,1 / 1,
TSE,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,2.,ANGKANEE RERKSIRISUK,N/A,7 / 7,100.00,1 / 1,
TSE,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,3.,Prasert Patradhilok,N/A,7 / 7,100.00,1 / 1,
TSE,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,4.,CHANACHAI CHUTIMAWORAPAND,N/A,5 / 6,83.33,0 / 0,
TSE,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,5.,JAIKAEW TEJAPIJAYA,N/A,3 / 3,100.00,0 / 0,
TSE,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,6.,KITTI PETCHSANTHAD,N/A,0 / 0,N/A,0 / 0,
TSE,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,7.,NARONG RATHAMARIT,N/A,0 / 0,N/A,0 / 0,
TSE,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,8.,MASTHAWIN CHARNVIRAKUL,13/08/2024,4 / 4,100.00,1 / 1,
TSE,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,9.,ARAN APICHARI,27/12/2024,7 / 7,100.00,0 / 1,
TSE,2024,7,4,29/04/2024,No,Meeting Attendance of the Board of Directors,10.,PRAPHAN SUBSAENG,27/12/2024,7 / 7,100.00,1 / 1,
TSE,2024,7,4,29/04/2024,No,Meeting Attendance of Audit Committee,1.,Prasert Patradhilok,N/A,4 / 4,100.00,,
TSE,2024,7,4,29/04/2024,No,Meeting Attendance of Audit Committee,2.,CHANACHAI CHUTIMAWORAPAND,N/A,2 / 3,66.67,,
