Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TSTE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TSTE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TSTE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,PRICHA ATTAVIPACH,N/A,12 / 12,100.00,Yes,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,PONG CHINTHAMMIT,N/A,12 / 12,100.00,Yes,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,CHANACHAI CHUTIMAVORAPHAND,N/A,12 / 12,100.00,Yes,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,PRAPAS CHUTIMAWORAPAND,N/A,12 / 12,100.00,Yes,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,WIN CHINTHAMMIT,N/A,11 / 12,91.67,Yes,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,CHALUSH CHINTHAMMIT,N/A,12 / 12,100.00,Yes,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,DHANADON SUJIPHINYO,N/A,12 / 12,100.00,Yes,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,JUTATIP ARUNANONDCHAI,N/A,12 / 12,100.00,Yes,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of the Board of Directors,9.,YAOVANUTH DEJVITAK,N/A,12 / 12,100.00,Yes,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of the Board of Directors,10.,SUWAT SUMMASHIPVITSAVAKUL,N/A,12 / 12,100.00,Yes,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of the Board of Directors,11.,PUANGTHIP SILPASART,N/A,11 / 12,91.67,Yes,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of the Board of Directors,12.,PHALLOP HAEMATAKSIN,N/A,12 / 12,100.00,Yes,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of the Board of Directors,13.,KORNSIRI PINNARAT,N/A,12 / 12,100.00,Yes,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of the Board of Directors,14.,KAMONDANAI CHINTHAMMIT,N/A,12 / 12,100.00,Yes,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of the Board of Directors,15.,YURAPHAN JENLAPWATTANAKUL,N/A,12 / 12,100.00,Yes,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Audit Committee,1.,SUWAT SUMMASHIPVITSAVAKUL,N/A,4 / 4,100.00,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Audit Committee,2.,PUANGTHIP SILPASART,N/A,4 / 4,100.00,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Audit Committee,3.,KORNSIRI PINNARAT,N/A,4 / 4,100.00,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Executive Committee,1.,PRAPAS CHUTIMAWORAPAND,N/A,N/A,N/A,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Executive Committee,2.,PONG CHINTHAMMIT,N/A,N/A,N/A,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Executive Committee,3.,CHANACHAI CHUTIMAVORAPHAND,N/A,N/A,N/A,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Executive Committee,4.,PHALLOP HAEMATAKSIN,N/A,N/A,N/A,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SUWAT SUMMASHIPVITSAVAKUL,N/A,0 / 0,N/A,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,JUTATIP ARUNANONDCHAI,N/A,0 / 0,N/A,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,PUANGTHIP SILPASART,N/A,0 / 0,N/A,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SUWAT SUMMASHIPVITSAVAKUL,N/A,0 / 0,N/A,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Risk Management Committee,2.,PUANGTHIP SILPASART,N/A,0 / 0,N/A,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Risk Management Committee,3.,CHANACHAI CHUTIMAVORAPHAND,N/A,0 / 0,N/A,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Risk Management Committee,4.,PHALLOP HAEMATAKSIN,N/A,0 / 0,N/A,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Risk Management Committee,5.,KORNSIRI PINNARAT,N/A,0 / 0,N/A,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Audit Committee,1.,SUWAT SUMMASHIPVITSAVAKUL,N/A,0 / 0,N/A,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Audit Committee,2.,PUANGTHIP SILPASART,N/A,0 / 0,N/A,,
TSTE,2022,12,4,28/04/2022,No,Meeting Attendance of Audit Committee,3.,KORNSIRI PINNARAT,N/A,0 / 0,N/A,,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of the Board of Directors,1.,PRICHA ATTAVIPACH,N/A,12 / 12,100.00,Yes,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of the Board of Directors,2.,PONG CHINTHAMMIT,N/A,11 / 12,91.67,Yes,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of the Board of Directors,3.,CHANACHAI CHUTIMAVORAPHAND,N/A,11 / 12,91.67,Yes,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of the Board of Directors,4.,PRAPAS CHUTIMAWORAPAND,N/A,11 / 12,91.67,Yes,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of the Board of Directors,5.,WIN CHINTHAMMIT,N/A,11 / 12,91.67,Yes,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of the Board of Directors,6.,CHALUSH CHINTHAMMIT,N/A,12 / 12,100.00,Yes,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of the Board of Directors,7.,DHANADON SUJIPHINYO,N/A,12 / 12,100.00,Yes,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of the Board of Directors,8.,JUTATIP ARUNANONDCHAI,N/A,11 / 12,91.67,Yes,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of the Board of Directors,9.,YAOVANUTH DEJVITAK,N/A,11 / 12,91.67,Yes,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of the Board of Directors,10.,SUWAT SUMMASHIPVITSAVAKUL,N/A,12 / 12,100.00,Yes,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of the Board of Directors,11.,PUANGTHIP SILPASART,N/A,12 / 12,100.00,Yes,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of the Board of Directors,12.,PHALLOP HAEMATAKSIN,N/A,12 / 12,100.00,Yes,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of the Board of Directors,13.,KORNSIRI PINNARAT,N/A,12 / 12,100.00,Yes,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of the Board of Directors,14.,KAMONDANAI CHINTHAMMIT,N/A,12 / 12,100.00,Yes,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of the Board of Directors,15.,YURAPHAN JENLAPWATTANAKUL,N/A,12 / 12,100.00,Yes,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of Audit Committee,1.,SUWAT SUMMASHIPVITSAVAKUL,N/A,4 / 4,100.00,,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of Audit Committee,2.,PUANGTHIP SILPASART,N/A,4 / 4,100.00,,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of Audit Committee,3.,KORNSIRI PINNARAT,N/A,4 / 4,100.00,,
TSTE,2023,12,4,27/04/2023,No,Meeting Attendance of Executive Committee,1.,PRAPAS CHUTIMAWORAPAND,N/A,N/A,N/A,,
