Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TWPC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TWPC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TWPC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TWPC,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,KWONPING HO,N/A,4 / 4,100.00,Yes,
TWPC,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,ARIEL P VERA,N/A,4 / 4,100.00,Yes,
TWPC,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,KWONCJAN HO,N/A,2 / 4,50.00,No,
TWPC,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,REN HUA HO,N/A,4 / 4,100.00,Yes,
TWPC,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,REN YUNG HO,N/A,4 / 4,100.00,Yes,
TWPC,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,UMNAD SUKPRASONGPHOL,N/A,4 / 4,100.00,Yes,
TWPC,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,PRATEEP LERTVATANAKIJKUL,N/A,4 / 4,100.00,Yes,
TWPC,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,VUDHIPHOL SURIYABHIVADH,N/A,4 / 4,100.00,Yes,
TWPC,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,JINGJAI HANCHANLASH,N/A,4 / 4,100.00,Yes,
TWPC,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,10.,SUBHAK SIWARAKSA,N/A,3 / 4,75.00,Yes,
TWPC,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,11.,CHANIN ARCHJANANUN,N/A,4 / 4,100.00,Yes,
TWPC,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,12.,PARNSIREE AMATAYAKUL,N/A,4 / 4,100.00,Yes,
TWPC,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,13.,SUPATTRA PAOPIAMSAP,N/A,4 / 4,100.00,Yes,
TWPC,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,14.,SRETSEI SAITTAGAROON,22/04/2022,1 / 1,100.00,Yes,
