Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TWP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TWP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TWP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,SURI BUAKHOM,N/A,5 / 5,100.00,Yes,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,SUWAT CHITTAMAI,N/A,5 / 5,100.00,Yes,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,TANAPONG BHUKASWAN,N/A,5 / 5,100.00,Yes,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,AKAMIN NGANTHAVEE,N/A,5 / 5,100.00,Yes,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,PHANTHUM PHANTHUMCHINDA,N/A,5 / 5,100.00,Yes,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,SORARAT NGANTHAVEE,N/A,5 / 5,100.00,Yes,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,CHALIT SATIDTHONG,N/A,5 / 5,100.00,Yes,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHALIO PONWISES,N/A,5 / 5,100.00,Yes,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,9.,JANEWITH LUANGCHAROENKIJ,N/A,5 / 5,100.00,Yes,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,10.,PRADIT VUTDHIPAPORNKUL,N/A,5 / 5,100.00,No,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,11.,THIPCHAYA SUTTAPANYA,N/A,5 / 5,100.00,Yes,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,12.,YONGYUTH BOONMEE,N/A,5 / 5,100.00,Yes,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of the Board of Directors,13.,BONGKOT NGANTHAVEE,N/A,5 / 5,100.00,Yes,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of Audit Committee,1.,CHALIT SATIDTHONG,N/A,4 / 4,100.00,,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of Audit Committee,2.,CHALIO PONWISES,N/A,4 / 4,100.00,,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of Audit Committee,3.,THIPCHAYA SUTTAPANYA,N/A,4 / 4,100.00,,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of ฺBoard of Nomination and Remuneration,1.,SURI BUAKHOM,N/A,0 / 0,N/A,,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of ฺBoard of Nomination and Remuneration,2.,SUWAT CHITTAMAI,N/A,0 / 0,N/A,,
TWP,2022,5,4,28/04/2022,No,Meeting Attendance of ฺBoard of Nomination and Remuneration,3.,PHANTHUM PHANTHUMCHINDA,N/A,0 / 0,N/A,,
TWP,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,1.,SURI BUAKHOM,N/A,5 / 5,100.00,Yes,
TWP,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,2.,SUWAT CHITTAMAI,N/A,5 / 5,100.00,Yes,
