Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TYCN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TYCN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TYCN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TYCN,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,HUANG WEN-SUNG,N/A,6 / 6,100.00,No,
TYCN,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,LU YEN-CHUAN,N/A,0 / 6,0.00,No,
TYCN,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,NATTHAWAT THANAPINYANUN,N/A,6 / 6,100.00,Yes,
TYCN,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,FENG MEI HWANG,N/A,6 / 6,100.00,Yes,
TYCN,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,NAVIN VONGCHANKIT,N/A,6 / 6,100.00,Yes,
TYCN,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,JIRAWAT HUANG,N/A,6 / 6,100.00,Yes,
TYCN,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,PHIPHAT WANGPHICHIT,N/A,6 / 6,100.00,Yes,
TYCN,2022,6,4,26/04/2022,No,Meeting Attendance of Audit Committee,1.,NAVIN VONGCHANKIT,N/A,4 / 4,100.00,,
TYCN,2022,6,4,26/04/2022,No,Meeting Attendance of Audit Committee,2.,PHIPHAT WANGPHICHIT,N/A,4 / 4,100.00,,
TYCN,2022,6,4,26/04/2022,No,Meeting Attendance of Audit Committee,3.,JIRAWAT HUANG,N/A,4 / 4,100.00,,
TYCN,2022,6,4,26/04/2022,No,Meeting Attendance of Executive Committee,1.,HUANG WEN-SUNG,N/A,N/A,N/A,,
TYCN,2022,6,4,26/04/2022,No,Meeting Attendance of Executive Committee,2.,LU YEN-CHUAN,N/A,N/A,N/A,,
TYCN,2022,6,4,26/04/2022,No,Meeting Attendance of Executive Committee,3.,NATTHAWAT THANAPINYANUN,N/A,N/A,N/A,,
TYCN,2022,6,4,26/04/2022,No,Meeting Attendance of Executive Committee,4.,FENG MEI HWANG,N/A,N/A,N/A,,
TYCN,2023,6,4,26/04/2023,No,Meeting Attendance of the Board of Directors,1.,HUANG WEN-SUNG,N/A,6 / 6,100.00,Yes,
TYCN,2023,6,4,26/04/2023,No,Meeting Attendance of the Board of Directors,2.,JIRAWAT HUANG,N/A,6 / 6,100.00,Yes,
TYCN,2023,6,4,26/04/2023,No,Meeting Attendance of the Board of Directors,3.,PHIPHAT WANGPHICHIT,N/A,5 / 6,83.33,Yes,
TYCN,2023,6,4,26/04/2023,No,Meeting Attendance of the Board of Directors,4.,NATTHAWAT THANAPINYANUN,N/A,6 / 6,100.00,Yes,
TYCN,2023,6,4,26/04/2023,No,Meeting Attendance of the Board of Directors,5.,FENG MEI HWANG,N/A,6 / 6,100.00,Yes,
