Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
UAC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
UAC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
UAC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,1.,PAIBOON SAREEWIWATTHANA,N/A,N/A,N/A,N/A,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,2.,KITTI JIVACATE,N/A,N/A,N/A,N/A,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,3.,NILRAT JARUMANOPAS,N/A,N/A,N/A,N/A,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,4.,PARITUD BHANDHUBANYONG,N/A,N/A,N/A,N/A,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,5.,JEERAPAN JINDA,N/A,N/A,N/A,N/A,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,6.,AEKKACHAI NITTAYAGASETWAT,N/A,N/A,N/A,N/A,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of the Board of Directors,7.,CHATCHAPHOL PRASOPCHOKE,N/A,N/A,N/A,N/A,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Audit Committee,1.,AEKKACHAI NITTAYAGASETWAT,N/A,N/A,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Audit Committee,2.,PARITUD BHANDHUBANYONG,N/A,N/A,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Audit Committee,3.,JEERAPAN JINDA,N/A,N/A,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Executive Committee,1.,CHATCHAPHOL PRASOPCHOKE,N/A,N/A,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Executive Committee,2.,KITTI JIVACATE,N/A,N/A,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Executive Committee,3.,NILRAT JARUMANOPAS,N/A,N/A,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Executive Committee,4.,Preeyaporn   Thanaratset,N/A,N/A,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Executive Committee,5.,Chaiyot Chunwijitra,N/A,N/A,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Audit Committee,1.,AEKKACHAI NITTAYAGASETWAT,N/A,0 / 0,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Audit Committee,2.,PARITUD BHANDHUBANYONG,N/A,0 / 0,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Audit Committee,3.,JEERAPAN JINDA,N/A,0 / 0,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Corporate Governance Committee,1.,AEKKACHAI NITTAYAGASETWAT,N/A,0 / 0,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Corporate Governance Committee,2.,JEERAPAN JINDA,N/A,0 / 0,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Corporate Governance Committee,3.,NILRAT JARUMANOPAS,N/A,0 / 0,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Risk Management Committee,1.,PARITUD BHANDHUBANYONG,N/A,0 / 0,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Risk Management Committee,2.,AEKKACHAI NITTAYAGASETWAT,N/A,0 / 0,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Risk Management Committee,3.,CHATCHAPHOL PRASOPCHOKE,N/A,0 / 0,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Nomination & Remuneration Committee,1.,JEERAPAN JINDA,N/A,0 / 0,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Nomination & Remuneration Committee,2.,AEKKACHAI NITTAYAGASETWAT,N/A,0 / 0,N/A,,
UAC,2022,8,5,07/04/2022,No,Meeting Attendance of Nomination & Remuneration Committee,3.,PARITUD BHANDHUBANYONG,N/A,0 / 0,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of the Board of Directors,1.,PAIBOON SAREEWIWATTHANA,N/A,7 / 7,100.00,Yes,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of the Board of Directors,2.,KITTI JIVACATE,N/A,7 / 7,100.00,Yes,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of the Board of Directors,3.,NILRAT JARUMANOPAS,N/A,7 / 7,100.00,Yes,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of the Board of Directors,4.,PARITUD BHANDHUBANYONG,N/A,7 / 7,100.00,Yes,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of the Board of Directors,5.,JEERAPAN JINDA,N/A,7 / 7,100.00,Yes,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of the Board of Directors,6.,AEKKACHAI NITTAYAGASETWAT,N/A,7 / 7,100.00,Yes,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of the Board of Directors,7.,CHATCHAPHOL PRASOPCHOKE,N/A,7 / 7,100.00,Yes,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Audit Committee,1.,AEKKACHAI NITTAYAGASETWAT,N/A,6 / 6,100.00,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Audit Committee,2.,PARITUD BHANDHUBANYONG,N/A,6 / 6,100.00,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Audit Committee,3.,JEERAPAN JINDA,N/A,6 / 6,100.00,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Executive Committee,1.,CHATCHAPHOL PRASOPCHOKE,N/A,N/A,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Executive Committee,2.,KITTI JIVACATE,N/A,N/A,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Executive Committee,3.,NILRAT JARUMANOPAS,N/A,N/A,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Executive Committee,4.,Preeyaporn   Thanaratset,N/A,N/A,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Executive Committee,5.,Chaiyot Chunwijitra,N/A,N/A,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Audit Committee,1.,AEKKACHAI NITTAYAGASETWAT,N/A,0 / 0,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Audit Committee,2.,PARITUD BHANDHUBANYONG,N/A,0 / 0,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Audit Committee,3.,JEERAPAN JINDA,N/A,0 / 0,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Corporate Governance Committee,1.,AEKKACHAI NITTAYAGASETWAT,N/A,0 / 0,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Corporate Governance Committee,2.,JEERAPAN JINDA,N/A,0 / 0,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Corporate Governance Committee,3.,NILRAT JARUMANOPAS,N/A,0 / 0,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Risk Management Committee,1.,PARITUD BHANDHUBANYONG,N/A,0 / 0,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Risk Management Committee,2.,AEKKACHAI NITTAYAGASETWAT,N/A,0 / 0,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Risk Management Committee,3.,CHATCHAPHOL PRASOPCHOKE,N/A,0 / 0,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Nomination & Remuneration Committee,1.,JEERAPAN JINDA,N/A,0 / 0,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Nomination & Remuneration Committee,2.,AEKKACHAI NITTAYAGASETWAT,N/A,0 / 0,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of Nomination & Remuneration Committee,3.,PARITUD BHANDHUBANYONG,N/A,0 / 0,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of The Executive Committee,1.,KITTI JIVACATE,N/A,0 / 0,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of The Executive Committee,2.,CHATCHAPHOL PRASOPCHOKE,N/A,0 / 0,N/A,,
UAC,2023,7,6,07/04/2023,No,Meeting Attendance of The Executive Committee,3.,NILRAT JARUMANOPAS,N/A,0 / 0,N/A,,
