Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
UBA,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
UBA,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
UBA,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of the Board of Directors,1.,Chakporn Oonjitt,N/A,7 / 7,100.00,Yes,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of the Board of Directors,2.,Orasa Vimolchalao,N/A,7 / 7,100.00,Yes,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of the Board of Directors,3.,Pasan Swasdiburi,N/A,7 / 7,100.00,Yes,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of the Board of Directors,4.,Polpat Karnasuta,N/A,7 / 7,100.00,Yes,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of the Board of Directors,5.,Somchat Sanghitkul,N/A,7 / 7,100.00,Yes,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of the Board of Directors,6.,Pakatip Lopandhsri,N/A,6 / 7,85.71,Yes,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of the Board of Directors,7.,Kirk Leekasem,N/A,7 / 7,100.00,Yes,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of the Board of Directors,8.,Teeradej Tangpraprutgul,N/A,7 / 7,100.00,Yes,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of the Board of Directors,9.,Vajraput Vajrabhaya,N/A,7 / 7,100.00,Yes,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Audit Committee,1.,Vajraput Vajrabhaya,N/A,6 / 6,100.00,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Audit Committee,2.,Teeradej Tangpraprutgul,N/A,6 / 6,100.00,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Audit Committee,3.,Chakporn Oonjitt,N/A,6 / 6,100.00,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Executive Committee,1.,Somchat Sanghitkul,N/A,N/A,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Executive Committee,2.,Kumpee Krampim,N/A,N/A,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Executive Committee,3.,Saowapak  Uekun,N/A,N/A,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Executive Committee,4.,Napatsawan Wattanasirichaikul,N/A,N/A,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Executive Committee,5.,Watchrapong Pattanapanichakul,N/A,N/A,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Risk Management Committee,1.,Teeradej Tangpraprutgul,N/A,0 / 0,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Risk Management Committee,2.,Vajraput Vajrabhaya,N/A,0 / 0,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Risk Management Committee,3.,Somchat Sanghitkul,N/A,0 / 0,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Audit Committee,1.,Vajraput Vajrabhaya,N/A,0 / 0,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Audit Committee,2.,Chakporn Oonjitt,N/A,0 / 0,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Audit Committee,3.,Teeradej Tangpraprutgul,N/A,0 / 0,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,Chakporn Oonjitt,N/A,0 / 0,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,Vajraput Vajrabhaya,N/A,0 / 0,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,Somchat Sanghitkul,N/A,0 / 0,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Good governance committee,1.,Kumpee Krampim,N/A,0 / 0,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Good governance committee,2.,Phatdanai Phuengsuk,N/A,0 / 0,N/A,,
UBA,2022,7,6,14/03/2022,No,Meeting Attendance of Good governance committee,3.,Napaporn  Pilarat,N/A,0 / 0,N/A,,
UBA,2023,5,4,20/04/2023,No,Meeting Attendance of the Board of Directors,1.,PASAN SWASDIBURI,N/A,5 / 5,100.00,Yes,
UBA,2023,5,4,20/04/2023,No,Meeting Attendance of the Board of Directors,2.,Somchat Sanghitkul,N/A,5 / 5,100.00,Yes,
UBA,2023,5,4,20/04/2023,No,Meeting Attendance of the Board of Directors,3.,PAKATIP LOPANDHSRI,N/A,5 / 5,100.00,Yes,
UBA,2023,5,4,20/04/2023,No,Meeting Attendance of the Board of Directors,4.,KIRK LEEKASEM,N/A,5 / 5,100.00,Yes,
UBA,2023,5,4,20/04/2023,No,Meeting Attendance of the Board of Directors,5.,Vajraput Vajrabhaya,N/A,5 / 5,100.00,Yes,
UBA,2023,5,4,20/04/2023,No,Meeting Attendance of the Board of Directors,6.,Teeradej Tangpraprutgul,N/A,5 / 5,100.00,Yes,
UBA,2023,5,4,20/04/2023,No,Meeting Attendance of the Board of Directors,7.,Chakporn Oonjitt,20/04/2023,N/A,N/A,N/A,
UBA,2023,5,4,20/04/2023,No,Meeting Attendance of the Board of Directors,8.,POLPAT KARNASUTA,20/04/2023,N/A,N/A,N/A,
UBA,2023,5,4,20/04/2023,No,Meeting Attendance of the Board of Directors,9.,ORASA VIMOLCHALAO,20/04/2023,N/A,N/A,N/A,
UBA,2023,5,4,20/04/2023,No,Meeting Attendance of Audit Committee,1.,Vajraput Vajrabhaya,N/A,4 / 4,100.00,,
UBA,2023,5,4,20/04/2023,No,Meeting Attendance of Audit Committee,2.,Teeradej Tangpraprutgul,N/A,4 / 4,100.00,,
UBA,2023,5,4,20/04/2023,No,Meeting Attendance of Audit Committee,3.,Chakporn Oonjitt,20/04/2023,N/A,N/A,,
