Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
UBE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
UBE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
UBE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,PALAKORN SUWANRATH,N/A,10 / 10,100.00,Yes,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,ISSRA SHOATBURAKARN,N/A,10 / 10,100.00,Yes,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,SOMKEIRT HUDTHAGOSOL,N/A,10 / 10,100.00,Yes,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,SAISUNEE KUHAKARN,N/A,10 / 10,100.00,Yes,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,SIWA SANGMANEE,N/A,10 / 10,100.00,Yes,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,PRASIT WASUPATH,N/A,10 / 10,100.00,Yes,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,KITTIPHONG LIMSUWANNAROT,N/A,10 / 10,100.00,Yes,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,JEERAWAT PATTANASOMSIT,N/A,9 / 10,90.00,Yes,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of the Board of Directors,9.,SUREEYOT KHOWSURAT,N/A,8 / 8,100.00,Yes,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of the Board of Directors,10.,KANIT VALLAYAPET,N/A,7 / 7,100.00,No,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of the Board of Directors,11.,DAECHAPON LERSUWANAROJ,31/03/2022,2 / 2,100.00,No,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of the Board of Directors,12.,SUTTIDA SUKHANINDR,13/06/2022,4 / 4,100.00,Yes,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of the Board of Directors,13.,WIRAT UANARUMIT,30/09/2022,N/A,N/A,N/A,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of Audit Committee,1.,SIWA SANGMANEE,N/A,4 / 4,100.00,,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of Audit Committee,2.,PRASIT WASUPATH,N/A,4 / 4,100.00,,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of Audit Committee,3.,ISSRA SHOATBURAKARN,27/04/2022,N/A,N/A,,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of Executive Committee,1.,SUREEYOT KHOWSURAT,N/A,N/A,N/A,,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of Risk Management Committee,1.,KITTIPHONG LIMSUWANNAROT,N/A,0 / 0,N/A,,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of Risk Management Committee,2.,JEERAWAT PATTANASOMSIT,N/A,0 / 0,N/A,,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of Risk Management Committee,3.,SOMKEIRT HUDTHAGOSOL,N/A,0 / 0,N/A,,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of Risk Management Committee,4.,SUREEYOT KHOWSURAT,N/A,0 / 0,N/A,,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of Risk Management Committee,5.,Worrachart Ruangtragool,N/A,0 / 0,N/A,,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PRASIT WASUPATH,N/A,0 / 0,N/A,,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SIWA SANGMANEE,N/A,0 / 0,N/A,,
UBE,2022,10,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,ISSRA SHOATBURAKARN,N/A,0 / 0,N/A,,
UBE,2023,7,7,18/04/2023,No,Meeting Attendance of the Board of Directors,1.,PALAKORN SUWANRATH,N/A,7 / 7,100.00,Yes,
UBE,2023,7,7,18/04/2023,No,Meeting Attendance of the Board of Directors,2.,SAISUNEE KUHAKARN,N/A,6 / 7,85.71,Yes,
UBE,2023,7,7,18/04/2023,No,Meeting Attendance of the Board of Directors,3.,SOMKEIRT HUDTHAGOSOL,N/A,7 / 7,100.00,Yes,
UBE,2023,7,7,18/04/2023,No,Meeting Attendance of the Board of Directors,4.,ISSRA SHOATBURAKARN,N/A,7 / 7,100.00,Yes,
UBE,2023,7,7,18/04/2023,No,Meeting Attendance of the Board of Directors,5.,SIWA SANGMANEE,N/A,7 / 7,100.00,Yes,
UBE,2023,7,7,18/04/2023,No,Meeting Attendance of the Board of Directors,6.,PRASIT WASUPATH,N/A,7 / 7,100.00,Yes,
UBE,2023,7,7,18/04/2023,No,Meeting Attendance of the Board of Directors,7.,KITTIPHONG LIMSUWANNAROT,N/A,7 / 7,100.00,Yes,
