Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
UBIS,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
UBIS,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
UBIS,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
UBIS,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,TERDSAK MARROME,N/A,6 / 6,100.00,Yes,
UBIS,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,NAPHADON KRITTAYANUTKUL,N/A,6 / 6,100.00,Yes,
UBIS,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,KANCHANA VONGRATANAKULTHON,N/A,6 / 6,100.00,Yes,
UBIS,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,PIYAKUN KRITAYANUTKUL,N/A,6 / 6,100.00,Yes,
UBIS,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,CHALERMPONG MAHAVANIDVONG,N/A,6 / 6,100.00,Yes,
UBIS,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,SOMCHAI WONGSABSIN,N/A,6 / 6,100.00,Yes,
UBIS,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,PRUETTHIPONG THARAPHIMAAN,N/A,6 / 6,100.00,Yes,
UBIS,2022,6,5,26/04/2022,No,Meeting Attendance of the Board of Directors,8.,THANETH THUMRONGLUCK,06/06/2022,1 / 1,100.00,Yes,
UBIS,2022,6,5,26/04/2022,No,Meeting Attendance of Audit Committee,1.,SOMCHAI WONGSABSIN,N/A,5 / 5,100.00,,
UBIS,2022,6,5,26/04/2022,No,Meeting Attendance of Audit Committee,2.,TERDSAK MARROME,N/A,5 / 5,100.00,,
