Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
UPF,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
UPF,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
UPF,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,1.,DALAD SAPTHAVICHAIKUL,N/A,12 / 12,100.00,Yes,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,2.,NANTHIYA DARAKANANDA,N/A,8 / 12,66.67,Yes,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,3.,VACHARAPHONG DARAKANANDA,N/A,8 / 12,66.67,Yes,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,4.,KOLLATAT TANGCHITKUL,N/A,12 / 12,100.00,Yes,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,5.,CHANTORNTREE DARAKANANDA,N/A,12 / 12,100.00,Yes,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,6.,CHUTINDHON DARAKANANDA,N/A,10 / 12,83.33,Yes,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,7.,NUNTAWAN SAKUNTANAGA,N/A,11 / 12,91.67,Yes,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,8.,KOMON IAMWATCHARIN,N/A,12 / 12,100.00,Yes,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,9.,WANCHAI RATTANAWONG,N/A,12 / 12,100.00,Yes,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of Audit Committee,1.,NUNTAWAN SAKUNTANAGA,N/A,4 / 4,100.00,,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of Audit Committee,2.,KOLLATAT TANGCHITKUL,N/A,4 / 4,100.00,,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of Audit Committee,3.,WANCHAI RATTANAWONG,N/A,4 / 4,100.00,,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of Audit Committee,1.,NUNTAWAN SAKUNTANAGA,N/A,0 / 0,N/A,,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of Audit Committee,2.,WANCHAI RATTANAWONG,N/A,0 / 0,N/A,,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of Audit Committee,3.,KOLLATAT TANGCHITKUL,N/A,0 / 0,N/A,,
UPF,2022,12,4,20/04/2022,No,Meeting Attendance of Remuneration Committee,1.,WANCHAI RATTANAWONG,N/A,0 / 0,N/A,,
