Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
UP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
UP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
UP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
UP,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,1.,THITIVAT SUEBSAENG,N/A,2 / 2,100.00,No,
UP,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,2.,NANTHIYA DARAKANANDA,N/A,6 / 12,50.00,Yes,
UP,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,3.,VACHARAPHONG DARAKANANDA,N/A,9 / 12,75.00,Yes,
UP,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,4.,JUTATIP ARUNANONDCHAI,N/A,11 / 12,91.67,Yes,
UP,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,5.,BUNJURD THANGLERTPAIBUL,N/A,11 / 12,91.67,Yes,
UP,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,6.,CHANTORNTREE DARAKANANDA,N/A,12 / 12,100.00,Yes,
UP,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,7.,PONGSAK THIENGVIBOONVONG,N/A,12 / 12,100.00,Yes,
UP,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,8.,SUTHIN PHADETPAI,N/A,12 / 12,100.00,Yes,
UP,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,9.,SAUWANEE THAIRUNGROJ,N/A,12 / 12,100.00,Yes,
UP,2022,12,4,20/04/2022,No,Meeting Attendance of the Board of Directors,10.,DALAD SAPTHAVICHAIKUL,01/11/2022,10 / 10,100.00,Yes,
UP,2022,12,4,20/04/2022,No,Meeting Attendance of Audit Committee,1.,SAUWANEE THAIRUNGROJ,N/A,N/A,N/A,,
UP,2022,12,4,20/04/2022,No,Meeting Attendance of Audit Committee,2.,JUTATIP ARUNANONDCHAI,N/A,N/A,N/A,,
UP,2022,12,4,20/04/2022,No,Meeting Attendance of Audit Committee,3.,BUNJURD THANGLERTPAIBUL,N/A,N/A,N/A,,
UP,2022,12,4,20/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
UP,2023,12,4,19/04/2023,No,Meeting Attendance of the Board of Directors,1.,THITIVAT SUEBSAENG,N/A,12 / 12,100.00,Yes,
UP,2023,12,4,19/04/2023,No,Meeting Attendance of the Board of Directors,2.,JUTATIP ARUNANONDCHAI,N/A,12 / 12,100.00,Yes,
UP,2023,12,4,19/04/2023,No,Meeting Attendance of the Board of Directors,3.,BUNJURD THANGLERTPAIBUL,N/A,12 / 12,100.00,Yes,
UP,2023,12,4,19/04/2023,No,Meeting Attendance of the Board of Directors,4.,CHANTORNTREE DARAKANANDA,N/A,12 / 12,100.00,Yes,
UP,2023,12,4,19/04/2023,No,Meeting Attendance of the Board of Directors,5.,PONGSAK THIENGVIBOONVONG,N/A,12 / 12,100.00,Yes,
UP,2023,12,4,19/04/2023,No,Meeting Attendance of the Board of Directors,6.,SAUWANEE THAIRUNGROJ,N/A,11 / 12,91.67,Yes,
UP,2023,12,4,19/04/2023,No,Meeting Attendance of the Board of Directors,7.,PRICHA LEELANUKROM,N/A,6 / 6,100.00,No,
