Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
UV,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
UV,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
UV,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of the Board of Directors,1.,POTJANEE THANAVARANIT,N/A,6 / 6,100.00,N/A,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of the Board of Directors,2.,THAPANA SIRIVADHANABHAKDI,N/A,6 / 6,100.00,N/A,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of the Board of Directors,3.,PANOTE SIRIVADHANABHAKDI,N/A,6 / 6,100.00,N/A,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of the Board of Directors,4.,SUWIT CHINDASANGUAN,N/A,6 / 6,100.00,N/A,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of the Board of Directors,5.,SITHICHAI CHAIKRIANGKRAI,N/A,6 / 6,100.00,N/A,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of the Board of Directors,6.,WORAWAT SRISA-AN,N/A,6 / 6,100.00,N/A,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of the Board of Directors,7.,NARARAT LIMNARARAT,N/A,6 / 6,100.00,N/A,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of the Board of Directors,8.,TITHIPHAN CHUERBOONCHAI,N/A,6 / 6,100.00,N/A,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of the Board of Directors,9.,KHUMPOL POONSONEE,N/A,6 / 6,100.00,N/A,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of Audit Committee,1.,SUWIT CHINDASANGUAN,N/A,5 / 5,100.00,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of Audit Committee,2.,POTJANEE THANAVARANIT,N/A,5 / 5,100.00,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of Audit Committee,3.,TITHIPHAN CHUERBOONCHAI,N/A,5 / 5,100.00,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of Executive Committee,1.,THAPANA SIRIVADHANABHAKDI,N/A,N/A,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of Executive Committee,2.,PANOTE SIRIVADHANABHAKDI,N/A,N/A,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of Executive Committee,3.,SITHICHAI CHAIKRIANGKRAI,N/A,N/A,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of Executive Committee,4.,NARARAT LIMNARARAT,N/A,N/A,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of Executive Committee,5.,WORAWAT SRISA-AN,N/A,N/A,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of Executive Committee,6.,KHUMPOL POONSONEE,N/A,N/A,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Remuneration and Nomination Committee,1.,POTJANEE THANAVARANIT,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Remuneration and Nomination Committee,2.,THAPANA SIRIVADHANABHAKDI,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Remuneration and Nomination Committee,3.,PANOTE SIRIVADHANABHAKDI,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Remuneration and Nomination Committee,4.,NARARAT LIMNARARAT,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Corporate Governance Committee,1.,TITHIPHAN CHUERBOONCHAI,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Corporate Governance Committee,2.,SUWIT CHINDASANGUAN,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Corporate Governance Committee,3.,PANOTE SIRIVADHANABHAKDI,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Corporate Governance Committee,4.,WORAWAT SRISA-AN,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Sustainability and Risk Management Committee,1.,KHUMPOL POONSONEE,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Sustainability and Risk Management Committee,2.,Bundit  Muangsornkeaw,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Sustainability and Risk Management Committee,3.,Korntawat  Kingngoen,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Sustainability and Risk Management Committee,4.,Monta  Lekhawattana,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Sustainability and Risk Management Committee,5.,Panom  Pommiratana,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Sustainability and Risk Management Committee,6.,Pahfun  Chitmittraphap,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Sustainability and Risk Management Committee,7.,Chanphen  Thaworncharoenpon,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Sustainability and Risk Management Committee,8.,Taddao   Chirasawadi,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Sustainability and Risk Management Committee,9.,Akaparp   Suphaklert,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Sustainability and Risk Management Committee,10.,Ekkapong   Tangsirimanakul,N/A,0 / 0,N/A,,
UV,2022,6,5,14/01/2022,Yes,Meeting Attendance of The Sustainability and Risk Management Committee,11.,Nuttachai   Veerakul,N/A,0 / 0,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of the Board of Directors,1.,POTJANEE THANAVARANIT,N/A,6 / 6,100.00,N/A,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of the Board of Directors,2.,THAPANA SIRIVADHANABHAKDI,N/A,5 / 6,83.33,N/A,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of the Board of Directors,3.,PANOTE SIRIVADHANABHAKDI,N/A,6 / 6,100.00,N/A,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of the Board of Directors,4.,NARARAT LIMNARARAT,N/A,6 / 6,100.00,N/A,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of the Board of Directors,5.,SUWIT CHINDASANGUAN,N/A,6 / 6,100.00,N/A,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of the Board of Directors,6.,TITHIPHAN CHUERBOONCHAI,N/A,6 / 6,100.00,N/A,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of the Board of Directors,7.,SITHICHAI CHAIKRIANGKRAI,N/A,6 / 6,100.00,N/A,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of the Board of Directors,8.,WORAWAT SRISA-AN,N/A,6 / 6,100.00,N/A,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of the Board of Directors,9.,KHUMPOL POONSONEE,N/A,6 / 6,100.00,N/A,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of Audit Committee,1.,SUWIT CHINDASANGUAN,N/A,7 / 7,100.00,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of Audit Committee,2.,POTJANEE THANAVARANIT,N/A,7 / 7,100.00,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of Audit Committee,3.,TITHIPHAN CHUERBOONCHAI,N/A,7 / 7,100.00,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of Executive Committee,1.,THAPANA SIRIVADHANABHAKDI,N/A,N/A,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of Executive Committee,2.,PANOTE SIRIVADHANABHAKDI,N/A,N/A,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of Executive Committee,3.,NARARAT LIMNARARAT,N/A,N/A,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of Executive Committee,4.,SITHICHAI CHAIKRIANGKRAI,N/A,N/A,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of Executive Committee,5.,WORAWAT SRISA-AN,N/A,N/A,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of Executive Committee,6.,KHUMPOL POONSONEE,N/A,N/A,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of The Remuneration and Nomination Committee,1.,POTJANEE THANAVARANIT,N/A,0 / 0,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of The Remuneration and Nomination Committee,2.,THAPANA SIRIVADHANABHAKDI,N/A,0 / 0,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of The Remuneration and Nomination Committee,3.,PANOTE SIRIVADHANABHAKDI,N/A,0 / 0,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of The Remuneration and Nomination Committee,4.,NARARAT LIMNARARAT,N/A,0 / 0,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of The Corporate Governance Committee,1.,TITHIPHAN CHUERBOONCHAI,N/A,0 / 0,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of The Corporate Governance Committee,2.,SUWIT CHINDASANGUAN,N/A,0 / 0,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of The Corporate Governance Committee,3.,PANOTE SIRIVADHANABHAKDI,N/A,0 / 0,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of The Corporate Governance Committee,4.,WORAWAT SRISA-AN,N/A,0 / 0,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of The Sustainability and Risk Management Committee,1.,KHUMPOL POONSONEE,N/A,0 / 0,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of The Sustainability and Risk Management Committee,2.,Bundit  Muangsornkeaw,N/A,0 / 0,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of The Sustainability and Risk Management Committee,3.,Korntawat  Kingngoen,N/A,0 / 0,N/A,,
UV,2023,6,7,17/01/2023,No,Meeting Attendance of The Sustainability and Risk Management Committee,4.,Monta  Lekhawattana,N/A,0 / 0,N/A,,
