Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
VARO,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
VARO,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
VARO,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,SORRANEE DEEPHANPHONGS,N/A,4 / 4,100.00,Yes,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,SAHASEE CHITANONDH,N/A,4 / 4,100.00,Yes,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,KAMOLNAI CHAIXANIEN,N/A,2 / 4,50.00,No,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,CHIRAWUT CHAIYAWAT,N/A,4 / 4,100.00,Yes,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,PITIPHONG PISARNBUTRA,N/A,4 / 4,100.00,Yes,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,YOSHINAO TOYADA,N/A,4 / 4,100.00,Yes,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,CHAIYONG DEEPHANPHONGS,N/A,4 / 4,100.00,Yes,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,ETSUO YAMAMURA,05/04/2022,1 / 1,100.00,No,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,1.,THANOMSAK CHOTIKAPRAKAI,N/A,4 / 4,100.00,,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,2.,"THOMRAT HATAYODOM, RTN.",N/A,4 / 4,100.00,,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,3.,THONGKOON SANGTHAMMARAT,N/A,3 / 3,100.00,,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,4.,MAMORU KUBOTA,24/02/2022,1 / 1,100.00,,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of Executive Committee,1.,CHAIYONG DEEPHANPHONGS,N/A,N/A,N/A,,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of Executive Committee,2.,SAHASEE CHITANONDH,N/A,N/A,N/A,,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,THANOMSAK CHOTIKAPRAKAI,N/A,0 / 0,N/A,,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,"THOMRAT HATAYODOM, RTN.",N/A,0 / 0,N/A,,
VARO,2022,4,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,THONGKOON SANGTHAMMARAT,N/A,0 / 0,N/A,,
