Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
VPO,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
VPO,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
VPO,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,BANDHOON SUPAKAVANICH,N/A,6 / 6,100.00,Yes,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,VORAVITH CHAVANANAND,N/A,5 / 6,83.33,Yes,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,VATCHARA CHAVANANAND,N/A,6 / 6,100.00,Yes,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,SUPALUCK TIASEVANAKUL,N/A,6 / 6,100.00,Yes,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,KRISADA CHAVANANAND,N/A,6 / 6,100.00,Yes,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,JIRAPHANT ASVATANAKUL,N/A,6 / 6,100.00,Yes,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,RACHADA SINGALAVANIJA,N/A,6 / 6,100.00,Yes,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,8.,PEERAPONG OEUSOONTHORNWATTANA,N/A,6 / 6,100.00,Yes,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of the Board of Directors,9.,VITHAYA CHAVANANAND,04/01/2022,N/A,N/A,N/A,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of Audit Committee,1.,BANDHOON SUPAKAVANICH,N/A,4 / 4,100.00,,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of Audit Committee,2.,JIRAPHANT ASVATANAKUL,N/A,4 / 4,100.00,,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of Audit Committee,3.,RACHADA SINGALAVANIJA,N/A,4 / 4,100.00,,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of Executive Committee,1.,KRISADA CHAVANANAND,N/A,N/A,N/A,,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of Executive Committee,2.,VATCHARA CHAVANANAND,N/A,N/A,N/A,,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of Executive Committee,3.,SUPALUCK TIASEVANAKUL,N/A,N/A,N/A,,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of Executive Committee,4.,Kem-ngurn Chutchaiyun,N/A,N/A,N/A,,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of Risk Management Committee,1.,KRISADA CHAVANANAND,N/A,0 / 0,N/A,,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of Risk Management Committee,2.,RACHADA SINGALAVANIJA,N/A,0 / 0,N/A,,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of Risk Management Committee,3.,VATCHARA CHAVANANAND,N/A,0 / 0,N/A,,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of Risk Management Committee,4.,SUPALUCK TIASEVANAKUL,N/A,0 / 0,N/A,,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,BANDHOON SUPAKAVANICH,N/A,0 / 0,N/A,,
VPO,2022,6,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,JIRAPHANT ASVATANAKUL,N/A,0 / 0,N/A,,
