Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
WACOAL,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
WACOAL,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
WACOAL,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of the Board of Directors,1.,YOSHIKATA TSUKAMOTO,N/A,0 / 8,0.00,No,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of the Board of Directors,2.,MANU LEELANUWATANA,N/A,8 / 8,100.00,Yes,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of the Board of Directors,3.,MASAAKI YAJIMA,N/A,1 / 8,12.50,No,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of the Board of Directors,4.,BOONDEE AMNUAYSKUL,N/A,8 / 8,100.00,Yes,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of the Board of Directors,5.,TAKUYA MIURA,N/A,8 / 8,100.00,No,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of the Board of Directors,6.,THAMARAT CHOKWATANA,N/A,8 / 8,100.00,Yes,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of the Board of Directors,7.,KARUNEE SURAI,N/A,8 / 8,100.00,Yes,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of the Board of Directors,8.,ONANONG SAENGPUMPONG,N/A,8 / 8,100.00,Yes,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of the Board of Directors,9.,HIRONOBU YASUHARA,N/A,1 / 8,12.50,No,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of the Board of Directors,10.,KAZUHIRO SHIBAHARA,N/A,1 / 8,12.50,No,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of the Board of Directors,11.,KULPATRA SIRODOM,N/A,8 / 8,100.00,Yes,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of the Board of Directors,12.,PUNNEE WORAWUTHICHONGSATHIT,N/A,8 / 8,100.00,Yes,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of the Board of Directors,13.,KRISH FOLLETT,N/A,8 / 8,100.00,Yes,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of the Board of Directors,14.,WARAPORN KULSAWATPAKDEE,N/A,8 / 8,100.00,Yes,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of the Board of Directors,15.,POOLSAK BOONCHOO,N/A,8 / 8,100.00,Yes,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Audit Committee,1.,KULPATRA SIRODOM,N/A,13 / 13,100.00,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Audit Committee,2.,PUNNEE WORAWUTHICHONGSATHIT,N/A,13 / 13,100.00,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Audit Committee,3.,POOLSAK BOONCHOO,N/A,13 / 13,100.00,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Executive Committee,1.,BOONDEE AMNUAYSKUL,N/A,N/A,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Executive Committee,2.,TAKUYA MIURA,N/A,N/A,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Executive Committee,3.,THAMARAT CHOKWATANA,N/A,N/A,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Executive Committee,4.,KARUNEE SURAI,N/A,N/A,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Executive Committee,5.,ONANONG SAENGPUMPONG,N/A,N/A,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Executive Committee,6.,Suvit Wongcharoenvutporn,N/A,N/A,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Executive Committee,7.,Nonglaks Techaboonanek,N/A,N/A,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Executive Committee,8.,Natcharinthorn Pongsupachintapa,N/A,N/A,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Executive Committee,9.,Siriwan Vilassakdanont,N/A,N/A,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Executive Committee,10.,Metha  Supakorn,N/A,N/A,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Executive Committee,11.,Pojadech  Ketkratuk,N/A,N/A,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Executive Committee,12.,Sukhontharat Nitthisirisakool,N/A,N/A,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of Executive Committee,13.,Pranot Vesaruchavit,N/A,N/A,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of The Risk Management Committee,1.,KRISH FOLLETT,N/A,0 / 0,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of The Risk Management Committee,2.,WARAPORN KULSAWATPAKDEE,N/A,0 / 0,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of The Risk Management Committee,3.,POOLSAK BOONCHOO,N/A,0 / 0,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of The Nominating Committee,1.,MANU LEELANUWATANA,N/A,0 / 0,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of The Nominating Committee,2.,Sirikul Dhanasarnsilp,N/A,0 / 0,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of The Nominating Committee,3.,BOONDEE AMNUAYSKUL,N/A,0 / 0,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of The Remuneration Committee,1.,MANU LEELANUWATANA,N/A,0 / 0,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of The Remuneration Committee,2.,Sirikul Dhanasarnsilp,N/A,0 / 0,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of The Remuneration Committee,3.,BOONDEE AMNUAYSKUL,N/A,0 / 0,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of The Remuneration Committee,4.,THAMARAT CHOKWATANA,N/A,0 / 0,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of The Corporate Governance and Sustainable Development Committee,1.,KULPATRA SIRODOM,N/A,0 / 0,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of The Corporate Governance and Sustainable Development Committee,2.,BOONDEE AMNUAYSKUL,N/A,0 / 0,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of The Corporate Governance and Sustainable Development Committee,3.,KARUNEE SURAI,N/A,0 / 0,N/A,,
WACOAL,2022,8,13,25/04/2022,No,Meeting Attendance of The Corporate Governance and Sustainable Development Committee,4.,ONANONG SAENGPUMPONG,N/A,0 / 0,N/A,,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,1.,MANU LEELANUWATANA,N/A,7 / 7,100.00,Yes,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,2.,MASAAKI YAJIMA,N/A,1 / 7,14.29,No,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,3.,BOONDEE AMNUAYSKUL,N/A,7 / 7,100.00,Yes,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,4.,TAKUYA MIURA,N/A,7 / 7,100.00,Yes,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,5.,THAMARAT CHOKWATANA,N/A,6 / 7,85.71,Yes,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,6.,KARUNEE SURAI,N/A,7 / 7,100.00,Yes,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,7.,ONANONG SAENGPUMPONG,N/A,7 / 7,100.00,Yes,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,8.,AKIRA MIYAGI,N/A,0 / 4,0.00,No,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,9.,TERUO FUKUMOTO,N/A,0 / 3,0.00,No,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,10.,TAKASHI WATANABE,N/A,0 / 2,0.00,No,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,11.,KULPATRA SIRODOM,N/A,7 / 7,100.00,Yes,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,12.,PUNNEE WORAWUTHICHONGSATHIT,N/A,7 / 7,100.00,Yes,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,13.,KRISH FOLLETT,N/A,7 / 7,100.00,Yes,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,14.,WARAPORN KULSAWATPAKDEE,N/A,7 / 7,100.00,Yes,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,15.,POOLSAK BOONCHOO,N/A,7 / 7,100.00,Yes,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,16.,YASUHIRO SHIMIZU,26/07/2023,0 / 2,0.00,No,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,17.,YOSHIKATA TSUKAMOTO,24/04/2023,0 / 3,0.00,No,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,18.,KAZUHIRO SHIBAHARA,10/05/2023,1 / 4,25.00,No,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of the Board of Directors,19.,HIRONOBU YASUHARA,24/04/2023,1 / 3,33.33,No,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of Audit Committee,1.,KULPATRA SIRODOM,N/A,12 / 12,100.00,,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of Audit Committee,2.,PUNNEE WORAWUTHICHONGSATHIT,N/A,12 / 12,100.00,,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of Audit Committee,3.,POOLSAK BOONCHOO,N/A,12 / 12,100.00,,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of Executive Committee,1.,BOONDEE AMNUAYSKUL,N/A,N/A,N/A,,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of Executive Committee,2.,TAKUYA MIURA,N/A,N/A,N/A,,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of Executive Committee,3.,THAMARAT CHOKWATANA,N/A,N/A,N/A,,
WACOAL,2023,7,12,24/04/2023,No,Meeting Attendance of Executive Committee,4.,KARUNEE SURAI,N/A,N/A,N/A,,
