Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
WAVE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
WAVE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
WAVE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,CATHLEEN MALEENONT,N/A,9 / 9,100.00,Yes,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,KIJCHARNPIT SUKANGWANWIT,N/A,9 / 9,100.00,Yes,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,THIRAPONG KHUMRUANGRIT,N/A,6 / 6,100.00,No,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,James Andrew Moore,N/A,3 / 3,100.00,No,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,Phatnaree Thitiariyakul,N/A,3 / 3,100.00,No,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,VEERAWIT CHATVIWATPORNCHAI,N/A,4 / 4,100.00,No,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,PHISIT CHUSIRIWAT,N/A,4 / 4,100.00,No,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,SOMSAK PHAYAPDACHARCHAI,16/09/2022,4 / 4,100.00,Yes,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,NALINEE HASTINTRA,26/09/2022,4 / 4,100.00,Yes,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of the Board of Directors,10.,MATTHEW KICHODHAN,31/10/2022,6 / 6,100.00,Yes,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of the Board of Directors,11.,PHILIPP OLIVER PIAZ,17/10/2022,4 / 5,80.00,Yes,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of the Board of Directors,12.,CHAIPRANIN VISUDHIPOL,17/10/2022,3 / 5,60.00,Yes,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of the Board of Directors,13.,PRASERT PATRADHILOK,31/10/2022,6 / 6,100.00,Yes,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of the Board of Directors,14.,ANGKANEE RERKSIRISUK,31/10/2022,6 / 6,100.00,Yes,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Audit Committee,1.,VEERAWIT CHATVIWATPORNCHAI,N/A,1 / 1,100.00,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Audit Committee,2.,PHISIT CHUSIRIWAT,N/A,1 / 1,100.00,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Audit Committee,3.,Phatnaree Thitiariyakul,N/A,1 / 1,100.00,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Audit Committee,4.,SOMSAK PHAYAPDACHARCHAI,16/09/2022,3 / 3,100.00,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Audit Committee,5.,NALINEE HASTINTRA,26/09/2022,3 / 3,100.00,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Audit Committee,6.,PRASERT PATRADHILOK,31/10/2022,3 / 3,100.00,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Executive Committee,,No Information,,,,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,KIJCHARNPIT SUKANGWANWIT,N/A,0 / 0,N/A,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,PHISIT CHUSIRIWAT,N/A,0 / 0,N/A,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,THIRAPONG KHUMRUANGRIT,N/A,0 / 0,N/A,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,4.,James Andrew Moore,N/A,0 / 0,N/A,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Corporate Governance Committee,1.,CHAIPRANIN VISUDHIPOL,N/A,0 / 0,N/A,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Corporate Governance Committee,2.,SOMSAK PHAYAPDACHARCHAI,N/A,0 / 0,N/A,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Corporate Governance Committee,3.,PHILIPP OLIVER PIAZ,N/A,0 / 0,N/A,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Audit and Risk Management Committee,1.,VEERAWIT CHATVIWATPORNCHAI,N/A,0 / 0,N/A,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Audit and Risk Management Committee,2.,Phatnaree Thitiariyakul,N/A,0 / 0,N/A,,
WAVE,2022,9,4,11/04/2022,Yes,Meeting Attendance of Audit and Risk Management Committee,3.,PHISIT CHUSIRIWAT,N/A,0 / 0,N/A,,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of the Board of Directors,1.,KIJCHARNPIT SUKANGWANWIT,N/A,8 / 8,100.00,Yes,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of the Board of Directors,2.,THIRAPONG KHUMRUANGRIT,N/A,8 / 8,100.00,Yes,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of the Board of Directors,3.,Phatnaree Thitiariyakul,N/A,8 / 8,100.00,Yes,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of the Board of Directors,4.,JAMES ANDREW MOORE,N/A,8 / 8,100.00,Yes,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of the Board of Directors,5.,VEERAWIT CHATVIWATPORNCHAI,N/A,8 / 8,100.00,Yes,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of the Board of Directors,6.,PHISIT CHUSIRIWAT,N/A,N/A,N/A,N/A,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of the Board of Directors,7.,CATHLEEN MALEENONT,31/08/2023,5 / 8,62.50,Yes,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of Audit Committee,1.,VEERAWIT CHATVIWATPORNCHAI,N/A,4 / 4,100.00,,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of Audit Committee,2.,PHISIT CHUSIRIWAT,N/A,4 / 4,100.00,,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of Audit Committee,3.,Phatnaree Thitiariyakul,N/A,4 / 4,100.00,,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of Executive Committee,,No Information,,,,,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,KIJCHARNPIT SUKANGWANWIT,N/A,0 / 0,N/A,,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,PHISIT CHUSIRIWAT,N/A,0 / 0,N/A,,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,THIRAPONG KHUMRUANGRIT,N/A,0 / 0,N/A,,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of Nomination and Remuneration Committee,4.,James Andrew Moore,N/A,0 / 0,N/A,,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of Audit and Risk Management Committee,1.,VEERAWIT CHATVIWATPORNCHAI,N/A,0 / 0,N/A,,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of Audit and Risk Management Committee,2.,Phatnaree Thitiariyakul,N/A,0 / 0,N/A,,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of Audit and Risk Management Committee,3.,PHISIT CHUSIRIWAT,N/A,0 / 0,N/A,,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of Corporate Governance Committee,1.,CHAIPRANIN VISUDHIPOL,N/A,0 / 0,N/A,,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of Corporate Governance Committee,2.,SOMSAK PHAYAPDACHARCHAI,N/A,0 / 0,N/A,,
WAVE,2023,8,4,30/04/2024,Yes,Meeting Attendance of Corporate Governance Committee,3.,PHILIPP OLIVER PIAZ,N/A,0 / 0,N/A,,
WAVE,2024,9,4,30/04/2024,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
WAVE,2024,9,4,30/04/2024,No,Meeting Attendance of Audit Committee,,No Information,,,,,
WAVE,2024,9,4,30/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
WAVE,2025,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
WAVE,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
WAVE,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
WAVE,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
WAVE,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
WAVE,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
