Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
WIIK,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
WIIK,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
WIIK,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
WIIK,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,CHIDCHAI VANASATIDYA,N/A,4 / 4,100.00,Yes,
WIIK,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,WIBOON SANGWITHAYANON,N/A,4 / 4,100.00,Yes,
WIIK,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,KARN SIRIPHATRAS,N/A,4 / 4,100.00,Yes,
WIIK,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,BENJAWAN SINKUNAKORN,N/A,4 / 4,100.00,Yes,
WIIK,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,YULONG LI,N/A,4 / 4,100.00,Yes,
WIIK,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,SHAOQUAN LIN,N/A,4 / 4,100.00,Yes,
WIIK,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,ZHE LI,N/A,4 / 4,100.00,Yes,
WIIK,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,ROCKY KIN LAU,N/A,3 / 3,100.00,No,
WIIK,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,9.,TANIT TONGTHONG,N/A,1 / 1,100.00,No,
WIIK,2022,4,4,27/04/2022,No,Meeting Attendance of the Board of Directors,10.,PRANEE RATTAKAM,06/05/2022,1 / 1,100.00,Yes,
WIIK,2022,4,4,27/04/2022,No,Meeting Attendance of Audit Committee,1.,CHIDCHAI VANASATIDYA,N/A,4 / 4,100.00,,
