Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
WINNER,2021,4,5,22/04/2021,Yes,Meeting Attendance of the Board of Directors,1.,PRAKARN TAWISUWAN,N/A,4 / 4,100.00,Yes,
WINNER,2021,4,5,22/04/2021,Yes,Meeting Attendance of the Board of Directors,2.,JANE WONGISARIYAKUL,N/A,4 / 4,100.00,Yes,
WINNER,2021,4,5,22/04/2021,Yes,Meeting Attendance of the Board of Directors,3.,SURAPAT ROJCHANAVISART,N/A,4 / 4,100.00,Yes,
WINNER,2021,4,5,22/04/2021,Yes,Meeting Attendance of the Board of Directors,4.,VANNAPORN WONGISARIYAKUL,N/A,4 / 4,100.00,Yes,
WINNER,2021,4,5,22/04/2021,Yes,Meeting Attendance of the Board of Directors,5.,KANOKPAN KREANGKRAIKRISSADA,N/A,4 / 4,100.00,Yes,
WINNER,2021,4,5,22/04/2021,Yes,Meeting Attendance of the Board of Directors,6.,KANOLLAS WONGISARIYAKUL,N/A,4 / 4,100.00,Yes,
WINNER,2021,4,5,22/04/2021,Yes,Meeting Attendance of the Board of Directors,7.,THIPAWAN UTHAISANG,N/A,4 / 4,100.00,Yes,
WINNER,2021,4,5,22/04/2021,Yes,Meeting Attendance of the Board of Directors,8.,WARUNEE VARANYANOND,N/A,4 / 4,100.00,No,
WINNER,2021,4,5,22/04/2021,Yes,Meeting Attendance of Audit Committee,1.,PRAKARN TAWISUWAN,N/A,5 / 5,100.00,,
WINNER,2021,4,5,22/04/2021,Yes,Meeting Attendance of Audit Committee,2.,THIPAWAN UTHAISANG,N/A,5 / 5,100.00,,
WINNER,2021,4,5,22/04/2021,Yes,Meeting Attendance of Audit Committee,3.,WARUNEE VARANYANOND,N/A,5 / 5,100.00,,
WINNER,2021,4,5,22/04/2021,Yes,Meeting Attendance of Executive Committee,,No Information,,,,,
WINNER,2021,4,5,22/04/2021,Yes,Meeting Attendance of Executive Committee,1.,JANE WONGISARIYAKUL,N/A,0 / 0,N/A,,
WINNER,2021,4,5,22/04/2021,Yes,Meeting Attendance of Executive Committee,2.,VANNAPORN WONGISARIYAKUL,N/A,0 / 0,N/A,,
