Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
WIN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
WIN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
WIN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
WIN,2022,12,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,JAK CHAMIKORN,N/A,12 / 12,100.00,Yes,
WIN,2022,12,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,KORANUN SUKONRITIKORN,N/A,12 / 12,100.00,Yes,
WIN,2022,12,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,PHATPONG LIMCHAIKUL,N/A,12 / 12,100.00,Yes,
WIN,2022,12,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,KRISSANA PRAKOBKANDEE,N/A,12 / 12,100.00,Yes,
WIN,2022,12,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,VINITA CHAMIKORN,N/A,10 / 12,83.33,Yes,
WIN,2022,12,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,DUSSADEE SINJERMSIRI,N/A,12 / 12,100.00,Yes,
WIN,2022,12,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,CHAYO TRANGADISAIKUL,N/A,12 / 12,100.00,Yes,
WIN,2022,12,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,SURASAK SUKHA,N/A,12 / 12,100.00,Yes,
WIN,2022,12,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,9.,CHAIYA KUDACAL,N/A,11 / 12,91.67,No,
WIN,2022,12,N/A,28/04/2022,No,Meeting Attendance of Audit Committee,1.,DUSSADEE SINJERMSIRI,N/A,7 / 7,100.00,,
WIN,2022,12,N/A,28/04/2022,No,Meeting Attendance of Audit Committee,2.,CHAYO TRANGADISAIKUL,N/A,7 / 7,100.00,,
WIN,2022,12,N/A,28/04/2022,No,Meeting Attendance of Audit Committee,3.,SURASAK SUKHA,N/A,7 / 7,100.00,,
WIN,2022,12,N/A,28/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
WIN,2022,12,N/A,28/04/2022,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",1.,SURASAK SUKHA,N/A,0 / 0,N/A,,
WIN,2022,12,N/A,28/04/2022,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",2.,DUSSADEE SINJERMSIRI,N/A,0 / 0,N/A,,
WIN,2022,12,N/A,28/04/2022,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",3.,CHAYO TRANGADISAIKUL,N/A,0 / 0,N/A,,
WIN,2023,12,5,27/04/2023,No,Meeting Attendance of the Board of Directors,1.,JAK CHAMIKORN,N/A,12 / 12,100.00,Yes,
WIN,2023,12,5,27/04/2023,No,Meeting Attendance of the Board of Directors,2.,KORANUN SUKONRITIKORN,N/A,12 / 12,100.00,Yes,
WIN,2023,12,5,27/04/2023,No,Meeting Attendance of the Board of Directors,3.,PHATPONG LIMCHAIKUL,N/A,12 / 12,100.00,Yes,
WIN,2023,12,5,27/04/2023,No,Meeting Attendance of the Board of Directors,4.,KRISSANA PRAKOBKANDEE,N/A,12 / 12,100.00,Yes,
WIN,2023,12,5,27/04/2023,No,Meeting Attendance of the Board of Directors,5.,VINITA CHAMIKORN,N/A,12 / 12,100.00,Yes,
WIN,2023,12,5,27/04/2023,No,Meeting Attendance of the Board of Directors,6.,DUSSADEE SINJERMSIRI,N/A,12 / 12,100.00,Yes,
WIN,2023,12,5,27/04/2023,No,Meeting Attendance of the Board of Directors,7.,CHAYO TRANGADISAIKUL,N/A,12 / 12,100.00,Yes,
WIN,2023,12,5,27/04/2023,No,Meeting Attendance of the Board of Directors,8.,SURASAK SUKHA,N/A,12 / 12,100.00,Yes,
WIN,2023,12,5,27/04/2023,No,Meeting Attendance of the Board of Directors,9.,CHAIYA KUDACAL,N/A,12 / 12,100.00,Yes,
WIN,2023,12,5,27/04/2023,No,Meeting Attendance of Audit Committee,1.,DUSSADEE SINJERMSIRI,N/A,5 / 5,100.00,,
WIN,2023,12,5,27/04/2023,No,Meeting Attendance of Audit Committee,2.,CHAYO TRANGADISAIKUL,N/A,5 / 5,100.00,,
WIN,2023,12,5,27/04/2023,No,Meeting Attendance of Audit Committee,3.,SURASAK SUKHA,N/A,5 / 5,100.00,,
WIN,2023,12,5,27/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
WIN,2023,12,5,27/04/2023,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",1.,SURASAK SUKHA,N/A,0 / 0,N/A,,
WIN,2023,12,5,27/04/2023,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",2.,DUSSADEE SINJERMSIRI,N/A,0 / 0,N/A,,
WIN,2023,12,5,27/04/2023,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",3.,CHAYO TRANGADISAIKUL,N/A,0 / 0,N/A,,
WIN,2024,12,7,25/04/2024,No,Meeting Attendance of the Board of Directors,1.,JAK CHAMIKORN,N/A,12 / 12,100.00,Yes,
