Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
XBIO,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
XBIO,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
XBIO,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
XBIO,2022,8,4,25/04/2022,No,Meeting Attendance of the Board of Directors,1.,TANAWAT UEASIRIPAN,N/A,0 / 0,N/A,No,
XBIO,2022,8,4,25/04/2022,No,Meeting Attendance of the Board of Directors,2.,SUPREEDEE NIMITKUL,N/A,3 / 4,75.00,No,
XBIO,2022,8,4,25/04/2022,No,Meeting Attendance of the Board of Directors,3.,PHORNPRAVEE CHANSUWAN,N/A,1 / 1,100.00,No,
XBIO,2022,8,4,25/04/2022,No,Meeting Attendance of the Board of Directors,4.,CHANATIP PUMHIRAN,N/A,1 / 1,100.00,No,
XBIO,2022,8,4,25/04/2022,No,Meeting Attendance of the Board of Directors,5.,ISSARAPORN THANUPON,N/A,0 / 0,N/A,No,
XBIO,2022,8,4,25/04/2022,No,Meeting Attendance of the Board of Directors,6.,CHANCHAI KANLUANG,N/A,0 / 0,N/A,No,
XBIO,2022,8,4,25/04/2022,No,Meeting Attendance of the Board of Directors,7.,Somboon  Prasobpiboon,N/A,0 / 0,N/A,No,
XBIO,2022,8,4,25/04/2022,No,Meeting Attendance of the Board of Directors,8.,YAOWAROTE KLINBOON,19/12/2022,8 / 8,100.00,Yes,
XBIO,2022,8,4,25/04/2022,No,Meeting Attendance of the Board of Directors,9.,VEERAYOOTH BODHARAMIK,27/01/2022,1 / 1,100.00,No,
XBIO,2022,8,4,25/04/2022,No,Meeting Attendance of the Board of Directors,10.,KUSOL SANGKANANTA,18/07/2022,2 / 3,66.67,Yes,
XBIO,2022,8,4,25/04/2022,No,Meeting Attendance of the Board of Directors,11.,SIRUTT RATANAPAITOON,31/10/2022,5 / 5,100.00,Yes,
