Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
YGG,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
YGG,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
YGG,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,VILAILAK AUNYAMANEERAT,N/A,4 / 4,100.00,Yes,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,TANAT JUWIWAT,N/A,3 / 4,75.00,Yes,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,SAROOT TUBLOY,N/A,4 / 4,100.00,Yes,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,SARUN SUTUNTIVORAKOON,N/A,4 / 4,100.00,Yes,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,SUVINAI TOSIRISUK,N/A,4 / 4,100.00,Yes,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,CHAYANANT TIYATRAKARNCHAI,N/A,4 / 4,100.00,Yes,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of Audit Committee,1.,SUVINAI TOSIRISUK,N/A,4 / 4,100.00,,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of Audit Committee,2.,VILAILAK AUNYAMANEERAT,N/A,4 / 4,100.00,,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of Audit Committee,3.,CHAYANANT TIYATRAKARNCHAI,N/A,4 / 4,100.00,,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of Executive Committee,,No Information,,,,,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,CHAYANANT TIYATRAKARNCHAI,N/A,0 / 0,N/A,,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,VILAILAK AUNYAMANEERAT,N/A,0 / 0,N/A,,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,SUVINAI TOSIRISUK,N/A,0 / 0,N/A,,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of Risk Management and Sustainability Committee,1.,CHAYANANT TIYATRAKARNCHAI,N/A,0 / 0,N/A,,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of Risk Management and Sustainability Committee,2.,TANAT JUWIWAT,N/A,0 / 0,N/A,,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of Risk Management and Sustainability Committee,3.,SAROOT TUBLOY,N/A,0 / 0,N/A,,
YGG,2022,4,4,26/04/2022,Yes,Meeting Attendance of Risk Management and Sustainability Committee,4.,Sirakarn Sudhikiat,N/A,0 / 0,N/A,,
