Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ZAA,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ZAA,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ZAA,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of the Board of Directors,1.,VICHA POOLVARALUK,N/A,4 / 4,100.00,Yes,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of the Board of Directors,2.,TIRACHAI VUTITHUM,N/A,3 / 4,75.00,Yes,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of the Board of Directors,3.,THITAPAT ISSARAPORNPAT,N/A,4 / 4,100.00,Yes,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of the Board of Directors,4.,THANACHAI SANTICHAIKUL,N/A,4 / 4,100.00,Yes,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of the Board of Directors,5.,THANAKORN PULIWEKIN,N/A,3 / 4,75.00,Yes,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of the Board of Directors,6.,VACHARA TUNTARIYANOND,N/A,3 / 4,75.00,Yes,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of the Board of Directors,7.,APICHART KONGCHAI,N/A,4 / 4,100.00,Yes,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of the Board of Directors,8.,APIRAK VARACHANONTH,N/A,4 / 4,100.00,Yes,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of the Board of Directors,9.,NATCHANONT KOMUTPUTIPONG,N/A,4 / 4,100.00,Yes,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of Audit Committee,1.,THANACHAI SANTICHAIKUL,N/A,4 / 4,100.00,,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of Audit Committee,2.,VACHARA TUNTARIYANOND,N/A,4 / 4,100.00,,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of Audit Committee,3.,NATCHANONT KOMUTPUTIPONG,N/A,4 / 4,100.00,,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of Executive Committee,1.,VICHA POOLVARALUK,N/A,N/A,N/A,,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of Executive Committee,2.,THANAKORN PULIWEKIN,N/A,N/A,N/A,,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of Executive Committee,3.,THITAPAT ISSARAPORNPAT,N/A,N/A,N/A,,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of Risk Management Committee,1.,VACHARA TUNTARIYANOND,N/A,0 / 0,N/A,,
ZAA,2022,4,4,07/04/2022,No,Meeting Attendance of Risk Management Committee,2.,THANACHAI SANTICHAIKUL,N/A,0 / 0,N/A,,
