Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ZEN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ZEN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ZEN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,PAITOON TAVEEBHOL,N/A,8 / 8,100.00,Yes,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,SAKKANON CHIRATHIVAT,N/A,8 / 8,100.00,Yes,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,STEVEN HALLIDAY,N/A,8 / 8,100.00,Yes,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,CHITTAPON VIVADDHANAKASEM,N/A,8 / 8,100.00,Yes,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,JOMKWAN CHIRATHIVAT,N/A,8 / 8,100.00,Yes,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,PRAWIT KIJPAISALRATTANA,N/A,8 / 8,100.00,Yes,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,WILERT PURIWAT,N/A,8 / 8,100.00,Yes,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,BOONYONG TANSAKUL,N/A,8 / 8,100.00,Yes,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of the Board of Directors,9.,JOTIKA SAVANANANDA,N/A,8 / 8,100.00,Yes,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of the Board of Directors,10.,CHAVALIT CHINDAVANIG,N/A,8 / 8,100.00,Yes,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of the Board of Directors,11.,SIRUWAT CHATCHAWAN CHATCHAWAN,N/A,8 / 8,100.00,Yes,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of Audit Committee,1.,PRAWIT KIJPAISALRATTANA,N/A,8 / 8,100.00,,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of Audit Committee,2.,JOTIKA SAVANANANDA,N/A,8 / 8,100.00,,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of Audit Committee,3.,CHAVALIT CHINDAVANIG,N/A,8 / 8,100.00,,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of Executive Committee,1.,BOONYONG TANSAKUL,N/A,N/A,N/A,,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of Executive Committee,2.,JOMKWAN CHIRATHIVAT,N/A,N/A,N/A,,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of Executive Committee,3.,Yupaphan Ekasittikul,N/A,N/A,N/A,,
ZEN,2022,8,8,28/04/2022,No,Meeting Attendance of Executive Committee,4.,SIRUWAT CHATCHAWAN CHATCHAWAN,N/A,N/A,N/A,,
