Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ZIGA,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ZIGA,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ZIGA,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ZIGA,2022,4,4,08/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,SAWAI CHATCHAIRUNGRUANG,N/A,4 / 4,100.00,Yes,
ZIGA,2022,4,4,08/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,SUPPAKIT NGAMCHITCHAROEN,N/A,4 / 4,100.00,Yes,
ZIGA,2022,4,4,08/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,VALARLAK NGAMCHITCHAROEN,N/A,4 / 4,100.00,Yes,
ZIGA,2022,4,4,08/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,PHOLRACH PIATHANOM,N/A,4 / 4,100.00,Yes,
ZIGA,2022,4,4,08/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,MONTHA THASSATAN,N/A,4 / 4,100.00,Yes,
ZIGA,2022,4,4,08/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,EM-ORN CHOTIYAPUTTA,N/A,4 / 4,100.00,Yes,
ZIGA,2022,4,4,08/04/2022,Yes,Meeting Attendance of Audit Committee,1.,SAWAI CHATCHAIRUNGRUANG,N/A,4 / 4,100.00,,
ZIGA,2022,4,4,08/04/2022,Yes,Meeting Attendance of Audit Committee,2.,PHOLRACH PIATHANOM,N/A,4 / 4,100.00,,
ZIGA,2022,4,4,08/04/2022,Yes,Meeting Attendance of Audit Committee,3.,EM-ORN CHOTIYAPUTTA,N/A,4 / 4,100.00,,
ZIGA,2022,4,4,08/04/2022,Yes,Meeting Attendance of Executive Committee,1.,SUPPAKIT NGAMCHITCHAROEN,N/A,N/A,N/A,,
ZIGA,2022,4,4,08/04/2022,Yes,Meeting Attendance of Executive Committee,2.,VALARLAK NGAMCHITCHAROEN,N/A,N/A,N/A,,
ZIGA,2022,4,4,08/04/2022,Yes,Meeting Attendance of Executive Committee,3.,MONTHA THASSATAN,N/A,N/A,N/A,,
