Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
GVREIT,2021,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
GVREIT,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
GVREIT,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
GVREIT,2022,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
GVREIT,2022,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
GVREIT,2022,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
GVREIT,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
GVREIT,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
GVREIT,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GVREIT,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
GVREIT,2024,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
GVREIT,2024,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GVREIT,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,Chatrapee Tantixalerm,N/A,6 / 6,100.00,1 / 1,
GVREIT,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,Somboon Wasinchutchawat,N/A,2 / 6,33.33,0 / 1,
GVREIT,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,Mr. Thanapol  Sirithanachai,N/A,5 / 6,83.33,1 / 1,
GVREIT,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
GVREIT,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GVREIT,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
GVREIT,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
GVREIT,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
