Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
IVF,2021,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
IVF,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
IVF,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
IVF,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
IVF,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
IVF,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
IVF,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
IVF,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
IVF,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of the Board of Directors,1.,SUCHART LAOPREEDA,N/A,7 / 7,100.00,1 / 1,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of the Board of Directors,2.,CHANACHAI JOONJIRAPORN,N/A,7 / 7,100.00,1 / 1,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of the Board of Directors,3.,KASINEE KULDILOKE,N/A,7 / 7,100.00,1 / 1,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of the Board of Directors,4.,KHAN AKAWORAWIT,N/A,7 / 7,100.00,1 / 1,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of the Board of Directors,5.,BUNDIT ANANTAMONGKOL,N/A,7 / 7,100.00,1 / 1,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of the Board of Directors,6.,AREEPAN SOPHONSRITSUK,N/A,7 / 7,100.00,1 / 1,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of the Board of Directors,7.,PUTTIPONG POOMSUWAN,N/A,7 / 7,100.00,1 / 1,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of the Board of Directors,8.,THATCHAI PITANEELABOOT,19/12/2024,6 / 7,85.71,1 / 1,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Audit Committee,1.,SUCHART LAOPREEDA,N/A,5 / 5,100.00,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Audit Committee,2.,KHAN AKAWORAWIT,N/A,5 / 5,100.00,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Audit Committee,3.,AREEPAN SOPHONSRITSUK,N/A,5 / 5,100.00,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Executive Committee,1.,CHANACHAI JOONJIRAPORN,N/A,17 / 17,100.00,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Executive Committee,2.,KASINEE KULDILOKE,N/A,17 / 17,100.00,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Executive Committee,3.,SANTHA SRISUPARP,N/A,17 / 17,100.00,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Executive Committee,4.,SITTHIDACH SAENG-NUAL,N/A,8 / 8,100.00,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Executive Committee,5.,PARAMA RATTANAUBON,N/A,17 / 17,100.00,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Executive Committee,6.,KITTI PULAON,10/12/2024,13 / 16,81.25,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Risk Management Committee,1.,AREEPAN SOPHONSRITSUK,N/A,4 / 4,100.00,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Risk Management Committee,2.,CHANACHAI JOONJIRAPORN,N/A,4 / 4,100.00,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Risk Management Committee,3.,SUCHART LAOPREEDA,N/A,4 / 4,100.00,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Risk Management Committee,4.,KASINEE KULDILOKE,N/A,4 / 4,100.00,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,KHAN AKAWORAWIT,N/A,2 / 2,100.00,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,KASINEE KULDILOKE,N/A,2 / 2,100.00,,
IVF,2024,7,5,17/03/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SUCHART LAOPREEDA,N/A,2 / 2,100.00,,
IVF,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,PORNTHEP ANUSSORNNITISARN,N/A,6 / 6,100.00,0 / 1,
IVF,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,CHANACHAI JOONJIRAPORN,N/A,7 / 7,100.00,1 / 1,
