Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
LTS,2021,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
LTS,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
LTS,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
LTS,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
LTS,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
LTS,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
LTS,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
LTS,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
LTS,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
LTS,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
LTS,2024,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
LTS,2024,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,N/A,N/A,4 / 4,100.00,,
LTS,2024,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,N/A,N/A,4 / 4,100.00,,
LTS,2024,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,N/A,N/A,4 / 4,100.00,,
LTS,2024,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,N/A,N/A,4 / 4,100.00,,
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,PONN VIRULRAK,N/A,5 / 5,100.00,1 / 1,1 / 1
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,PUTT TRATKOSIT,N/A,5 / 5,100.00,1 / 1,1 / 1
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,KITTIPONG VIMOLNOCH,N/A,5 / 5,100.00,1 / 1,1 / 1
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,NUCHANAT SANGCHAT,N/A,5 / 5,100.00,1 / 1,1 / 1
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,APIVUT THONGKAM,N/A,5 / 5,100.00,1 / 1,1 / 1
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,THANAN SUTHIPONGMITRI,N/A,5 / 5,100.00,1 / 1,1 / 1
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,SUPARAT SIRISUWANAGKURA,N/A,5 / 5,100.00,1 / 1,1 / 1
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,APIVUT THONGKAM,N/A,4 / 4,100.00,,
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,SUPARAT SIRISUWANAGKURA,N/A,4 / 4,100.00,,
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,THANAN SUTHIPONGMITRI,N/A,4 / 4,100.00,,
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,N/A,N/A,4 / 4,100.00,,
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,N/A,N/A,4 / 4,100.00,,
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,N/A,N/A,4 / 4,100.00,,
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,N/A,N/A,4 / 4,100.00,,
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Working Group,1.,N/A,N/A,0 / 0,N/A,,
LTS,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Compensation Committee,1.,N/A,N/A,0 / 0,N/A,,
LTS,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
LTS,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
LTS,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
