Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
MAGURO,2021,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
MAGURO,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
MAGURO,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
MAGURO,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
MAGURO,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
MAGURO,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MAGURO,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
MAGURO,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
MAGURO,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MAGURO,2024,6,6,14/03/2024,No,Meeting Attendance of the Board of Directors,1.,WAEWKANEE ASSORATGOON,N/A,6 / 6,100.00,1 / 1,
MAGURO,2024,6,6,14/03/2024,No,Meeting Attendance of the Board of Directors,2.,EAKKALURK SANGSAREEDUMRONG,N/A,6 / 6,100.00,1 / 1,
MAGURO,2024,6,6,14/03/2024,No,Meeting Attendance of the Board of Directors,3.,JAKKRIT SAISOMBOON,N/A,6 / 6,100.00,1 / 1,
MAGURO,2024,6,6,14/03/2024,No,Meeting Attendance of the Board of Directors,4.,RONNAKAD CHINSAMRAN,N/A,6 / 6,100.00,1 / 1,
MAGURO,2024,6,6,14/03/2024,No,Meeting Attendance of the Board of Directors,5.,CHATCHARAS SRIARUN,N/A,4 / 6,66.67,0 / 1,
MAGURO,2024,6,6,14/03/2024,No,Meeting Attendance of the Board of Directors,6.,EKALUCK WANGCHUCHERDKUL,N/A,6 / 6,100.00,1 / 1,
MAGURO,2024,6,6,14/03/2024,No,Meeting Attendance of the Board of Directors,7.,NAPOL KAMTHORNKITTIKUL,N/A,6 / 6,100.00,0 / 1,
MAGURO,2024,6,6,14/03/2024,No,Meeting Attendance of the Board of Directors,8.,CHAKAPHAT NASKAN,N/A,6 / 6,100.00,1 / 1,
MAGURO,2024,6,6,14/03/2024,No,Meeting Attendance of the Board of Directors,9.,SIWAT CHAWAREEWONG,N/A,6 / 6,100.00,1 / 1,
MAGURO,2024,6,6,14/03/2024,No,Meeting Attendance of Audit Committee,1.,CHAKAPHAT NASKAN,N/A,6 / 6,100.00,,
MAGURO,2024,6,6,14/03/2024,No,Meeting Attendance of Audit Committee,2.,SIWAT CHAWAREEWONG,N/A,5 / 6,83.33,,
MAGURO,2024,6,6,14/03/2024,No,Meeting Attendance of Audit Committee,3.,WAEWKANEE ASSORATGOON,N/A,6 / 6,100.00,,
MAGURO,2024,6,6,14/03/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,WAEWKANEE ASSORATGOON,N/A,8 / 8,100.00,1 / 1,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,EAKKALURK SANGSAREEDUMRONG,N/A,8 / 8,100.00,1 / 1,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,JAKKRIT SAISOMBOON,N/A,8 / 8,100.00,1 / 1,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,RONNAKAD CHINSAMRAN,N/A,8 / 8,100.00,1 / 1,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,CHATCHARAS SRIARUN,N/A,4 / 8,50.00,0 / 1,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,EKALUCK WANGCHUCHERDKUL,N/A,8 / 8,100.00,1 / 1,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,CHAKAPHAT NASKAN,N/A,8 / 8,100.00,1 / 1,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,JIRAYUT RUNGSRITHONG,N/A,6 / 6,100.00,0 / 0,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,SAM TANSKUL,N/A,6 / 6,100.00,0 / 0,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,10.,SIWAT CHAWAREEWONG,21/04/2025,2 / 2,100.00,1 / 1,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,11.,NAPOL KAMTHORNKITTIKUL,21/04/2025,2 / 2,100.00,1 / 1,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,CHAKAPHAT NASKAN,N/A,7 / 7,100.00,,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,JIRAYUT RUNGSRITHONG,N/A,6 / 6,100.00,,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,SAM TANSKUL,N/A,6 / 6,100.00,,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,4.,SIWAT CHAWAREEWONG,21/04/2025,1 / 1,100.00,,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,5.,WAEWKANEE ASSORATGOON,21/04/2025,1 / 1,100.00,,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,EKALUCK WANGCHUCHERDKUL,N/A,13 / 13,100.00,,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,EAKKALURK SANGSAREEDUMRONG,N/A,12 / 13,92.31,,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,RONNAKAD CHINSAMRAN,N/A,13 / 13,100.00,,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,CHATCHARAS SRIARUN,N/A,6 / 13,46.15,,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,5.,JAKKRIT SAISOMBOON,N/A,13 / 13,100.00,,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,1.,NAPOL KAMTHORNKITTIKUL,21/04/2025,1 / 1,100.00,,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,2.,RONNAKAD CHINSAMRAN,21/04/2025,1 / 1,100.00,,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SIWAT CHAWAREEWONG,21/04/2025,1 / 1,100.00,,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,2.,WAEWKANEE ASSORATGOON,21/04/2025,1 / 1,100.00,,
MAGURO,2025,N/A,N/A,N/A,No,Meeting Attendance of Environment Social and Governance Committee,1.,NAPOL KAMTHORNKITTIKUL,21/04/2025,0 / 0,N/A,,
MAGURO,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
MAGURO,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
MAGURO,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
